Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,AGE,individual_id,sex,source_name,tissue,Dominance_rank
SRR15023664,RNA-Seq,100,2263849200,PRJNA743291,SAMN20012452,705375715,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11335815,GSM5414854,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2022-11-10T00:00:00Z,2021-07-03T13:17:00Z,1,GSM5414854,SRP326660,5.11,4N7,male,superior temporal sulcus,superior temporal sulcus,high
SRR15023665,RNA-Seq,100,1671047500,PRJNA743291,SAMN20012451,518208910,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX11335816,GSM5414855,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2022-11-10T00:00:00Z,2021-07-03T13:13:00Z,1,GSM5414855,SRP326660,10.23,2E9,female,amygdala,amygdala,low
SRR15023666,RNA-Seq,100,1303642000,PRJNA743291,SAMN20012450,407703975,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX11335817,GSM5414856,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2022-11-10T00:00:00Z,2021-07-03T13:11:00Z,1,GSM5414856,SRP326660,13.94,60T,male,amygdala,amygdala,low
SRR15023667,RNA-Seq,100,1608683500,PRJNA743291,SAMN20012449,504668276,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX11335818,GSM5414857,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2022-11-10T00:00:00Z,2021-07-03T13:12:00Z,1,GSM5414857,SRP326660,11.02,1B7,male,amygdala,amygdala,high
SRR15023668,RNA-Seq,100,1654553800,PRJNA743291,SAMN20012448,517929261,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX11335819,GSM5414858,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2022-11-10T00:00:00Z,2021-07-03T13:13:00Z,1,GSM5414858,SRP326660,6.13,7L0,female,amygdala,amygdala,low
SRR15023669,RNA-Seq,100,1594710800,PRJNA743291,SAMN20012447,500865331,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX11335820,GSM5414859,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2022-11-10T00:00:00Z,2021-07-03T13:13:00Z,1,GSM5414859,SRP326660,11.98,3A6,male,amygdala,amygdala,low
SRR15023670,RNA-Seq,100,1932423400,PRJNA743291,SAMN20012446,604847295,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX11335821,GSM5414860,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2022-11-10T00:00:00Z,2021-07-03T13:13:00Z,1,GSM5414860,SRP326660,6.05,8L6,male,amygdala,amygdala,low
SRR15023671,RNA-Seq,100,1969114400,PRJNA743291,SAMN20012445,613132765,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX11335822,GSM5414861,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2022-11-10T00:00:00Z,2021-07-03T13:14:00Z,1,GSM5414861,SRP326660,11.18,5B6,female,amygdala,amygdala,high
SRR15023672,RNA-Seq,100,1745412900,PRJNA743291,SAMN20012444,542729688,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX11335846,GSM5414862,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2022-11-10T00:00:00Z,2021-07-03T13:17:00Z,1,GSM5414862,SRP326660,6.14,7L7,female,amygdala,amygdala,mid
SRR15023673,RNA-Seq,100,1632966000,PRJNA743291,SAMN20012443,506954684,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX11335847,GSM5414863,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2022-11-10T00:00:00Z,2021-07-03T13:19:00Z,1,GSM5414863,SRP326660,13.95,94S,female,amygdala,amygdala,low
SRR15023676,RNA-Seq,100,1439828600,PRJNA743291,SAMN20012440,451799970,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX11335850,GSM5414866,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2022-11-10T00:00:00Z,2021-07-03T13:12:00Z,1,GSM5414866,SRP326660,12.07,3A9,female,amygdala,amygdala,low
