Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	GEO_Accession (exp)	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	SRA Study	AGE	individual_id	sex	source_name	tissue	Dominance_rank	AGE_group
SRR15024177	RNA-Seq	202	5056801744	PRJNA743291	SAMN20011234	1564859012	GEO	public	fastq,run.zq,sra	gs,s3,ncbi	s3.us-east-1,ncbi.public,gs.us-east1	SRX11335793	GSM5415375	Illumina NovaSeq 6000	PAIRED	cDNA	TRANSCRIPTOMIC	Macaca mulatta	ILLUMINA	2022-11-10T00:00:00Z	2021-07-03T14:01:00Z	1	GSM5415375	SRP326660	5.08	5N1	female	dorsolateral prefrontal cortex	dorsolateral prefrontal cortex	mid	young
SRR15024188	RNA-Seq	202	4476837120	PRJNA743291	SAMN20011221	1380430364	GEO	public	sra,fastq,run.zq	ncbi,s3,gs	s3.us-east-1,gs.us-east1,ncbi.public	SRX11335844	GSM5415386	Illumina NovaSeq 6000	PAIRED	cDNA	TRANSCRIPTOMIC	Macaca mulatta	ILLUMINA	2022-11-10T00:00:00Z	2021-07-03T14:01:00Z	1	GSM5415386	SRP326660	5.13	9N0	female	dorsolateral prefrontal cortex	dorsolateral prefrontal cortex	high	young
SRR15024183	RNA-Seq	202	4486984186	PRJNA743291	SAMN20011227	1394727451	GEO	public	run.zq,sra,fastq	gs,ncbi,s3	s3.us-east-1,gs.us-east1,ncbi.public	SRX11335839	GSM5415381	Illumina NovaSeq 6000	PAIRED	cDNA	TRANSCRIPTOMIC	Macaca mulatta	ILLUMINA	2022-11-10T00:00:00Z	2021-07-03T14:09:00Z	1	GSM5415381	SRP326660	6.16	8K7	female	dorsolateral prefrontal cortex	dorsolateral prefrontal cortex	high	young
SRR15024186	RNA-Seq	202	4968542086	PRJNA743291	SAMN20011224	1527359113	GEO	public	run.zq,sra,fastq	s3,ncbi,gs	gs.us-east1,ncbi.public,s3.us-east-1	SRX11335842	GSM5415384	Illumina NovaSeq 6000	PAIRED	cDNA	TRANSCRIPTOMIC	Macaca mulatta	ILLUMINA	2022-11-10T00:00:00Z	2021-07-03T14:02:00Z	1	GSM5415384	SRP326660	6.97	9I5	female	dorsolateral prefrontal cortex	dorsolateral prefrontal cortex	mid	young
SRR15024175	RNA-Seq	202	5486909234	PRJNA743291	SAMN20011237	1682980213	GEO	public	run.zq,fastq,sra	ncbi,s3,gs	gs.us-east1,s3.us-east-1,ncbi.public	SRX11335791	GSM5415373	Illumina NovaSeq 6000	PAIRED	cDNA	TRANSCRIPTOMIC	Macaca mulatta	ILLUMINA	2022-11-10T00:00:00Z	2021-07-03T14:12:00Z	1	GSM5415373	SRP326660	7.27	4J3	female	dorsolateral prefrontal cortex	dorsolateral prefrontal cortex	mid	young
SRR15024178	RNA-Seq	202	4295485358	PRJNA743291	SAMN20011233	1322590386	GEO	public	sra,run.zq,fastq	s3,ncbi,gs	gs.us-east1,s3.us-east-1,ncbi.public	SRX11335794	GSM5415376	Illumina NovaSeq 6000	PAIRED	cDNA	TRANSCRIPTOMIC	Macaca mulatta	ILLUMINA	2022-11-10T00:00:00Z	2021-07-03T14:01:00Z	1	GSM5415376	SRP326660	12.03	65Z	female	dorsolateral prefrontal cortex	dorsolateral prefrontal cortex	low	old
SRR15024173	RNA-Seq	202	4712462444	PRJNA743291	SAMN20011239	1479700193	GEO	public	sra,fastq,run.zq	s3,ncbi,gs	gs.us-east1,ncbi.public,s3.us-east-1	SRX11335773	GSM5415371	Illumina NovaSeq 6000	PAIRED	cDNA	TRANSCRIPTOMIC	Macaca mulatta	ILLUMINA	2022-11-10T00:00:00Z	2021-07-03T13:59:00Z	1	GSM5415371	SRP326660	12.07	3A9	female	dorsolateral prefrontal cortex	dorsolateral prefrontal cortex	low	old
SRR15024174	RNA-Seq	202	5149769012	PRJNA743291	SAMN20011238	1605112552	GEO	public	run.zq,sra,fastq	gs,s3,ncbi	ncbi.public,gs.us-east1,s3.us-east-1	SRX11335774	GSM5415372	Illumina NovaSeq 6000	PAIRED	cDNA	TRANSCRIPTOMIC	Macaca mulatta	ILLUMINA	2022-11-10T00:00:00Z	2021-07-03T14:01:00Z	1	GSM5415372	SRP326660	12.96	48V	female	dorsolateral prefrontal cortex	dorsolateral prefrontal cortex	mid	old
SRR15024182	RNA-Seq	202	5789284246	PRJNA743291	SAMN20011228	1787605335	GEO	public	fastq,run.zq,sra	s3,ncbi,gs	s3.us-east-1,gs.us-east1,ncbi.public	SRX11335798	GSM5415380	Illumina NovaSeq 6000	PAIRED	cDNA	TRANSCRIPTOMIC	Macaca mulatta	ILLUMINA	2022-11-10T00:00:00Z	2021-07-03T14:13:00Z	1	GSM5415380	SRP326660	14.1	80S	female	dorsolateral prefrontal cortex	dorsolateral prefrontal cortex	low	old
SRR15024168	RNA-Seq	202	5799210526	PRJNA743291	SAMN20011246	1805653678	GEO	public	fastq,sra,run.zq	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.us-east1	SRX11335768	GSM5415366	Illumina NovaSeq 6000	PAIRED	cDNA	TRANSCRIPTOMIC	Macaca mulatta	ILLUMINA	2022-11-10T00:00:00Z	2021-07-03T14:06:00Z	1	GSM5415366	SRP326660	14.91	20S	female	dorsolateral prefrontal cortex	dorsolateral prefrontal cortex	mid	old
