Geneid	SRR15024168	SRR15024173	SRR15024174	SRR15024175	SRR15024177	SRR15024178	SRR15024182	SRR15024183	SRR15024186	SRR15024188
ENSMMUG00000000001	764	595	691	709	608	488	453	397	607	585
ENSMMUG00000000002	97	27	61	124	63	47	95	65	52	54
ENSMMUG00000000005	114	78	88	98	62	90	99	85	70	80
ENSMMUG00000000006	2	5	6	4	4	7	3	2	6	3
ENSMMUG00000000007	252	164	197	172	249	157	232	134	218	145
ENSMMUG00000000009	55	30	35	43	44	49	29	37	45	40
ENSMMUG00000000010	629	626	598	519	605	473	703	583	679	516
ENSMMUG00000000013	934	613	636	873	738	650	924	590	626	835
ENSMMUG00000000015	1	0	0	0	0	2	0	1	1	0
ENSMMUG00000000016	774	589	491	472	611	486	805	646	577	562
ENSMMUG00000000017	0	0	0	4	4	3	0	1	0	5
ENSMMUG00000000018	0	0	0	0	0	1	0	1	0	2
ENSMMUG00000000019	163	148	188	171	114	184	187	147	166	210
ENSMMUG00000000021	22	13	17	54	18	28	46	15	12	50
ENSMMUG00000000022	37	1	5	11	8	1	2	18	20	8
ENSMMUG00000000023	0	0	0	1	1	0	1	1	0	1
ENSMMUG00000000024	0	4	10	8	8	0	1	1	1	0
ENSMMUG00000000025	181	311	295	259	219	156	305	226	226	233
ENSMMUG00000000029	579	383	498	569	549	454	594	563	494	387
ENSMMUG00000000031	317	427	441	279	286	213	464	320	351	230
ENSMMUG00000000032	34	26	23	29	21	25	43	15	35	37
ENSMMUG00000000033	613	606	767	444	573	294	756	594	541	428
ENSMMUG00000000037	398	315	477	389	395	367	476	419	401	368
ENSMMUG00000000038	1040	868	1163	1098	1181	851	1282	964	984	847
ENSMMUG00000000039	471	505	395	483	787	390	734	418	447	477
ENSMMUG00000000040	441	384	467	358	254	426	484	460	488	263
ENSMMUG00000000042	797	502	588	553	580	379	600	489	487	525
ENSMMUG00000000043	589	457	430	408	505	354	543	431	463	355
ENSMMUG00000000044	845	635	788	729	941	628	860	725	688	567
ENSMMUG00000000048	11	2	2	8	3	8	2	4	22	10
