Geneid	SRR15024168	SRR15024173	SRR15024174	SRR15024175	SRR15024177	SRR15024178	SRR15024182	SRR15024183	SRR15024186	SRR15024188
ENSMMUG00000000001	800	610	723	731	627	494	451	416	620	600
ENSMMUG00000000002	104	27	61	125	67	50	100	65	56	57
ENSMMUG00000000005	120	71	93	98	66	92	99	83	72	79
ENSMMUG00000000006	2	5	4	4	5	7	7	7	6	3
ENSMMUG00000000007	260	166	199	170	252	165	232	136	222	147
ENSMMUG00000000009	55	35	36	43	44	49	29	38	47	42
ENSMMUG00000000010	624	630	604	529	619	480	725	598	689	534
ENSMMUG00000000013	976	626	670	910	775	687	958	621	653	859
ENSMMUG00000000015	1	0	0	0	0	2	0	1	1	0
ENSMMUG00000000016	787	609	506	480	623	491	810	652	584	576
ENSMMUG00000000017	1	0	0	4	4	3	0	1	0	5
ENSMMUG00000000018	0	0	0	0	0	1	0	1	0	2
ENSMMUG00000000019	185	158	195	179	113	195	188	158	171	217
ENSMMUG00000000021	22	13	20	57	22	29	47	18	13	48
ENSMMUG00000000022	39	1	5	12	8	1	2	19	23	6
ENSMMUG00000000023	0	0	0	1	1	0	1	1	0	1
ENSMMUG00000000024	0	4	10	6	9	0	1	1	1	0
ENSMMUG00000000025	195	313	303	266	229	168	316	226	233	242
ENSMMUG00000000029	593	418	537	600	591	476	627	583	532	413
ENSMMUG00000000031	324	415	459	283	297	225	480	326	359	227
ENSMMUG00000000032	37	27	22	30	22	29	44	15	34	37
ENSMMUG00000000033	639	621	813	453	598	314	781	600	566	434
ENSMMUG00000000037	420	322	490	397	402	384	497	436	415	368
ENSMMUG00000000038	1088	932	1213	1126	1212	882	1317	1001	1020	870
ENSMMUG00000000039	413	506	372	442	712	389	679	367	467	432
ENSMMUG00000000040	434	401	481	365	274	438	498	471	493	273
ENSMMUG00000000042	809	512	591	561	603	383	608	496	490	516
ENSMMUG00000000043	603	465	437	421	522	356	551	433	474	356
ENSMMUG00000000044	858	691	860	762	966	656	900	754	728	589
ENSMMUG00000000048	11	2	3	8	3	8	4	4	22	9
ENSMMUG00000000049	997	671	680	727	664	581	1089	677	700	574
ENSMMUG00000000051	101	67	122	64	91	44	101	68	55	49
ENSMMUG00000000054	585	376	423	475	512	528	639	341	508	367
ENSMMUG00000000055	71	42	39	68	100	89	99	50	73	64
ENSMMUG00000000056	518	359	382	313	437	346	473	370	431	262
ENSMMUG00000000058	471	394	457	264	382	268	520	548	360	174
ENSMMUG00000000059	1153	810	831	909	779	585	917	774	870	818
ENSMMUG00000000063	6599	4964	5471	7115	4429	4085	5473	4060	4667	4134
ENSMMUG00000000065	679	436	500	525	508	454	570	361	433	367
ENSMMUG00000000066	0	0	0	0	0	2	0	1	0	0
ENSMMUG00000000067	3003	2462	2670	1966	2511	1936	3092	2116	2465	1760
ENSMMUG00000000070	28	47	27	13	31	18	28	14	23	25
ENSMMUG00000000072	273	201	221	166	199	184	281	216	223	182
ENSMMUG00000000073	5	0	11	28	7	7	11	5	11	6
ENSMMUG00000000074	1400	1155	1193	1070	1133	937	1360	962	1079	896
ENSMMUG00000000075	209	186	201	141	191	158	280	289	194	142
ENSMMUG00000000079	6	0	0	1	0	0	2	0	1	1
ENSMMUG00000000081	157	168	186	140	132	131	171	165	184	144
ENSMMUG00000000082	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000085	1984	1640	1363	1984	1296	2297	3339	1651	1914	1041
ENSMMUG00000000089	3	3	7	1	5	0	0	3	1	0
ENSMMUG00000000090	3355	2839	3072	2611	2549	2675	3415	3254	3145	2404
ENSMMUG00000000092	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000098	162	174	231	189	184	125	273	136	202	168
ENSMMUG00000000100	4881	4538	5104	4701	5245	3329	5206	2816	4944	5751
ENSMMUG00000000102	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000104	1065	771	717	1053	743	691	875	566	967	879
ENSMMUG00000000107	100	77	57	76	93	58	121	68	76	81
ENSMMUG00000000108	56	79	48	77	50	92	76	49	72	64
ENSMMUG00000000110	1806	1536	1740	2037	1395	1164	1783	960	1725	1326
ENSMMUG00000000111	3452	2648	3070	2723	2470	2127	3183	2518	2821	2227
ENSMMUG00000000113	1064	935	850	891	797	672	933	640	1192	917
ENSMMUG00000000115	1	0	0	0	0	0	0	0	0	0
ENSMMUG00000000117	19	2	14	31	19	18	24	28	22	19
ENSMMUG00000000118	211	166	180	167	162	106	172	168	159	119
ENSMMUG00000000121	18	14	21	47	19	14	18	9	29	34
ENSMMUG00000000122	92	48	49	65	65	57	67	40	77	25
ENSMMUG00000000123	204	156	256	138	174	123	229	133	138	139
ENSMMUG00000000124	544	568	501	540	567	473	534	483	479	347
ENSMMUG00000000125	268	217	267	132	185	154	359	269	192	128
ENSMMUG00000000129	9	9	7	10	5	10	5	8	8	8
ENSMMUG00000000130	569	609	691	409	373	362	589	586	364	280
ENSMMUG00000000134	3080	1999	1851	1871	2544	2099	2606	1743	2247	1669
ENSMMUG00000000135	767	632	728	600	784	502	801	687	748	533
ENSMMUG00000000136	71	75	43	66	75	43	81	42	48	65
ENSMMUG00000000137	22555	21964	19191	19983	18729	18359	27908	14165	22811	20357
ENSMMUG00000000138	251	200	157	212	200	161	180	45	152	230
ENSMMUG00000000140	1299	1143	1389	1137	1054	841	1320	1222	1266	992
ENSMMUG00000000141	617	463	557	451	511	413	738	534	638	400
ENSMMUG00000000143	537	426	693	469	666	409	572	552	616	411
ENSMMUG00000000144	956	803	1124	886	943	783	988	736	1095	749
ENSMMUG00000000145	77	37	74	50	53	47	64	45	83	36
ENSMMUG00000000147	0	0	0	0	0	0	3	0	0	0
ENSMMUG00000000148	0	3	0	0	0	0	0	0	0	0
ENSMMUG00000000149	2351	2144	2179	2325	2049	1877	2347	1851	2338	2073
ENSMMUG00000000151	92	64	91	74	110	89	81	67	74	77
ENSMMUG00000000152	930	709	883	799	703	674	885	551	772	629
ENSMMUG00000000153	840	554	723	887	599	595	680	666	681	503
ENSMMUG00000000156	1407	1383	1372	1193	1467	1256	1504	1204	1426	1047
ENSMMUG00000000157	1	0	7	3	2	1	2	4	1	2
ENSMMUG00000000158	393	270	404	269	264	242	380	248	212	194
ENSMMUG00000000163	95	44	81	100	93	69	94	51	90	77
ENSMMUG00000000164	2711	2576	2400	2024	2112	1632	2880	2162	2575	2107
ENSMMUG00000000165	1369	1138	1046	1195	1316	1434	1412	914	1330	1058
ENSMMUG00000000166	3197	3407	3126	3497	3025	2654	3392	2435	2439	2387
ENSMMUG00000000167	1773	1776	1914	2843	1525	1410	1356	1443	1527	1600
ENSMMUG00000000168	2517	2684	2937	2419	3032	2360	3796	3712	2870	2040
ENSMMUG00000000169	1984	1828	1937	1845	1924	1615	2256	1512	1936	1766
ENSMMUG00000000170	4	0	0	4	2	0	0	1	5	1
ENSMMUG00000000171	1858	1743	1688	2353	1699	1662	1764	1435	1658	1677
ENSMMUG00000000172	206	156	129	168	140	133	174	170	124	154
ENSMMUG00000000173	1021	687	763	944	727	747	788	658	766	811
ENSMMUG00000000179	11	5	10	16	3	7	8	4	2	5
ENSMMUG00000000180	255	182	208	154	354	156	262	200	161	247
ENSMMUG00000000181	181	142	205	105	128	87	182	97	156	191
ENSMMUG00000000182	740	775	929	626	839	604	908	780	724	661
ENSMMUG00000000183	910	571	918	735	760	612	861	618	763	666
