SRR15024168	SRR15024173	SRR15024174	SRR15024175	SRR15024177	SRR15024178	SRR15024182	SRR15024183	SRR15024186	SRR15024188
ENSMMUG00000000001	5.01751916254751	4.92536681837703	4.99854381988094	5.0318841587151	4.86883139822119	4.79156698862201	4.18478073159517	4.4168400610206	4.81720457183957	5.01571642893637
ENSMMUG00000000002	3.3310464377867	1.83502752795316	2.80572130236355	3.79458116747083	2.90202221593307	2.72571108140075	3.21441347675211	3.09702883824268	2.58882596454649	2.88392176542931
ENSMMUG00000000005	2.57670825940148	2.31031126807969	2.34003085160171	2.48377330553878	1.91956393284613	2.64785445324214	2.2978506507545	2.4924414232392	2.03371439682001	2.45312326956759
ENSMMUG00000000007	3.18908862516182	2.84887656685388	2.96631585602482	2.77540846167807	3.34501556530822	2.93276677623485	2.986655818105	2.63635453502769	3.11042419971485	2.78899732488024
ENSMMUG00000000009	1.14808730164744	0.633696278188363	0.69736104329057	0.942818443615622	1.01939530853151	1.36080421324978	0.313230565142515	0.940626500865971	1.00082773541815	1.07460460277699
ENSMMUG00000000010	5.71494517468109	5.97450825660745	5.76767362801992	5.56100063756478	5.83768836844473	5.72240400118262	5.78611142549401	5.94121932928615	5.95394714966722	5.81226193698948
ENSMMUG00000000013	5.24041003662331	4.90359755828845	4.81572119691872	5.26512370064437	5.08136892788466	5.13684945456566	5.13670126189225	4.91748474355896	4.79690076016355	5.4605606433392
ENSMMUG00000000016	5.74579449603052	5.6202788477544	5.21865503664676	5.1587500573237	5.58512278784749	5.4946581587186	5.71373090297578	5.82161818942724	5.45369000795756	5.66801559021373
ENSMMUG00000000019	3.83120508828668	3.95646047816115	4.15597134964009	4.01829580507396	3.50204458636552	4.41369814279478	3.93743830045903	4.01472790480522	3.9831985092876	4.56717153644743
ENSMMUG00000000021	0.678603016397421	0.284491730779131	0.471419905288869	1.90844121576466	0.580964862109987	1.31922241548521	1.50554341678374	0.496714070324078	0.0891408186971745	2.04627772275151
ENSMMUG00000000025	3.30961592150324	4.33466122044682	4.11993908325404	3.93227861087825	3.75116457059977	3.50668584829365	3.95621230950199	3.94984645575789	3.7465455567819	4.0385348397875
ENSMMUG00000000029	4.87246292581358	4.54759035331261	4.78168081484735	4.96861192521376	4.97401638130348	4.93936266567929	4.82074510850733	5.16611681246459	4.77396941623147	4.67662044070779
ENSMMUG00000000031	3.88047724805721	4.56614389281423	4.47197024970254	3.81928575223755	3.91021442430971	3.72791373475189	4.33246629044611	4.22407277501635	4.1512397518746	3.80189674363561
ENSMMUG00000000032	3.18427138472201	3.06786883186314	2.76134002037723	3.07956666356041	2.68746899858354	3.15848670991268	3.42518498660509	2.37633967654799	3.34870249769685	3.67422978449961
ENSMMUG00000000033	6.14825623522671	6.3986008433417	6.59600505286941	5.80707687802483	6.23017879470131	5.51034382814202	6.36110275764819	6.43882879039362	6.09819926659047	6.0141929387258
ENSMMUG00000000037	3.70761323371814	3.63883855796814	4.08609871380199	3.79426786695732	3.87177171213321	4.0021163341806	3.87233666240238	4.10980546958891	3.84402706940474	3.97145699180965
ENSMMUG00000000038	6.33369005350406	6.34075279304282	6.62005036440152	6.5338457664439	6.69556705173222	6.46273167619722	6.54598007287779	6.56056410832954	6.38368836405011	6.42088892387257
ENSMMUG00000000039	6.05268865510813	6.41965517227163	5.92541227942379	6.21082510425643	6.9698727557717	6.19861373846002	6.60185865844111	6.21685543777235	6.10697084976592	6.45300364976877
ENSMMUG00000000040	4.85996600061493	4.92721170471576	5.06630954901393	4.68332345747751	4.25117526515146	5.22517116775324	4.90458268842339	5.25405966970623	5.13307483340234	4.50167242143691
ENSMMUG00000000042	5.04523752968723	4.65014045727153	4.73534509388285	4.64443226121705	4.76885072190593	4.39871300915175	4.55185710374796	4.68111127843427	4.47050428222944	4.82840953376515
ENSMMUG00000000043	5.39299404428458	5.29538792388202	5.06750723848499	4.98900740170325	5.35078213919909	5.0795760437498	5.18825551920875	5.28020485924346	5.17713666335571	5.04873969514523
ENSMMUG00000000044	5.02466873720028	4.8815132881031	5.04942642374362	4.93477759636458	5.35654969028875	5.01506866933932	4.96154790431429	5.13953394370799	4.85932213999441	4.83424496290895
ENSMMUG00000000049	5.84314260300455	5.54680093582848	5.40802800175959	5.52510821002552	5.45692869718975	5.49660465089421	5.89325654798482	5.64568479370037	5.48997068317657	5.43900749275304
ENSMMUG00000000051	1.8358759790553	1.83345065795574	2.43331886289561	1.49694712768369	2.12073994359553	1.19627040004836	1.98396360034203	1.83780927747751	1.28855549474617	1.26154042293036
ENSMMUG00000000054	6.96069177546969	6.61006567369091	6.56606966281011	6.77757870302718	6.86233188044459	7.19583177561835	6.97920005508906	6.50628671894074	6.82811192451235	6.65801619870178
ENSMMUG00000000055	4.46217044163917	4.16047859399431	3.55901778470961	4.62651537133738	5.12592221089956	5.29809817460515	4.95215067411837	4.16092932709529	4.67624450413505	4.67542481843725
ENSMMUG00000000056	5.15681869422238	4.92317702003902	4.9069498618276	4.60728017899926	5.07791249610071	5.02722833493559	4.97683763577129	5.02780211891752	5.05577809011586	4.63241326048481
ENSMMUG00000000058	4.81430090646459	4.91095943251874	4.95548324886673	4.16332671596029	4.75753915551389	4.51175459001382	4.93016382770841	5.40723298757877	4.61809545343973	3.80151321925587
ENSMMUG00000000059	5.18679623669624	4.98367082417742	4.90317836749155	5.00800295360041	4.86156157896291	4.67331822782698	4.8019094598568	4.99327896003335	4.9529590013439	5.1198113920903
ENSMMUG00000000063	7.56472892689056	7.44247719842521	7.44568646058926	7.77185028606639	7.1650705467252	7.3054318020674	7.2047576973428	7.21236363236483	7.18523355704569	7.23406095051971
ENSMMUG00000000065	4.89451827552746	4.54726798786998	4.60264916061121	4.64147684585956	4.66135846099344	4.71902520423638	4.54970733454277	4.3382926139842	4.38784735217406	4.39983715322632
ENSMMUG00000000067	6.3647525640184	6.33257237521278	6.31721549285133	5.88299216787914	6.29353985848768	6.16057825810812	6.33565255194674	6.20345863559573	6.22701500967103	5.96770649995973
ENSMMUG00000000070	1.3288028275334	2.2492346108948	1.47922206685228	0.662866052099996	1.61455067155203	1.13047441989508	1.24448982491783	0.756656271782266	1.18512286428371	1.51762120092478
ENSMMUG00000000072	4.47939751811361	4.36308975645791	4.29612410177414	3.88500830885082	4.16303586884652	4.35352248552641	4.40683263648574	4.45827289520932	4.31907482890854	4.26465005565902
ENSMMUG00000000074	6.69804731369626	6.59274852808624	6.55223521169472	6.4254019890593	6.60954401136475	6.57956967878981	6.59658968902464	6.53509778296049	6.4497436894875	6.4675218395346
ENSMMUG00000000075	2.89263341725703	2.92345243690739	2.92177977146284	2.45999477292219	2.96639225689256	2.88279532512485	3.22028242701958	3.65459451829077	2.87396201064024	2.69763955447151
ENSMMUG00000000081	3.20143786502607	3.55762043975557	3.49428879987693	3.03679071124405	3.11393500975471	3.30038678074557	3.21086834241641	3.55468294343254	3.53778026362618	3.44769994299388
ENSMMUG00000000085	7.04549781482059	7.06081893899409	6.57301639901478	7.22659829236267	6.66137752397355	7.71334435216557	7.74325491653594	7.13729837801607	7.1398890198101	6.5279336536182
ENSMMUG00000000090	6.20055412934142	6.22684376161629	6.18712987938573	5.97115284545796	5.96675590391257	6.28305001097409	6.14147506724567	6.50281318132504	6.24284474341784	6.10404872225348
ENSMMUG00000000098	3.58374146749158	3.93241752682874	4.19847625002025	3.8965317041951	3.85436371461837	3.63345341628887	4.24484869513217	3.76951178337097	3.98782506591973	4.00245908667759
ENSMMUG00000000100	7.49299065175788	7.64239602100948	7.65790356802578	7.58211444484302	7.77994369833084	7.34704257404871	7.50903670087849	7.02974825807855	7.62824904065227	8.11891427263282
ENSMMUG00000000104	4.93386652317796	4.7365281984226	4.50247199962239	5.07207421366229	4.55754428359212	4.73798508121913	4.55846115024988	4.41200083302144	4.98120268706928	5.07066053531467
ENSMMUG00000000107	1.91037516077404	1.76334413666753	1.45072448600357	1.89686554451521	2.00560262068013	1.75324741864929	2.0184308360599	1.84360883066416	1.94393357133237	1.96921579464255
ENSMMUG00000000108	1.00761162150253	1.47947721877816	0.839642684154288	1.36876059630361	1.08630023119278	1.9229630368835	1.21844715121342	1.09862006279382	1.37230989879843	1.4622563627433
ENSMMUG00000000110	7.18040324548715	7.22924873293872	7.25075966875728	7.4881661936431	7.00630054610087	6.96574814413221	7.09272135860246	6.6504634053114	7.25998560101852	7.13853550123724
ENSMMUG00000000111	6.70772829746017	6.58474295267346	6.68641315685043	6.48305219592701	6.40867507290646	6.43219566967051	6.50508606891016	6.57873828006209	6.55297104966965	6.46886406103067
ENSMMUG00000000113	6.5438851759206	6.62374263578464	6.28189897623909	6.40670209799726	6.31678670317587	6.29899731563541	6.25380034726393	6.16319946966682	6.81528504273089	6.7214616480778
