SRR15024168	SRR15024173	SRR15024174	SRR15024175	SRR15024177	SRR15024178	SRR15024182	SRR15024183	SRR15024186	SRR15024188
ENSMMUG00000000001	5.05615905395628	4.91986950045487	5.02607535941227	5.06464596482363	4.88523578794366	4.78168245847388	4.14910008435672	4.46820747496258	4.81968043780338	5.03675342444568
ENSMMUG00000000002	3.40231842003834	1.79782691200987	2.77021298967727	3.79555859300614	2.96118295875229	2.78529486261099	3.25735512996455	3.08277987652601	2.66442381411239	2.94495925277932
ENSMMUG00000000005	2.62163230321995	2.14502797015094	2.380374718533	2.4748603811016	1.97841471563192	2.65245433658729	2.27046301343202	2.44649301676885	2.04619814742296	2.42272441337483
ENSMMUG00000000007	3.20658063098417	2.82621598474597	2.94458995097141	2.74993819449361	3.33515934371576	2.97569444458949	2.95821919970539	2.64299331539852	3.10896055511509	2.79416785232905
ENSMMUG00000000009	1.12678255054951	0.783281675832523	0.701976950595213	0.938512263551949	0.998394581891322	1.33843358394852	0.293989158975592	0.96392194861366	1.03225817029023	1.12548867504136
ENSMMUG00000000010	5.6761832648193	5.94233009765811	5.74463661941418	5.57731257655862	5.84274833299328	5.715913867336	5.80041973530078	5.96216803208317	5.94692788326629	5.84615373200702
ENSMMUG00000000013	5.27613420982476	4.89251541257597	4.85295576848341	5.31356209441336	5.12372264498708	5.18861866417277	5.15862417399811	4.97532670503585	4.82940955214313	5.48591185133066
ENSMMUG00000000016	5.74236067222687	5.62690312518696	5.22448485236747	5.17183930308388	5.58528341878159	5.48180807325454	5.69271908153468	5.81938110380498	5.44304006541916	5.688014012004
ENSMMUG00000000019	3.9834341138312	4.00840890933413	4.17102561556203	4.07254367355048	3.46291865466371	4.46913583917963	3.91571538667992	4.10199320499183	3.9977768201985	4.59887188969467
ENSMMUG00000000021	0.65970574258575	0.255684972859328	0.63075257182928	1.97251568137152	0.797467659935648	1.34158986236551	1.50790978631773	0.700264810533788	0.156468894010708	1.97925957147353
ENSMMUG00000000025	3.38761334606476	4.3029714364648	4.12109428447023	3.95954617908976	3.78718567959067	3.5842517204639	3.9770642588304	3.93493809679495	3.76228721315633	4.07744488336245
ENSMMUG00000000029	4.87945632465684	4.63125263517262	4.85219993055985	5.03351739105475	5.05180216716369	4.97960004495702	4.86825651395019	5.20068213167131	4.85199384573412	4.75430337519419
ENSMMUG00000000031	3.88468154427339	4.48465018158302	4.49194334747663	3.82900779833251	3.9365012981094	3.77845129605932	4.35117027583758	4.23538884970915	4.15569019360349	3.76872675977605
ENSMMUG00000000032	3.27613436351658	3.08064297775942	2.66471822127234	3.11700271655002	2.72565344942011	3.3395737192389	3.4285344529877	2.36304754193585	3.28112200430863	3.6596700527698
ENSMMUG00000000033	6.18053645810441	6.39236329586437	6.64229697280869	5.82478220171882	6.26371396914753	5.57715844916959	6.37788069611696	6.43769652545307	6.13506459203758	6.01884007764551
ENSMMUG00000000037	3.75688596529416	3.62945372981476	4.08744461970866	3.81263910589146	3.86954335091789	4.0392786037787	3.90412706660498	4.15119382046727	3.86516316090791	3.95671543509222
ENSMMUG00000000038	6.37112492514618	6.40163267842751	6.64311259699086	6.55887105903352	6.70495756721757	6.48650646001416	6.55470711015589	6.5991355933529	6.40728322767528	6.44401645112687
