NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOS2	252	1.8604578971862793	-0.005357291	No	
row_1	CARTPT	262	1.8497834205627441	0.016558079	No	
row_2	TPD52	329	1.7458168268203735	0.030756325	No	
row_3	HLA-DOB	349	1.7222297191619873	0.04996273	No	
row_4	BCAT1	352	1.7202430963516235	0.07106173	No	
row_5	UBE2N	596	1.4614814519882202	0.061773628	No	
row_6	CCND3	731	1.3651446104049683	0.06358408	No	
row_7	ABCE1	803	1.3204474449157715	0.07194545	No	
row_8	BCL3	901	1.2551945447921753	0.07656571	No	
row_9	INHBB	1071	1.1614176034927368	0.0719035	No	
row_10	STAT1	1546	0.9439523816108704	0.03014833	No	
row_11	CCR1	1594	0.9240796566009521	0.036302894	No	
row_12	F2	1700	0.8776150941848755	0.03534037	No	
row_13	TLR3	1706	0.872863233089447	0.045596704	No	
row_14	SOCS5	1848	0.8237850666046143	0.03990689	No	
row_15	AKT1	2002	0.7688072919845581	0.032182224	No	
row_16	UBE2D1	2191	0.703611433506012	0.019702153	No	
row_17	STAT4	2661	0.5491108298301697	-0.026383681	No	
row_18	PRKCB	2693	0.5375066995620728	-0.023216726	No	
row_19	IL16	2741	0.5234748125076294	-0.022028156	No	
row_20	CD40	2758	0.5183937549591064	-0.017406464	No	
row_21	TLR6	2770	0.5141978859901428	-0.012272895	No	
row_22	DEGS1	2852	0.4894343614578247	-0.015340742	No	
row_23	IFNGR2	3072	0.4192887544631958	-0.034841456	No	
row_24	TGFB2	3242	0.36801618337631226	-0.04933887	No	
row_25	CD47	3345	0.33619803190231323	-0.056674603	No	
row_26	EIF3D	3366	0.3313923180103302	-0.054822136	No	
row_27	RIPK2	3368	0.3310682475566864	-0.05083091	No	
row_28	MAP3K7	3444	0.3108099699020386	-0.05543636	No	
row_29	THY1	3488	0.2987962067127228	-0.05658185	No	
row_30	HLA-DRA	3501	0.296030193567276	-0.05426552	No	
row_31	CAPG	3617	0.2623039782047272	-0.06398337	No	
row_32	CD80	3788	0.21655656397342682	-0.0804711	No	
row_33	LTB	3855	0.1950780302286148	-0.085496195	No	
row_34	ACHE	3875	0.18878595530986786	-0.08529873	No	
row_35	IL4R	4067	0.140128493309021	-0.10510221	No	
row_36	BRCA1	4205	0.0984077975153923	-0.119332865	No	
row_37	EIF3J	4426	0.032478488981723785	-0.14374135	No	
row_38	TRAF2	4446	0.026914821937680244	-0.14555049	No	
row_39	IL2RG	4665	-0.038980621844530106	-0.16965282	No	
row_40	NLRP3	4688	-0.04502023011445999	-0.17157584	No	
row_41	ACVR2A	4696	-0.047396328300237656	-0.17177776	No	
row_42	IL27RA	4841	-0.09457146376371384	-0.1868454	No	
row_43	GLMN	4842	-0.0950586348772049	-0.18566704	No	
row_44	CD3E	4894	-0.10590272396802902	-0.1901059	No	
row_45	HLA-E	4973	-0.12782296538352966	-0.19731805	No	
row_46	GCNT1	4995	-0.13347944617271423	-0.19803174	No	
row_47	HIF1A	5219	-0.1952914148569107	-0.22076029	No	
row_48	CD1D	5277	-0.20689274370670319	-0.22462392	No	
row_49	CSK	5337	-0.2256644368171692	-0.22848041	No	
row_50	NCK1	5603	-0.30460241436958313	-0.25459057	No	
row_51	IL18	5644	-0.31645482778549194	-0.25517884	No	
row_52	ITK	5819	-0.36573052406311035	-0.27026847	No	
row_53	MAP4K1	6009	-0.4283101558685303	-0.28627402	No	
row_54	IL12RB1	6133	-0.4693542420864105	-0.29432744	No	
row_55	PSMB10	6140	-0.4715210199356079	-0.28915903	No	
row_56	JAK2	6461	-0.5700499415397644	-0.31818143	No	
row_57	IL9	6489	-0.5829567909240723	-0.31399995	No	
row_58	IGSF6	6619	-0.63082355260849	-0.32072842	No	
row_59	IFNAR2	6634	-0.6347623467445374	-0.31443864	No	
row_60	BCL10	6637	-0.6358972191810608	-0.30678147	No	
row_61	IRF8	6638	-0.636235237121582	-0.29889452	No	
row_62	ST8SIA4	6649	-0.6384360194206238	-0.2921081	No	
row_63	B2M	6814	-0.6905920505523682	-0.3020429	No	
row_64	LCP2	7035	-0.769442617893219	-0.3173158	No	
row_65	IKBKB	7083	-0.7887281179428101	-0.31283906	No	
row_66	HCLS1	7121	-0.8006932139396667	-0.30708626	No	
row_67	PTPN6	7432	-0.9455722570419312	-0.3303258	No	
row_68	CD4	7434	-0.9465664029121399	-0.31870472	No	
row_69	F2R	7444	-0.9509384036064148	-0.30793166	No	
row_70	EGFR	7800	-1.1326011419296265	-0.33392772	No	
row_71	CD74	7970	-1.22747802734375	-0.33777106	Yes	
row_72	ELF4	8014	-1.2546412944793701	-0.32706764	Yes	
row_73	IFNGR1	8093	-1.30647873878479	-0.3196689	Yes	
row_74	CSF1	8110	-1.3223247528076172	-0.30508146	Yes	
row_75	TAPBP	8158	-1.3506139516830444	-0.29363948	Yes	
row_76	IRF7	8164	-1.3560446500778198	-0.2773935	Yes	
row_77	TLR1	8285	-1.4455296993255615	-0.2730077	Yes	
row_78	ETS1	8314	-1.4766254425048828	-0.25786084	Yes	
row_79	INHBA	8332	-1.4980998039245605	-0.24120726	Yes	
row_80	LY86	8372	-1.5355690717697144	-0.2265703	Yes	
row_81	CD247	8374	-1.5359101295471191	-0.20764355	Yes	
row_82	HLA-DMB	8408	-1.5669585466384888	-0.19194081	Yes	
row_83	RPS9	8423	-1.5809038877487183	-0.17392243	Yes	
row_84	GALNT1	8599	-1.7697374820709229	-0.17172043	Yes	
row_85	FGR	8608	-1.7746654748916626	-0.15062346	Yes	
row_86	ZAP70	8658	-1.8654483556747437	-0.13302502	Yes	
row_87	LYN	8706	-1.9450205564498901	-0.114214614	Yes	
row_88	DYRK3	8771	-2.089461088180542	-0.09553091	Yes	
row_89	FLNA	8778	-2.095118761062622	-0.070235975	Yes	
row_90	SRGN	8788	-2.1176962852478027	-0.04499949	Yes	
