NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDRG1	42	2.6653454303741455	0.044506244	Yes	
row_1	PIAS1	171	2.0631070137023926	0.068221	Yes	
row_2	NKX3-1	286	1.8123729228973389	0.088878706	Yes	
row_3	INPP4B	295	1.801247239112854	0.12124773	Yes	
row_4	TPD52	329	1.7458168268203735	0.1497824	Yes	
row_5	ELK4	562	1.4942127466201782	0.15129793	Yes	
row_6	ACSL3	616	1.4451097249984741	0.1720302	Yes	
row_7	SCD	685	1.3993337154388428	0.19023065	Yes	
row_8	ANKH	706	1.3839833736419678	0.21354389	Yes	
row_9	CCND3	731	1.3651446104049683	0.23605949	Yes	
row_10	SORD	780	1.333044171333313	0.25528407	Yes	
row_11	XRCC5	874	1.2724779844284058	0.26833096	Yes	
row_12	UBE2J1	897	1.2584731578826904	0.28910124	Yes	
row_13	CDK6	961	1.2235957384109497	0.304618	Yes	
row_14	SPCS3	999	1.2001838684082031	0.3226253	Yes	
row_15	DHCR24	1174	1.1077080965042114	0.32352275	Yes	
row_16	XRCC6	1246	1.0739294290542603	0.33537585	Yes	
row_17	UAP1	1278	1.0599063634872437	0.35146683	Yes	
row_18	PTK2B	1361	1.0206071138381958	0.36109844	Yes	
row_19	ZMIZ1	1569	0.9340706467628479	0.3550789	No	
row_20	ZBTB10	1833	0.8281185030937195	0.34080678	No	
row_21	AKT1	2002	0.7688072919845581	0.33611935	No	
row_22	LIFR	2139	0.7243331670761108	0.33420804	No	
row_23	SRF	2331	0.6517782807350159	0.32477343	No	
row_24	PDLIM5	2453	0.6128012537956238	0.32248852	No	
row_25	SMS	2469	0.6079359650611877	0.33203053	No	
row_26	BMPR1B	2501	0.6001858115196228	0.33963066	No	
row_27	MAP7	2533	0.5873934030532837	0.3469945	No	
row_28	ARID5B	2647	0.5524408221244812	0.34449413	No	
row_29	AKAP12	3125	0.4048016667366028	0.29834503	No	
row_30	UBE2I	3191	0.38402611017227173	0.2981304	No	
row_31	ITGAV	3304	0.3469695746898651	0.29194745	No	
row_32	HERC3	3484	0.2992735505104065	0.27735126	No	
row_33	STK39	3498	0.2962875962257385	0.2813621	No	
row_34	CAMKK2	3511	0.2925099730491638	0.2854156	No	
row_35	SEC24D	3573	0.27613621950149536	0.28365794	No	
row_36	NCOA4	3641	0.2549613118171692	0.28083465	No	
row_37	RAB4A	3676	0.2459169179201126	0.28155428	No	
row_38	CDC14B	4176	0.10870368033647537	0.22746307	No	
row_39	PTPN21	4237	0.08784738928079605	0.22234021	No	
row_40	APPBP2	4601	-0.019830280914902687	0.18189703	No	
row_41	HMGCS1	4651	-0.034000787883996964	0.1770163	No	
row_42	ABHD2	4699	-0.04762799292802811	0.1726121	No	
row_43	HOMER2	5147	-0.17438727617263794	0.12558003	No	
row_44	CENPN	5365	-0.23341192305088043	0.10549533	No	
row_45	ALDH1A3	5442	-0.2584507167339325	0.1017247	No	
row_46	ELL2	5451	-0.26052892208099365	0.1056372	No	
row_47	TMEM50A	5455	-0.26126521825790405	0.11012541	No	
row_48	DNAJB9	5693	-0.3314759433269501	0.08960347	No	
row_49	NGLY1	6158	-0.4764929413795471	0.04623999	No	
row_50	RRP12	6412	-0.5505713820457458	0.027965905	No	
row_51	CCND1	6504	-0.5886921882629395	0.028608376	No	
row_52	LMAN1	6703	-0.6567984223365784	0.018479517	No	
row_53	DBI	6722	-0.6632213592529297	0.028705375	No	
row_54	GNAI3	6797	-0.6860188841819763	0.033056624	No	
row_55	B2M	6814	-0.6905920505523682	0.044012852	No	
row_56	HMGCR	6962	-0.7406482696533203	0.04116623	No	
row_57	SLC26A2	7642	-1.0476369857788086	-0.015819304	No	
row_58	PGM3	7665	-1.0595287084579468	0.0012765222	No	
row_59	SLC38A2	7728	-1.0938225984573364	0.014508835	No	
row_60	B4GALT1	7890	-1.1864277124404907	0.018321685	No	
row_61	ADAMTS1	7978	-1.2306668758392334	0.031270895	No	
row_62	SGK1	7984	-1.235817790031433	0.053533908	No	
row_63	MERTK	8041	-1.2713758945465088	0.0707201	No	
row_64	HPGD	8584	-1.7526884078979492	0.042158537	No	
