NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL6	653	1.420026183128357	-0.01938599	No	
row_1	POSTN	1922	0.797468364238739	-0.13114405	No	
row_2	SLCO2A1	2370	0.6395581364631653	-0.15698755	No	
row_3	APP	2458	0.6117742657661438	-0.14359067	No	
row_4	TNFRSF21	2577	0.5772019028663635	-0.13497065	No	
row_5	SPP1	2792	0.5102476477622986	-0.13962671	No	
row_6	STC1	2863	0.4849964380264282	-0.12912124	No	
row_7	ITGAV	3304	0.3469695746898651	-0.16524535	No	
row_8	THBD	3773	0.22003524005413055	-0.20930314	No	
row_9	JAG1	4021	0.15248365700244904	-0.23118116	No	
row_10	VTN	4313	0.06765526533126831	-0.26119137	No	
row_11	PTK2	4589	-0.0168224535882473	-0.29133308	No	
row_12	LRPAP1	4758	-0.06877239048480988	-0.30753496	No	
row_13	OLR1	5394	-0.24374939501285553	-0.36938655	No	
row_14	NRP1	6195	-0.48586782813072205	-0.4405493	No	
row_15	PDGFA	6560	-0.6064693331718445	-0.45835474	No	
row_16	VCAN	6930	-0.7283236980438232	-0.4721119	No	
row_17	JAG2	7570	-1.0106844902038574	-0.50541	Yes	
row_18	KCNJ8	7838	-1.1586343050003052	-0.4914795	Yes	
row_19	VAV2	8404	-1.5645214319229126	-0.49555257	Yes	
row_20	MSX1	8665	-1.8724368810653687	-0.4538466	Yes	
row_21	COL3A1	8907	-2.696026086807251	-0.37887067	Yes	
row_22	TIMP1	8917	-2.8008177280426025	-0.2739668	Yes	
row_23	COL5A2	8953	-3.6099612712860107	-0.14137556	Yes	
row_24	LUM	8955	-3.7534687519073486	4.475761E-4	Yes	
