NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGA2	40	2.70426082611084	0.019864688	No	
row_1	CLDN11	219	1.9238829612731934	0.017072676	No	
row_2	NEGR1	398	1.6621971130371094	0.011920334	No	
row_3	HADH	464	1.594933032989502	0.018949883	No	
row_4	AMIGO1	477	1.5775772333145142	0.031821076	No	
row_5	JUP	555	1.4966031312942505	0.036605638	No	
row_6	PIK3CB	580	1.4725978374481201	0.04717187	No	
row_7	YWHAH	748	1.3528839349746704	0.040474523	No	
row_8	WASL	771	1.3398443460464478	0.050069705	No	
row_9	EXOC4	958	1.2257975339889526	0.040075783	No	
row_10	SKAP2	1141	1.1256654262542725	0.029631393	No	
row_11	SIRPA	1185	1.103786587715149	0.034720764	No	
row_12	ARHGEF6	1198	1.0970691442489624	0.04325792	No	
row_13	TGFBI	1239	1.077607274055481	0.048450675	No	
row_14	ADRA1B	1313	1.041334867477417	0.04958155	No	
row_15	CDH6	1330	1.0325974225997925	0.057084493	No	
row_16	LAMA3	1353	1.0229225158691406	0.06382114	No	
row_17	PTEN	1379	1.0105164051055908	0.07010636	No	
row_18	ATP1A3	1478	0.9715695977210999	0.06777863	No	
row_19	SHROOM2	1556	0.9396612048149109	0.067539744	No	
row_20	CDK8	1752	0.8560472726821899	0.053192224	No	
row_21	AKT3	1778	0.8488783240318298	0.05801952	No	
row_22	ACTG1	1789	0.8455621004104614	0.0645145	No	
row_23	GNAI2	1819	0.8346478939056396	0.068760745	No	
row_24	CNTN1	1868	0.8181694149971008	0.070708066	No	
row_25	ADAM23	1936	0.7925090193748474	0.070273645	No	
row_26	CDH8	2000	0.7691550254821777	0.07008127	No	
row_27	NLGN2	2015	0.7661466598510742	0.07540726	No	
row_28	TNFRSF11B	2110	0.7371309995651245	0.07141766	No	
row_29	PIK3R3	2229	0.6911540627479553	0.06429721	No	
row_30	PPP2R2C	2241	0.6869311928749084	0.069248214	No	
row_31	PARVA	2620	0.561721682548523	0.031535234	No	
row_32	CX3CL1	2771	0.5140249133110046	0.019195579	No	
row_33	MYH10	3023	0.42980167269706726	-0.0053342567	No	
row_34	CADM3	3038	0.42577072978019714	-0.0030783596	No	
row_35	RASA1	3042	0.42519471049308777	4.1724928E-4	No	
