NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAL	13	3.1644129753112793	0.112000346	No	
row_1	EFNA5	20	3.033597230911255	0.22009408	No	
row_2	AKAP7	1134	1.129636287689209	0.13600142	No	
row_3	SHROOM2	1556	0.9396612048149109	0.12256304	No	
row_4	APP	2458	0.6117742657661438	0.04363538	No	
row_5	HSPB1	2682	0.5415620803833008	0.038088717	No	
row_6	CX3CL1	2771	0.5140249133110046	0.046667248	No	
row_7	THY1	3488	0.2987962067127228	-0.022772076	No	
row_8	FLOT2	3669	0.2468477487564087	-0.0340717	No	
row_9	ADAM10	3762	0.2227090746164322	-0.036385667	No	
row_10	NTNG1	4057	0.1421681046485901	-0.0642001	No	
row_11	BRCA1	4205	0.0984077975153923	-0.077127665	No	
row_12	IL2RG	4665	-0.038980621844530106	-0.12711258	No	
row_13	DCBLD2	5418	-0.24934504926204681	-0.20235491	No	
row_14	ADIPOR2	5773	-0.35388627648353577	-0.22929516	No	
row_15	ATP8B1	5909	-0.39479002356529236	-0.23025303	No	
row_16	TMEM8B	6197	-0.4867319166660309	-0.24492998	No	
row_17	RHCG	6970	-0.7459284067153931	-0.30460688	No	
row_18	SRPX	7310	-0.8848293423652649	-0.31083176	No	
row_19	SULF2	7862	-1.1687601804733276	-0.33060887	Yes	
row_20	B4GALT1	7890	-1.1864277124404907	-0.29109368	Yes	
row_21	MDGA1	7952	-1.2200260162353516	-0.25417995	Yes	
row_22	AFAP1L2	8252	-1.4215857982635498	-0.23668237	Yes	
row_23	EPHB4	8539	-1.6949424743652344	-0.20792869	Yes	
row_24	CD160	8630	-1.8258693218231201	-0.15253969	Yes	
row_25	LYN	8706	-1.9450205564498901	-0.09119952	Yes	
row_26	GSTM3	8946	-3.330474376678467	0.0014552786	Yes	
