NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAK1	345	1.7265713214874268	-0.021092024	No	
row_1	ENO2	486	1.564352035522461	-0.02070115	No	
row_2	PPT1	530	1.5229884386062622	-0.00977844	No	
row_3	ANKH	706	1.3839833736419678	-0.015211379	No	
row_4	EGR3	873	1.2727826833724976	-0.020779649	No	
row_5	RHOB	1241	1.0772536993026733	-0.05108589	No	
row_6	SOD2	1244	1.0742671489715576	-0.04018014	No	
row_7	BNIP3L	1360	1.0214494466781616	-0.042590056	No	
row_8	CTNNB1	1388	1.0073256492614746	-0.03520282	No	
row_9	FEZ1	1432	0.9943616390228271	-0.029757833	No	
row_10	CD38	1460	0.9820395708084106	-0.022632618	No	
row_11	F2	1700	0.8776150941848755	-0.04054427	No	
row_12	VDAC2	1770	0.8507096767425537	-0.03952568	No	
row_13	TIMP2	1966	0.7834016680717468	-0.053441837	No	
row_14	DFFA	2052	0.7543588280677795	-0.055229563	No	
row_15	DNAJA1	2085	0.7439438104629517	-0.05113651	No	
row_16	PSEN1	2106	0.7380016446113586	-0.045749094	No	
row_17	CREBBP	2435	0.6172472834587097	-0.07641522	No	
row_18	APP	2458	0.6117742657661438	-0.072561786	No	
row_19	SPTAN1	2478	0.6052266955375671	-0.06843722	No	
row_20	HSPB1	2682	0.5415620803833008	-0.08576331	No	
row_21	ERBB3	2817	0.5018106698989868	-0.095704705	No	
row_22	DPYD	2927	0.4609766900539398	-0.10324437	No	
row_23	CD14	2957	0.45158156752586365	-0.101841845	No	
row_24	SLC20A1	3076	0.41801711916923523	-0.11084361	No	
row_25	SATB1	3114	0.40743696689605713	-0.11080247	No	
row_26	DNM1L	3127	0.4044123888015747	-0.10796781	No	
row_27	TXNIP	3140	0.39993926882743835	-0.1051795	No	
row_28	TGFB2	3242	0.36801618337631226	-0.112778485	No	
row_29	DAP	3278	0.3552474081516266	-0.11305215	No	
row_30	GADD45A	3428	0.31450045108795166	-0.12662941	No	
row_31	GCH1	3455	0.30694320797920227	-0.12638666	No	
row_32	BCL2L1	3643	0.2546260952949524	-0.14487812	No	
row_33	AIFM3	3813	0.20724886655807495	-0.16182663	No	
row_34	BIK	4020	0.15254542231559753	-0.18352276	No	
row_35	CASP7	4050	0.14394474029541016	-0.18530801	No	
row_36	CYLD	4071	0.13863611221313477	-0.18613133	No	
row_37	BMP2	4072	0.13830915093421936	-0.18469815	No	
row_38	LGALS3	4115	0.12572559714317322	-0.18814112	No	
row_39	TSPO	4125	0.12260588258504868	-0.18788761	No	
row_40	MADD	4148	0.11528119444847107	-0.18917891	No	
row_41	BRCA1	4205	0.0984077975153923	-0.19448689	No	
row_42	GPX3	4219	0.09465061873197556	-0.19497502	No	
row_43	JUN	4292	0.07309254258871078	-0.20235321	No	
row_44	ADD1	4369	0.04941744729876518	-0.21042871	No	
row_45	MGMT	4392	0.043534357100725174	-0.21246348	No	
row_46	BCAP31	4403	0.039677515625953674	-0.21318229	No	
row_47	PTK2	4589	-0.0168224535882473	-0.23391192	No	
row_48	IGF2R	5010	-0.1380796581506729	-0.27993873	No	
row_49	CASP8	5188	-0.18798334896564484	-0.29799083	No	
row_50	BTG3	5276	-0.20670419931411743	-0.3056794	No	
row_51	SQSTM1	5361	-0.23218141496181488	-0.31276503	No	
row_52	ETF1	5475	-0.26710936427116394	-0.3227656	No	
row_53	IL18	5644	-0.31645482778549194	-0.33846948	No	
row_54	TGFBR3	5746	-0.34503746032714844	-0.34630656	No	
row_55	DCN	5895	-0.38862213492393494	-0.35900274	No	
row_56	BTG2	5956	-0.4099688231945038	-0.36153424	No	
row_57	SOD1	6240	-0.49853846430778503	-0.38834572	No	
row_58	DNAJC3	6304	-0.5142953395843506	-0.39013514	No	
row_59	GUCY2D	6391	-0.5450059771537781	-0.3942052	No	
row_60	CCND1	6504	-0.5886921882629395	-0.40076044	Yes	
row_61	CDKN1B	6514	-0.5917208790779114	-0.3956459	Yes	
row_62	FDXR	6519	-0.5929136276245117	-0.38995397	Yes	
row_63	GPX4	6553	-0.6033954620361328	-0.3874303	Yes	
row_64	CD44	6596	-0.623298168182373	-0.38571736	Yes	
row_65	PSEN2	6597	-0.623299241065979	-0.3792586	Yes	
row_66	CASP3	6610	-0.6264206767082214	-0.37412348	Yes	
row_67	BCL10	6637	-0.6358972191810608	-0.37047204	Yes	
row_68	CLU	6740	-0.6694223284721375	-0.3750608	Yes	
row_69	GPX1	6784	-0.6826828122138977	-0.37284547	Yes	
row_70	BAX	6949	-0.7344361543655396	-0.3837662	Yes	
row_71	CCNA1	6956	-0.7384922504425049	-0.37679178	Yes	
row_72	CFLAR	7006	-0.7578065991401672	-0.374476	Yes	
row_73	DAP3	7056	-0.7791949510574341	-0.37193856	Yes	
row_74	DDIT3	7097	-0.7936278581619263	-0.36823463	Yes	
row_75	BCL2L11	7363	-0.9133551716804504	-0.38871378	Yes	
row_76	ROCK1	7383	-0.9207798838615417	-0.3813194	Yes	
row_77	ERBB2	7426	-0.9440163969993591	-0.3762831	Yes	
row_78	F2R	7444	-0.9509384036064148	-0.36835024	Yes	
row_79	PDCD4	7501	-0.9798619747161865	-0.36452442	Yes	
row_80	BIRC3	7562	-1.005491852760315	-0.360885	Yes	
row_81	CDKN1A	7751	-1.1059846878051758	-0.37066752	Yes	
row_82	PDGFRB	7919	-1.205965280532837	-0.37704116	Yes	
row_83	GSN	7955	-1.2222696542739868	-0.3683306	Yes	
row_84	CASP9	8001	-1.2468667030334473	-0.3604951	Yes	
row_85	RNASEL	8021	-1.2585116624832153	-0.3496011	Yes	
row_86	NEDD9	8023	-1.2601432800292969	-0.33665624	Yes	
