NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MVK	657	1.4183493852615356	-0.025877636	Yes	
row_1	SCD	685	1.3993337154388428	0.018255416	Yes	
row_2	LGMN	724	1.369093656539917	0.060135704	Yes	
row_3	CPEB2	828	1.3053056001663208	0.092576735	Yes	
row_4	NFIL3	915	1.2423099279403687	0.12480112	Yes	
row_5	ETHE1	1019	1.1911312341690063	0.15339419	Yes	
row_6	ABCA2	1078	1.158484697341919	0.18593353	Yes	
row_7	ALDOC	1170	1.11063551902771	0.21315944	Yes	
row_8	ANTXR2	1293	1.0527424812316895	0.23495772	Yes	
row_9	CTNNB1	1388	1.0073256492614746	0.2583654	Yes	
row_10	ALCAM	1437	0.9929682612419128	0.28644788	Yes	
row_11	FASN	1651	0.8981676697731018	0.2928314	Yes	
row_12	ACTG1	1789	0.8455621004104614	0.30596498	Yes	
row_13	PDK3	2179	0.7108814716339111	0.2862989	No	
row_14	STARD4	2759	0.5178443193435669	0.23881936	No	
row_15	PPARG	2827	0.4976516664028168	0.2480777	No	
row_16	ACAT2	2901	0.47338223457336426	0.25584525	No	
row_17	FADS2	3177	0.3873966634273529	0.23806149	No	
row_18	SREBF2	3246	0.3661201596260071	0.24277475	No	
row_19	SQLE	3299	0.34773966670036316	0.24866287	No	
row_20	LDLR	3653	0.25058668851852417	0.21752095	No	
row_21	TMEM97	3685	0.243325874209404	0.22224513	No	
row_22	JAG1	4021	0.15248365700244904	0.18981552	No	
row_23	LGALS3	4115	0.12572559714317322	0.18362325	No	
row_24	ACSS2	4571	-0.013652225024998188	0.13305724	No	
row_25	HMGCS1	4651	-0.034000787883996964	0.12534367	No	
row_26	TM7SF2	4877	-0.1016601026058197	0.103537165	No	
row_27	STX5	4965	-0.12528462707996368	0.09800292	No	
row_28	ERRFI1	5429	-0.25299859046936035	0.0546063	No	
row_29	PMVK	5681	-0.32853981852531433	0.03753042	No	
row_30	TP53INP1	5821	-0.3666675090789795	0.03429981	No	
row_31	FDFT1	5885	-0.38641873002052307	0.040257912	No	
row_32	ANXA5	6207	-0.4907125234603882	0.02079747	No	
row_33	S100A11	6277	-0.5078678131103516	0.030175833	No	
row_34	GLDC	6516	-0.5922231078147888	0.023444612	No	
row_35	NSDHL	6737	-0.6686142086982727	0.021306576	No	
row_36	CLU	6740	-0.6694223284721375	0.04364346	No	
row_37	LSS	6748	-0.6704993844032288	0.06545591	No	
row_38	HMGCR	6962	-0.7406482696533203	0.06653062	No	
row_39	SEMA3B	7190	-0.831798791885376	0.06910729	No	
row_40	MVD	7305	-0.8823837041854858	0.08606121	No	
row_41	ATF3	8051	-1.2781423330307007	0.045589462	No	
row_42	FABP5	8507	-1.6653506755828857	0.050689735	No	
