NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGA2	40	2.70426082611084	0.030213213	No	
row_1	SERPINA1	195	1.99248206615448	0.03846013	No	
row_2	LGMN	724	1.369093656539917	-0.003384085	No	
row_3	KLK8	777	1.3365001678466797	0.007920706	No	
row_4	PLEK	945	1.2317078113555908	0.004938567	No	
row_5	GDA	1014	1.193001627922058	0.012600676	No	
row_6	USP11	1105	1.1450889110565186	0.017171925	No	
row_7	PEF1	1220	1.0869500637054443	0.018295966	No	
row_8	CTSB	1301	1.047633171081543	0.022741538	No	
row_9	P2RY1	1342	1.0267153978347778	0.03142005	No	
row_10	F2	1700	0.8776150941848755	0.002510463	No	
row_11	PDGFB	1912	0.8016495108604431	-0.010943956	No	
row_12	RAPGEF3	1944	0.789686918258667	-0.004295355	No	
row_13	F12	2193	0.7033668756484985	-0.023175284	No	
row_14	ISCU	2410	0.6240429878234863	-0.039472327	No	
row_15	CPQ	2547	0.5844979286193848	-0.047274083	No	
row_16	PLAU	2598	0.5690330862998962	-0.045596216	No	
row_17	PREP	3039	0.42554131150245667	-0.089649625	No	
row_18	DPP4	3324	0.3412344455718994	-0.11722957	No	
row_19	ADAM9	3371	0.3298860192298889	-0.1181715	No	
row_20	LAMP2	3424	0.3151451051235199	-0.11997788	No	
row_21	ACOX2	3450	0.30891358852386475	-0.118825756	No	
row_22	MMP11	3474	0.3011070191860199	-0.11754878	No	
row_23	SH2B2	3603	0.26599299907684326	-0.1285389	No	
row_24	THBD	3773	0.22003524005413055	-0.14473298	No	
row_25	RABIF	3804	0.2103864997625351	-0.14540835	No	
row_26	RGN	3897	0.18269361555576324	-0.15341647	No	
row_27	HPN	3907	0.17934340238571167	-0.15212706	No	
row_28	MMP15	3956	0.1687041074037552	-0.15536316	No	
row_29	FURIN	4307	0.06952672451734543	-0.19385843	No	
row_30	FYN	4692	-0.04703035205602646	-0.23646875	No	
row_31	PRSS23	5134	-0.1702442318201065	-0.28391194	No	
row_32	CSRP1	5168	-0.1802426129579544	-0.28531188	No	
row_33	TMPRSS6	5262	-0.20296739041805267	-0.29317227	No	
row_34	OLR1	5394	-0.24374939501285553	-0.30478555	No	
row_35	FBN1	5551	-0.29234370589256287	-0.31858844	No	
row_36	WDR1	5609	-0.30544227361679077	-0.32108206	No	
row_37	KLF7	5686	-0.329704612493515	-0.3254024	No	
row_38	CTSH	6148	-0.47318923473358154	-0.37120742	No	
row_39	DUSP6	6536	-0.5976017713546753	-0.40708765	No	
row_40	C3	6726	-0.6650464534759521	-0.41981983	No	
row_41	CLU	6740	-0.6694223284721375	-0.41268942	No	
row_42	PROC	6907	-0.7205722332000732	-0.42212048	No	
row_43	CAPN2	6953	-0.7355632781982422	-0.41774216	No	
row_44	PECAM1	7018	-0.7631538510322571	-0.4151479	No	
row_45	LTA4H	7087	-0.789694607257843	-0.41266304	No	
row_46	ARF4	7100	-0.7941060066223145	-0.40381953	No	
row_47	HTRA1	7667	-1.0605360269546509	-0.45390108	No	
row_48	GNG12	7870	-1.172608494758606	-0.46158066	Yes	
row_49	SPARC	7922	-1.2071958780288696	-0.45182323	Yes	
row_50	GSN	7955	-1.2222696542739868	-0.43973407	Yes	
row_51	C1QA	7990	-1.238918662071228	-0.4276563	Yes	
row_52	CASP9	8001	-1.2468667030334473	-0.4127756	Yes	
row_53	TIMP3	8089	-1.3019678592681885	-0.40585288	Yes	
row_54	MST1	8223	-1.3948373794555664	-0.40291467	Yes	
row_55	SERPINE1	8241	-1.4132589101791382	-0.38668576	Yes	
row_56	SERPINC1	8246	-1.4141608476638794	-0.36898226	Yes	
row_57	PROS1	8253	-1.4216885566711426	-0.35140723	Yes	
row_58	THBS1	8341	-1.508562684059143	-0.34183246	Yes	
row_59	MMP14	8398	-1.557786464691162	-0.32813716	Yes	
row_60	CFB	8465	-1.6177743673324585	-0.31479713	Yes	
row_61	PROZ	8531	-1.6901768445968628	-0.30041516	Yes	
row_62	MMP2	8540	-1.6965889930725098	-0.2795363	Yes	
row_63	MAFF	8568	-1.732139229774475	-0.26033926	Yes	
row_64	S100A1	8632	-1.8281217813491821	-0.24396142	Yes	
row_65	DUSP14	8644	-1.8444938659667969	-0.2215215	Yes	
row_66	BMP1	8692	-1.9137139320373535	-0.20224431	Yes	
row_67	F10	8749	-2.037550210952759	-0.18239027	Yes	
row_68	PLAT	8803	-2.1830930709838867	-0.16033028	Yes	
row_69	SERPING1	8818	-2.2363054752349854	-0.13319828	Yes	
row_70	ANXA1	8834	-2.2969019412994385	-0.10540093	Yes	
row_71	FN1	8912	-2.7425622940063477	-0.07885989	Yes	
row_72	TIMP1	8917	-2.8008177280426025	-0.043355852	Yes	
row_73	VWF	8954	-3.736842632293701	5.627893E-4	Yes	
