NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADA	306	1.7737330198287964	-0.008420835	No	
row_1	GTF2H5	382	1.6779563426971436	0.007809427	No	
row_2	POLR2G	942	1.2321151494979858	-0.03712384	No	
row_3	RAE1	947	1.2303510904312134	-0.019470248	No	
row_4	USP11	1105	1.1450889110565186	-0.020332137	No	
row_5	GTF2A2	1131	1.1305710077285767	-0.0065159625	No	
row_6	XPC	1230	1.0817691087722778	-0.0016534762	No	
row_7	DDB1	1249	1.073320984840393	0.012109964	No	
row_8	DGUOK	1346	1.0255420207977295	0.01637069	No	
row_9	POLD3	1472	0.9772830605506897	0.016649613	No	
row_10	SNAPC5	1627	0.9120261669158936	0.012696609	No	
row_11	CMPK2	1724	0.86787348985672	0.01463721	No	
row_12	GTF2B	1909	0.8025224208831787	0.005688361	No	
row_13	NUDT21	2069	0.7495181560516357	-0.0012200596	No	
row_14	CCNO	2144	0.7227967977523804	0.0010676599	No	
row_15	POLA1	2499	0.6006059646606445	-0.03003113	No	
row_16	CANT1	2560	0.5816296339035034	-0.02824129	No	
row_17	POLR3GL	2750	0.519960880279541	-0.041912165	No	
row_18	ARL6IP1	2838	0.49364057183265686	-0.04446313	No	
row_19	COX17	3112	0.40807387232780457	-0.06925698	No	
row_20	POLD4	3158	0.3942253887653351	-0.06853259	No	
row_21	GTF2F1	3162	0.3933100998401642	-0.06308341	No	
row_22	RFC2	3184	0.38561365008354187	-0.05977816	No	
row_23	IMPDH2	3287	0.35239508748054504	-0.066099815	No	
row_24	MRPL40	3361	0.3322185277938843	-0.06944672	No	
row_25	PDE4B	3386	0.3265910744667053	-0.06734845	No	
row_26	DAD1	3502	0.29527509212493896	-0.07597724	No	
row_27	AK1	3577	0.27479928731918335	-0.0802819	No	
row_28	POLA2	3623	0.2611713707447052	-0.081515424	No	
row_29	SMAD5	3633	0.25817060470581055	-0.07873174	No	
row_30	RPA3	3797	0.2128729373216629	-0.093988255	No	
row_31	UMPS	3821	0.2029852271080017	-0.093596056	No	
row_32	POLR2I	3944	0.17097483575344086	-0.10484367	No	
row_33	RPA2	4058	0.1421140432357788	-0.11550062	No	
row_34	POLR2C	4213	0.09568176418542862	-0.1314663	No	
row_35	BCAP31	4403	0.039677515625953674	-0.15220463	No	
row_36	NUDT9	4501	0.008838904090225697	-0.1630177	No	
row_37	SURF1	4600	-0.01957334578037262	-0.17378564	No	
row_38	TYMS	4801	-0.08313222229480743	-0.1951255	No	
row_39	GTF3C5	4919	-0.11264043301343918	-0.20666744	No	
row_40	PCNA	4943	-0.11880572140216827	-0.20751396	No	
