NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BIRC5	24	2.937525987625122	0.029187767	No	
row_1	MCM2	33	2.792651414871216	0.05861399	No	
row_2	RFC1	367	1.692139983177185	0.039280728	No	
row_3	PRPS1	415	1.639740228652954	0.05176791	No	
row_4	MAD2L1	514	1.5352181196212769	0.057344068	No	
row_5	CDK1	860	1.281524419784546	0.03219193	No	
row_6	PDS5B	1225	1.0830446481704712	0.0027322539	No	
row_7	XRCC6	1246	1.0739294290542603	0.012131672	No	
row_8	RAN	1287	1.0543848276138306	0.019053802	No	
row_9	CBX5	1357	1.021832823753357	0.022338113	No	
row_10	AURKA	1440	0.9918971657752991	0.023825025	No	
row_11	POLD3	1472	0.9772830605506897	0.030928971	No	
row_12	SMC1A	1717	0.8697686195373535	0.012742844	No	
row_13	SPC24	1902	0.8043140172958374	6.4080436E-4	No	
row_14	POLD2	1985	0.7764592170715332	-2.1225092E-4	No	
row_15	ANP32E	2034	0.7601525187492371	0.002608089	No	
row_16	TCF19	2058	0.7533529996871948	0.008185834	No	
row_17	NUDT21	2069	0.7495181560516357	0.01519418	No	
row_18	RAD1	2150	0.7203742265701294	0.013958462	No	
row_19	USP1	2217	0.6948720216751099	0.014031257	No	
row_20	TACC3	2259	0.6809465289115906	0.016784057	No	
row_21	CCNE1	2267	0.6779822111129761	0.023355171	No	
row_22	ESPL1	2302	0.6632176637649536	0.026708163	No	
row_23	NBN	2352	0.6453232765197754	0.028168041	No	
row_24	KIF2C	2423	0.6194508075714111	0.02696865	No	
row_25	RAD51C	2437	0.6169238090515137	0.03219708	No	
row_26	SUV39H1	2497	0.6019132137298584	0.03205296	No	
row_27	DCK	2502	0.5992351174354553	0.038108516	No	
row_28	SMC4	2870	0.48243510723114014	0.0017856065	No	
row_29	PTTG1	2903	0.4724120795726776	0.0032926747	No	
row_30	RNASEH2A	3010	0.43329787254333496	-0.0040056147	No	
row_31	DCLRE1B	3130	0.4023471474647522	-0.013112327	No	
row_32	RAD21	3167	0.38938745856285095	-0.012960027	No	
row_33	RFC2	3184	0.38561365008354187	-0.010583711	No	
row_34	PRDX4	3185	0.38552314043045044	-0.0063963733	No	
row_35	MCM6	3252	0.3648395538330078	-0.009908208	No	
row_36	DEK	3308	0.3446781635284424	-0.012393271	No	
row_37	RAD51AP1	3456	0.30694007873535156	-0.02570725	No	
row_38	PRKDC	3534	0.28541168570518494	-0.03132754	No	
row_39	CDC25A	3614	0.2633472979068756	-0.037413977	No	
row_40	POLA2	3623	0.2611713707447052	-0.035483282	No	
row_41	RPA3	3797	0.2128729373216629	-0.052763473	No	
row_42	CDC20	3924	0.17580576241016388	-0.065123506	No	
row_43	RANBP1	3929	0.1748032420873642	-0.06367789	No	
row_44	CENPE	3988	0.1617436707019806	-0.06848964	No	
row_45	MCM4	4035	0.14786900579929352	-0.07209308	No	
row_46	RPA2	4058	0.1421140432357788	-0.07304102	No	
row_47	CDK4	4065	0.14057931303977966	-0.07219363	No	
row_48	EXOSC8	4143	0.11723486334085464	-0.07964056	No	
row_49	UBR7	4190	0.10342415422201157	-0.08372674	No	
row_50	BRCA1	4205	0.0984077975153923	-0.084243394	No	
row_51	DCTPP1	4206	0.09752528369426727	-0.08318412	No	
row_52	CSE1L	4241	0.08733179420232773	-0.08608609	No	
row_53	CKS1B	4294	0.07299653440713882	-0.091182254	No	
row_54	SYNCRIP	4525	-8.699569152668118E-4	-0.11722037	No	
row_55	EED	4529	-0.0014141431311145425	-0.11754476	No	
row_56	CDKN3	4552	-0.007718946784734726	-0.119952425	No	
row_57	RBBP7	4583	-0.015414927154779434	-0.123182505	No	
row_58	CHEK2	4620	-0.025407901033759117	-0.12698355	No	
row_59	ASF1A	4682	-0.0443241149187088	-0.1334104	No	
row_60	ILF3	4784	-0.07773562520742416	-0.14400434	No	
row_61	AURKB	4818	-0.08805158734321594	-0.14678524	No	
row_62	POP7	4846	-0.09601107984781265	-0.14880018	No	
row_63	XPO1	4884	-0.1029752716422081	-0.15187198	No	
row_64	UBE2S	4914	-0.11133617907762527	-0.15394697	No	
row_65	BRMS1L	4936	-0.11721869558095932	-0.15505207	No	
row_66	PCNA	4943	-0.11880572140216827	-0.15444116	No	
row_67	RAD50	4956	-0.12367967516183853	-0.15445682	No	
row_68	TK1	5023	-0.14137597382068634	-0.1603958	No	
row_69	NAP1L1	5181	-0.18491844832897186	-0.1761676	No	
row_70	RFC3	5306	-0.21454313397407532	-0.1878804	No	
row_71	SSRP1	5320	-0.22056171298027039	-0.18695703	No	
row_72	HMMR	5375	-0.23628300428390503	-0.19050618	No	
row_73	NUP153	5456	-0.26141270995140076	-0.19672687	No	
row_74	EZH2	5502	-0.27605724334716797	-0.19882476	No	
row_75	DIAPH3	5525	-0.28517064452171326	-0.1982189	No	
row_76	CTCF	5562	-0.29472169280052185	-0.1990948	No	
row_77	NUP205	5640	-0.3156145215034485	-0.20438705	No	
row_78	PPM1D	5703	-0.332924485206604	-0.20779252	No	
row_79	CDCA8	5887	-0.38668739795684814	-0.22431734	No	
row_80	EIF2S1	5926	-0.40155595541000366	-0.22425938	No	
row_81	HELLS	6019	-0.43072640895843506	-0.2300001	No	
row_82	SPAG5	6138	-0.47104117274284363	-0.23824744	No	
row_83	TUBG1	6176	-0.48105037212371826	-0.23721279	No	
row_84	PRIM2	6178	-0.48133599758148193	-0.23209804	No	
row_85	KPNA2	6321	-0.5190067887306213	-0.24254242	No	
row_86	LMNB1	6323	-0.5195764303207397	-0.23701233	No	
row_87	TUBB	6384	-0.5413410663604736	-0.23792759	No	
row_88	KIF22	6422	-0.5549195408821106	-0.23609063	No	
row_89	CDKN1B	6514	-0.5917208790779114	-0.23996946	No	
row_90	LYAR	6557	-0.6054641604423523	-0.23814975	No	
row_91	NCAPD2	6590	-0.6199489235877991	-0.23504022	No	
row_92	GINS3	6742	-0.669663667678833	-0.2448675	No	
row_93	TRA2B	6825	-0.6946257948875427	-0.24660939	No	
row_94	HNRNPD	6991	-0.7517122626304626	-0.257131	No	
row_95	TP53	7077	-0.7871354222297668	-0.25820786	No	
row_96	MYC	7225	-0.8458979725837708	-0.26566797	Yes	
row_97	SNRPB	7252	-0.8599064350128174	-0.25927263	Yes	
row_98	SMC3	7257	-0.8628769516944885	-0.25035357	Yes	
