NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGA2	40	2.70426082611084	0.013198553	No	
row_1	MYLK	52	2.5569934844970703	0.028715909	No	
row_2	WIPF1	63	2.4827888011932373	0.043860044	No	
row_3	DKK1	124	2.205514907836914	0.051523916	No	
row_4	EDIL3	209	1.947343349456787	0.05477727	No	
row_5	CALU	232	1.898384928703308	0.06473117	No	
row_6	GPX7	251	1.8654594421386719	0.07492223	No	
row_7	QSOX1	372	1.6853678226470947	0.07238111	No	
row_8	ENO2	486	1.564352035522461	0.06983939	No	
row_9	CAP2	504	1.5456554889678955	0.07804713	No	
row_10	CXCL6	653	1.420026183128357	0.07059547	No	
row_11	SFRP1	934	1.2340787649154663	0.046975754	No	
row_12	SPOCK1	1058	1.165728211402893	0.04068824	No	
row_13	MXRA5	1108	1.144935131072998	0.04264493	No	
row_14	NT5E	1116	1.1391433477401733	0.04932016	No	
row_15	SNTB1	1179	1.1062475442886353	0.04955097	No	
row_16	TGFBI	1239	1.077607274055481	0.04993377	No	
row_17	RHOB	1241	1.0772536993026733	0.056882765	No	
row_18	CDH6	1330	1.0325974225997925	0.05368623	No	
row_19	LAMA3	1353	1.0229225158691406	0.05790079	No	
row_20	COPA	1655	0.8964185118675232	0.029689185	No	
row_21	RGS4	1753	0.855968177318573	0.024315456	No	
row_22	POSTN	1922	0.797468364238739	0.010517443	No	
row_23	CRLF1	1983	0.7773845791816711	0.008818796	No	
row_24	LOXL1	1984	0.7768532633781433	0.013911681	No	
row_25	TNFRSF11B	2110	0.7371309995651245	0.004587872	No	
row_26	COL5A3	2173	0.7129607796669006	0.002240375	No	
row_27	CD59	2338	0.6496679782867432	-0.012073585	No	
row_28	PTHLH	2500	0.6003268957138062	-0.026371263	No	
row_29	COL12A1	2573	0.578240692615509	-0.030734459	No	
row_30	SPP1	2792	0.5102476477622986	-0.052077945	No	
row_31	NID2	2831	0.49700915813446045	-0.05312317	No	
row_32	APLP1	3223	0.3759518265724182	-0.094939366	No	
row_33	ITGAV	3304	0.3469695746898651	-0.10172473	No	
row_34	CTHRC1	3374	0.3292599320411682	-0.10738044	No	
row_35	GADD45A	3428	0.31450045108795166	-0.111320905	No	
row_36	IGFBP2	3459	0.3065224587917328	-0.11270892	No	
row_37	THY1	3488	0.2987962067127228	-0.11392108	No	
row_38	CAPG	3617	0.2623039782047272	-0.12669751	No	
row_39	FUCA1	3658	0.24927614629268646	-0.12959331	No	
row_40	NNMT	3732	0.23091770708560944	-0.13634674	No	
