NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CA12	151	2.133047342300415	0.0034502114	No	
row_1	SERPINA1	195	1.99248206615448	0.017769627	No	
row_2	SLC1A4	206	1.9587455987930298	0.03549891	No	
row_3	MICB	288	1.8113611936569214	0.0437737	No	
row_4	SIAH2	621	1.4427025318145752	0.02009211	No	
row_5	TH	753	1.3494236469268799	0.018260173	No	
row_6	SORD	780	1.333044171333313	0.028153723	No	
row_7	HR	868	1.27732253074646	0.030607145	No	
row_8	EGR3	873	1.2727826833724976	0.042410243	No	
row_9	RET	1035	1.1785924434661865	0.03553815	No	
row_10	PPIF	1065	1.1642879247665405	0.0434672	No	
row_11	PDLIM3	1092	1.1516120433807373	0.05161372	No	
row_12	OPN3	1212	1.0929702520370483	0.04867044	No	
row_13	DYNLT3	1253	1.0717291831970215	0.054463323	No	
row_14	WFS1	1343	1.0266708135604858	0.054276843	No	
row_15	CALCR	1375	1.014417290687561	0.060536426	No	
row_16	PRKAR2B	1464	0.9809224009513855	0.060022596	No	
row_17	RABEP1	1518	0.955173909664154	0.0632219	No	
row_18	AFF1	1607	0.9207524061203003	0.06212869	No	
row_19	FKBP4	1713	0.8709466457366943	0.058631945	No	
row_20	RBBP8	1744	0.8604048490524292	0.06352169	No	
row_21	ALDH3B1	1837	0.8266595005989075	0.061069757	No	
row_22	STIL	1920	0.7977369427680969	0.059471052	No	
row_23	FGFR3	2128	0.7280810475349426	0.04305495	No	
row_24	JAK1	2135	0.7269991636276245	0.04937628	No	
row_25	CKB	2390	0.6302187442779541	0.0266987	No	
row_26	BAG1	2414	0.6228457093238831	0.030093174	No	
row_27	MAPT	2466	0.6094740033149719	0.030190038	No	
row_28	MYOF	2536	0.5868712663650513	0.028032133	No	
row_29	SNX10	2633	0.556612491607666	0.022527184	No	
row_30	HSPB8	2762	0.5170539617538452	0.013019771	No	
row_31	ADD3	2953	0.4530142843723297	-0.004121037	No	
row_32	FRK	2970	0.44644495844841003	-0.0016329344	No	
row_33	RNASEH2A	3010	0.43329787254333496	-0.0018744145	No	
row_34	CDC6	3074	0.41864779591560364	-0.004973123	No	
row_35	NXT1	3139	0.40035268664360046	-0.008361171	No	
