NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ECI2	97	2.3072493076324463	0.020903332	Yes	
row_1	GAPDHS	442	1.6128802299499512	0.004328763	Yes	
row_2	HADH	464	1.594933032989502	0.023978844	Yes	
row_3	ENO2	486	1.564352035522461	0.04320669	Yes	
row_4	DLD	663	1.415381669998169	0.042875435	Yes	
row_5	YWHAH	748	1.3528839349746704	0.05206971	Yes	
row_6	SDHC	757	1.3468912839889526	0.06976299	Yes	
row_7	SERINC1	876	1.2714132070541382	0.07399318	Yes	
row_8	CBR1	1157	1.1181445121765137	0.0578145	Yes	
row_9	DHCR24	1174	1.1077080965042114	0.07130202	Yes	
row_10	GPD2	1197	1.0972108840942383	0.083967105	Yes	
row_11	ACADS	1236	1.0784953832626343	0.09456709	Yes	
row_12	HCCS	1274	1.062587022781372	0.10506035	Yes	
row_13	FASN	1651	0.8981676697731018	0.07500432	Yes	
row_14	GABARAPL1	1668	0.8899056315422058	0.085484624	Yes	
row_15	SUCLA2	1731	0.8643051981925964	0.09041724	Yes	
row_16	ACSL1	1887	0.8084837794303894	0.08407778	Yes	
row_17	PRDX6	1975	0.780423104763031	0.08502929	Yes	
row_18	METAP1	2003	0.768380343914032	0.092589594	Yes	
row_19	TP53INP2	2006	0.7682580947875977	0.10297115	Yes	
row_20	ACSL4	2053	0.7541186809539795	0.108189106	Yes	
row_21	GAD2	2076	0.7462408542633057	0.11600832	Yes	
row_22	CRYZ	2251	0.6840716004371643	0.10580564	Yes	
row_23	RAP1GDS1	2281	0.6699861884117126	0.111781575	Yes	
row_24	ALDH3A1	2347	0.6473531126976013	0.11337997	Yes	
row_25	NBN	2352	0.6453232765197754	0.121838324	Yes	
row_26	CPT1A	2364	0.6412197351455688	0.12944959	Yes	
row_27	SMS	2469	0.6079359650611877	0.12609996	Yes	
row_28	ALAD	2475	0.6059314608573914	0.1339015	Yes	
row_29	BMPR1B	2501	0.6001858115196228	0.13936538	Yes	
row_30	ECI1	2503	0.5992286205291748	0.14752606	Yes	
row_31	AADAT	2707	0.5337256789207458	0.13197292	No	
row_32	BLVRA	2891	0.47724002599716187	0.117898256	No	
row_33	ACAT2	2901	0.47338223457336426	0.12341802	No	
row_34	HSPH1	2902	0.4728391766548157	0.12994654	No	
row_35	RDH11	2936	0.4568578004837036	0.13252813	No	
row_36	CRAT	3063	0.4217894971370697	0.12412416	No	
row_37	APEX1	3262	0.3616543114185333	0.106759824	No	
row_38	CPOX	3401	0.3203727602958679	0.095600575	No	
row_39	ACADM	3531	0.28615328669548035	0.08498512	No	
row_40	FH	3550	0.2816756069660187	0.08684172	No	
row_41	MDH1	3639	0.25550246238708496	0.08043269	No	
row_42	UROD	3665	0.24770288169384003	0.081029795	No	
row_43	GPD1	3759	0.22297461330890656	0.07360707	No	
row_44	ALDOA	3856	0.19476844370365143	0.065456145	No	
row_45	HSP90AA1	3890	0.18424688279628754	0.06427377	No	
row_46	UROS	3941	0.17168071866035461	0.060998283	No	
row_47	MCEE	4142	0.11734247952699661	0.04003488	No	
row_48	SUCLG2	4212	0.09579581022262573	0.03356621	No	
row_49	DLST	4377	0.04798164963722229	0.015710179	No	
row_50	CA4	4397	0.041742198169231415	0.014141078	No	
row_51	EHHADH	4424	0.03259989246726036	0.011655324	No	
row_52	ERP29	4432	0.030709872022271156	0.011288913	No	
row_53	AUH	4442	0.02775488793849945	0.010655867	No	
row_54	ACAA1	4497	0.009422448463737965	0.0046884017	No	
row_55	HMGCS1	4651	-0.034000787883996964	-0.01211857	No	
row_56	ACOT8	4694	-0.04731319099664688	-0.01620786	No	
row_57	DECR1	5080	-0.15539947152137756	-0.0575356	No	
row_58	SDHD	5089	-0.1581965535879135	-0.05625471	No	
row_59	HSD17B4	5140	-0.17255745828151703	-0.059518088	No	
row_60	ACSS1	5223	-0.19672982394695282	-0.06606109	No	
row_61	REEP6	5271	-0.2056281417608261	-0.0685291	No	
row_62	CD1D	5277	-0.20689274370670319	-0.06623711	No	
row_63	ACO2	5290	-0.21024517714977264	-0.06468925	No	
row_64	GSTZ1	5315	-0.21932299435138702	-0.064371064	No	
row_65	CPT2	5412	-0.24832448363304138	-0.071782544	No	
row_66	CA2	5647	-0.31810587644577026	-0.093813196	No	
row_67	LDHA	5745	-0.3450136184692383	-0.100002594	No	
row_68	LTC4S	5765	-0.3517066240310669	-0.09729199	No	
row_69	PCBD1	5768	-0.3525782525539398	-0.09264976	No	
row_70	PTPRG	5769	-0.3531135022640228	-0.08777429	No	
row_71	ADIPOR2	5773	-0.35388627648353577	-0.08322691	No	
row_72	BPHL	5991	-0.42279738187789917	-0.10189248	No	
row_73	NTHL1	6017	-0.43045616149902344	-0.098772086	No	
row_74	AQP7	6236	-0.4978170692920685	-0.11651477	No	
row_75	UGDH	6259	-0.5034403800964355	-0.112047926	No	
row_76	NCAPH2	6268	-0.5052235126495361	-0.105975606	No	
row_77	PDHB	6381	-0.5401197671890259	-0.11116493	No	
row_78	SLC22A5	6410	-0.5491894483566284	-0.10674393	No	
row_79	CEL	6720	-0.6615723967552185	-0.13250116	No	
row_80	NSDHL	6737	-0.6686142086982727	-0.12507623	No	
row_81	MIF	6745	-0.6699854135513306	-0.116616115	No	
row_82	SUCLG1	6770	-0.6782259941101074	-0.10996183	No	
row_83	GLUL	6971	-0.7461210489273071	-0.12224364	No	
row_84	IDH3B	6984	-0.7488954067230225	-0.1132586	No	
row_85	GCDH	7001	-0.7551395297050476	-0.10463902	No	
row_86	IL4I1	7079	-0.7878043055534363	-0.10245642	No	
row_87	EPHX1	7110	-0.7965731620788574	-0.094845615	No	
row_88	HMGCL	7168	-0.8237807750701904	-0.08990793	No	
row_89	HSDL2	7172	-0.8251001238822937	-0.078854464	No	
row_90	ALDH3A2	7313	-0.8881440758705139	-0.082400285	No	
row_91	ETFDH	7535	-0.9926649928092957	-0.09364932	No	
row_92	IDH1	7623	-1.0402791500091553	-0.08910996	No	
row_93	PPARA	7788	-1.1276918649673462	-0.09205835	No	
row_94	HSD17B11	7898	-1.1908290386199951	-0.08792453	No	
row_95	ACOX1	7911	-1.1989439725875854	-0.07272564	No	
row_96	PTS	7947	-1.218076467514038	-0.059859693	No	
row_97	RETSAT	8147	-1.3426011800765991	-0.063792944	No	
row_98	HADHB	8401	-1.5615485906600952	-0.07080074	No	
row_99	ACAA2	8493	-1.6448793411254883	-0.058365285	No	
row_100	HPGD	8584	-1.7526884078979492	-0.04432839	No	
row_101	S100A10	8717	-1.9718799591064453	-0.032007653	No	
row_102	ALDH1A1	8783	-2.1032209396362305	-0.010307985	No	
row_103	PSME1	8802	-2.177776336669922	0.01772821	No	
