NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EFNA5	20	3.033597230911255	0.0318566	Yes	
row_1	BIRC5	24	2.937525987625122	0.06455597	Yes	
row_2	MCM2	33	2.792651414871216	0.095060244	Yes	
row_3	SLC12A2	178	2.0297276973724365	0.10159744	Yes	
row_4	MARCKS	242	1.8729772567749023	0.11553559	Yes	
row_5	MAD2L1	514	1.5352181196212769	0.102142826	Yes	
row_6	SLC38A1	603	1.4572798013687134	0.108577184	Yes	
row_7	HSPA8	661	1.4163755178451538	0.11805867	Yes	
row_8	PML	846	1.290644884109497	0.1117579	Yes	
row_9	PAFAH1B1	849	1.2894865274429321	0.12603466	Yes	
row_10	CDK1	860	1.281524419784546	0.13931681	Yes	
row_11	BCL3	901	1.2551945447921753	0.14890876	Yes	
row_12	UCK2	936	1.2338606119155884	0.15893959	Yes	
row_13	CDC27	1091	1.151714563369751	0.1544703	Yes	
row_14	EGF	1112	1.14113450050354	0.1650421	Yes	
row_15	PDS5B	1225	1.0830446481704712	0.16455214	Yes	
row_16	RPS6KA5	1235	1.0786393880844116	0.17566553	Yes	
row_17	PRMT5	1258	1.0667803287506104	0.1851748	Yes	
row_18	AURKA	1440	0.9918971657752991	0.17585337	No	
row_19	KPNB1	1689	0.8825415372848511	0.15772197	No	
row_20	SMC1A	1717	0.8697686195373535	0.16444974	No	
row_21	STIL	1920	0.7977369427680969	0.15056874	No	
row_22	ATRX	1974	0.7804231643676758	0.15335011	No	
row_23	SAP30	2008	0.7680823802947998	0.1582554	No	
row_24	CUL3	2196	0.7020365595817566	0.14499506	No	
row_25	TACC3	2259	0.6809465289115906	0.14563939	No	
row_26	ESPL1	2302	0.6632176637649536	0.14834704	No	
row_27	KIF2C	2423	0.6194508075714111	0.14173788	No	
row_28	SUV39H1	2497	0.6019132137298584	0.14024884	No	
row_29	NUMA1	2576	0.5773202776908875	0.1379175	No	
row_30	CCNT1	2798	0.5074358582496643	0.118621886	No	
row_31	SMC4	2870	0.48243510723114014	0.11601532	No	
row_32	PTTG1	2903	0.4724120795726776	0.11770829	No	
row_33	TNPO2	2971	0.4457208812236786	0.11514133	No	
row_34	TPX2	3030	0.4272594451904297	0.11338495	No	
row_35	E2F1	3034	0.4263029396533966	0.11784024	No	
row_36	CDC6	3074	0.41864779591560364	0.11813656	No	
row_37	KIF23	3121	0.40557047724723816	0.11749386	No	
row_38	RAD21	3167	0.38938745856285095	0.116782285	No	
row_39	MCM6	3252	0.3648395538330078	0.11138235	No	
row_40	SQLE	3299	0.34773966670036316	0.11008922	No	
row_41	CUL5	3394	0.3235557973384857	0.10309361	No	
row_42	CUL1	3613	0.26356077194213867	0.08139449	No	
row_43	CDC25A	3614	0.2633472979068756	0.0843564	No	
row_44	POLA2	3623	0.2611713707447052	0.08638875	No	
row_45	MEIS2	3679	0.24544240534305573	0.082926854	No	
row_46	CDC20	3924	0.17580576241016388	0.057299234	No	
row_47	CENPE	3988	0.1617436707019806	0.051990885	No	
row_48	DKC1	4005	0.15714210271835327	0.051948123	No	
row_49	RPA2	4058	0.1421140432357788	0.047663484	No	
row_50	CDK4	4065	0.14057931303977966	0.04856579	No	
row_51	SMC2	4117	0.12522298097610474	0.044204306	No	
row_52	YTHDC1	4252	0.08327741920948029	0.029980853	No	
row_53	CKS1B	4294	0.07299653440713882	0.026163321	No	
row_54	NEK2	4355	0.053923189640045166	0.019981705	No	
row_55	KIF15	4423	0.032910872250795364	0.012771815	No	
row_56	SYNCRIP	4525	-8.699569152668118E-4	0.0013549674	No	
row_57	FOXN3	4544	-0.006116834934800863	-6.126652E-4	No	
row_58	CDKN3	4552	-0.007718946784734726	-0.0013177939	No	
row_59	CHAF1A	4653	-0.034592676907777786	-0.012242222	No	
row_60	MNAT1	4657	-0.03592680022120476	-0.012177553	No	
row_61	ILF3	4784	-0.07773562520742416	-0.025558256	No	
row_62	AURKB	4818	-0.08805158734321594	-0.02830138	No	
row_63	INCENP	4849	-0.09660162776708603	-0.030608937	No	
row_64	XPO1	4884	-0.1029752716422081	-0.03329735	No	
row_65	UBE2S	4914	-0.11133617907762527	-0.03532605	No	
row_66	ARID4A	4926	-0.11391613632440567	-0.035289302	No	
row_67	NUP50	5072	-0.1532192826271057	-0.049970593	No	
row_68	HIF1A	5219	-0.1952914148569107	-0.06429183	No	
row_69	HMMR	5375	-0.23628300428390503	-0.07917024	No	
row_70	EZH2	5502	-0.27605724334716797	-0.09032039	No	
row_71	CTCF	5562	-0.29472169280052185	-0.093680575	No	
row_72	HNRNPU	5591	-0.30111318826675415	-0.09346169	No	
row_73	CCNF	5625	-0.30883100628852844	-0.09372168	No	
row_74	BUB3	5699	-0.33239462971687317	-0.098242044	No	
row_75	PRC1	5706	-0.3331030309200287	-0.095174395	No	
row_76	RASAL2	5716	-0.3379262685775757	-0.09239191	No	
row_77	CDC7	5857	-0.3788968622684479	-0.1039693	No	
row_78	PURA	5896	-0.3887598216533661	-0.103895985	No	
row_79	DTYMK	6041	-0.4368707537651062	-0.11527388	No	
row_80	PRIM2	6178	-0.48133599758148193	-0.12524658	No	
row_81	SMAD3	6179	-0.48147833347320557	-0.11983132	No	
row_82	CENPF	6226	-0.49649548530578613	-0.119451374	No	
row_83	KPNA2	6321	-0.5190067887306213	-0.12424872	No	
row_84	LMNB1	6323	-0.5195764303207397	-0.1185181	No	
row_85	SNRPD1	6341	-0.5245581865310669	-0.11454162	No	
row_86	HIRA	6413	-0.5511940717697144	-0.11637484	No	
row_87	KIF22	6422	-0.5549195408821106	-0.11103866	No	
row_88	CCND1	6504	-0.5886921882629395	-0.113581486	No	
row_89	POLQ	6513	-0.5917119383811951	-0.1078315	No	
row_90	CDKN1B	6514	-0.5917208790779114	-0.10117633	No	
row_91	LIG3	6792	-0.685272753238678	-0.12480736	No	
row_92	CASP8AP2	6793	-0.6855897903442383	-0.11709643	No	
row_93	WRN	6807	-0.6882625222206116	-0.1108262	No	
row_94	TRA2B	6825	-0.6946257948875427	-0.104936935	No	
row_95	RBL1	6885	-0.7112002968788147	-0.10361293	No	
row_96	KIF5B	6920	-0.7244179248809814	-0.09931189	No	
row_97	HNRNPD	6991	-0.7517122626304626	-0.09877672	No	
row_98	DBF4	7222	-0.8434109091758728	-0.1153118	No	
row_99	MYC	7225	-0.8458979725837708	-0.10602413	No	
row_100	ORC5	7249	-0.8584322929382324	-0.09897133	No	
row_101	E2F4	7302	-0.8804412484169006	-0.0949519	No	
row_102	STMN1	7419	-0.9400368332862854	-0.09750283	No	
row_103	CCNA2	7438	-0.9485927820205688	-0.088870294	No	
row_104	FBXO5	7489	-0.9726755023002625	-0.08358722	No	
row_105	SLC7A1	7514	-0.9864314794540405	-0.07520793	No	
row_106	TOP1	7567	-1.009423851966858	-0.069737814	No	
row_107	PLK4	7630	-1.0440319776535034	-0.0650098	No	
row_108	DDX39A	7747	-1.1037037372589111	-0.06571995	No	
row_109	NOTCH2	7816	-1.1406153440475464	-0.06058446	No	
row_110	ODF2	7882	-1.1804918050765991	-0.054661073	No	
row_111	TRAIP	7932	-1.2118382453918457	-0.04657497	No	
row_112	PLK1	7950	-1.2196952104568481	-0.03478018	No	
row_113	NASP	7958	-1.223405122756958	-0.02181231	No	
row_114	CDKN2C	8006	-1.248353123664856	-0.013089249	No	
row_115	LBR	8112	-1.3226536512374878	-0.010092345	No	
row_116	RACGAP1	8175	-1.3637826442718506	-0.0017680551	No	
row_117	SRSF1	8431	-1.5864804983139038	-0.0127741	No	
row_118	MCM3	8547	-1.7085583209991455	-0.006568222	No	
row_119	MTF2	8794	-2.1460838317871094	-0.010262112	No	
row_120	FANCC	8883	-2.562075614929199	0.008598042	No	
