NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DPYSL2	168	2.0669937133789062	0.08855901	Yes	
row_1	GLI1	386	1.673929214477539	0.1512138	Yes	
row_2	SHH	417	1.6381967067718506	0.23295076	Yes	
row_3	ETS2	739	1.3598105907440186	0.26764384	Yes	
row_4	UNC5C	799	1.3237663507461548	0.3298006	Yes	
row_5	PML	846	1.290644884109497	0.3916925	Yes	
row_6	CDK6	961	1.2235957384109497	0.4424876	Yes	
row_7	AMOT	2546	0.5847989916801453	0.2955052	No	
row_8	NRCAM	2562	0.5810137987136841	0.32400638	No	
row_9	RASA1	3042	0.42519471049308777	0.2924597	No	
row_10	VLDLR	3194	0.38379955291748047	0.29548874	No	
row_11	RTN1	3281	0.353563517332077	0.3042252	No	
row_12	NF1	3340	0.33711007237434387	0.3152421	No	
row_13	THY1	3488	0.2987962067127228	0.31430355	No	
row_14	ACHE	3875	0.18878595530986786	0.28088978	No	
row_15	CDK5R1	3933	0.17387503385543823	0.28353947	No	
row_16	TLE1	4764	-0.07099451869726181	0.19429255	No	
row_17	CNTFR	4827	-0.09132435917854309	0.19209427	No	
row_18	SLIT1	4854	-0.09819202125072479	0.19428365	No	
row_19	HEY1	4980	-0.12913522124290466	0.18699537	No	
row_20	LDB1	5300	-0.21291571855545044	0.16233699	No	
row_21	CRMP1	5704	-0.3330281376838684	0.1345124	No	
row_22	NRP2	5982	-0.42018628120422363	0.12532339	No	
row_23	NRP1	6195	-0.48586782813072205	0.12682422	No	
row_24	L1CAM	6271	-0.5062074065208435	0.14472142	No	
row_25	PTCH1	6541	-0.5989041328430176	0.14571166	No	
row_26	SCG2	6821	-0.6931502223014832	0.15047781	No	
row_27	HEY2	7161	-0.8197904825210571	0.15510413	No	
row_28	CELSR1	7312	-0.8875740766525269	0.18441369	No	
