NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENDOD1	19	3.0393857955932617	0.03184001	Yes	
row_1	XK	161	2.091416835784912	0.03926327	Yes	
row_2	SLC6A9	205	1.9595575332641602	0.056309126	Yes	
row_3	DCAF10	207	1.9524822235107422	0.07803183	Yes	
row_4	EZH1	601	1.458624005317688	0.049842294	Yes	
row_5	FOXO3	635	1.432804822921753	0.06212949	Yes	
row_6	CCND3	731	1.3651446104049683	0.066639274	Yes	
row_7	TMCC2	928	1.2371312379837036	0.058280412	Yes	
row_8	CTNS	944	1.2318618297576904	0.070358604	Yes	
row_9	SYNJ1	994	1.204795002937317	0.07828401	Yes	
row_10	HMBS	1015	1.1928097009658813	0.08935926	Yes	
row_11	CDC27	1091	1.151714563369751	0.09374686	Yes	
row_12	ATP6V0A1	1297	1.0490696430206299	0.082265645	Yes	
row_13	TSPAN5	1299	1.0486035346984863	0.093879655	Yes	
row_14	CTSB	1301	1.047633171081543	0.10548282	Yes	
row_15	BNIP3L	1360	1.0214494466781616	0.110338606	Yes	
row_16	MFHAS1	1416	0.9988923668861389	0.11528184	Yes	
row_17	MPP1	1687	0.8838010430335999	0.09459188	Yes	
row_18	SPTB	1695	0.880399763584137	0.103645325	Yes	
row_19	ADIPOR1	1783	0.8471850156784058	0.10326831	Yes	
row_20	NR3C1	1807	0.8387011885643005	0.110043615	Yes	
row_21	GLRX5	1878	0.8130084872245789	0.11120942	Yes	
row_22	EPOR	1949	0.7888885736465454	0.11210548	Yes	
row_23	FBXO9	1993	0.7714718580245972	0.115864165	Yes	
row_24	NFE2L1	2033	0.760153591632843	0.11994922	Yes	
row_25	MXI1	2079	0.7457424998283386	0.12319368	Yes	
row_26	HBQ1	2086	0.7439231276512146	0.13083406	Yes	
row_27	YPEL5	2112	0.7362304925918579	0.13623689	Yes	
row_28	HAGH	2185	0.7076233625411987	0.13599762	Yes	
