NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDRG1	42	2.6653454303741455	0.015641859	No	
row_1	AMPD3	87	2.358827590942383	0.02871059	No	
row_2	NEDD4L	110	2.2598955631256104	0.043516047	No	
row_3	CHST3	123	2.20847749710083	0.059061557	No	
row_4	CA12	151	2.133047342300415	0.072329156	No	
row_5	TPD52	329	1.7458168268203735	0.065627635	No	
row_6	IRS2	357	1.7060308456420898	0.075626425	No	
row_7	GAPDHS	442	1.6128802299499512	0.0784503	No	
row_8	PAM	471	1.5852471590042114	0.08741113	No	
row_9	ENO2	486	1.564352035522461	0.09779912	No	
row_10	CDKN1C	573	1.4785319566726685	0.09936783	No	
row_11	BTG1	584	1.4692238569259644	0.10948108	No	
row_12	SIAH2	621	1.4427025318145752	0.1164438	No	
row_13	FOXO3	635	1.432804822921753	0.12593816	No	
row_14	PRKCA	707	1.383965253829956	0.12848344	No	
row_15	PPARGC1A	822	1.307740330696106	0.1255705	No	
row_16	PGK1	885	1.2652860879898071	0.12822759	No	
row_17	NFIL3	915	1.2423099279403687	0.13444985	No	
row_18	AK4	1074	1.1600241661071777	0.12541805	No	
row_19	EFNA3	1110	1.1434884071350098	0.13020365	No	
row_20	RBPJ	1138	1.1271969079971313	0.13577147	No	
row_21	ALDOC	1170	1.11063551902771	0.14075904	No	
row_22	CXCR4	1172	1.1081066131591797	0.14912823	No	
row_23	NDST1	1223	1.0843162536621094	0.15176038	No	
row_24	TPI1	1231	1.0801125764846802	0.15923509	No	
row_25	TGFBI	1239	1.077607274055481	0.1666906	No	
row_26	BNIP3L	1360	1.0214494466781616	0.16090591	No	
row_27	HK1	1370	1.0166172981262207	0.16766782	No	
row_28	NR3C1	1807	0.8387011885643005	0.12466058	No	
row_29	CP	1882	0.8122150301933289	0.12248901	No	
row_30	PDGFB	1912	0.8016495108604431	0.12533803	No	
row_31	SAP30	2008	0.7680823802947998	0.12044795	No	
row_32	MXI1	2079	0.7457424998283386	0.11822101	No	
row_33	PDK3	2179	0.7108814716339111	0.11243959	No	
row_34	CHST2	2283	0.6697165369987488	0.10588959	No	
row_35	GCNT2	2295	0.6659584045410156	0.10974047	No	
row_36	INHA	2450	0.6137439012527466	0.09698035	No	
row_37	PYGM	2640	0.5547808408737183	0.07980105	No	
row_38	GPC4	2646	0.553447425365448	0.083470866	No	
row_39	STC2	2691	0.5377673506736755	0.08259938	No	
row_40	PIM1	2720	0.5303261280059814	0.083484784	No	
row_41	TGFB3	2808	0.5046175718307495	0.0774848	No	
row_42	UGP2	2830	0.4974006712436676	0.07891172	No	
row_43	STC1	2863	0.4849964380264282	0.078996666	No	
row_44	SLC37A4	2881	0.4788844585418701	0.08073531	No	
row_45	GLRX	2928	0.46078774333000183	0.079047814	No	
row_46	SLC2A3	2959	0.45115476846694946	0.07910043	No	
row_47	PHKG1	3006	0.43352705240249634	0.07720425	No	
row_48	AKAP12	3125	0.4048016667366028	0.06692584	No	
row_49	VLDLR	3194	0.38379955291748047	0.06215495	No	
row_50	GYS1	3269	0.3586632311344147	0.056511443	No	
row_51	FAM162A	3414	0.31732144951820374	0.04261586	No	
row_52	SDC3	3427	0.31463858485221863	0.04366403	No	
row_53	PGM1	3607	0.26454323530197144	0.025396626	No	
row_54	GBE1	3760	0.22296427190303802	0.009871812	No	
row_55	FOSL2	3761	0.22278881072998047	0.011577261	No	
row_56	ALDOA	3856	0.19476844370365143	0.0024118253	No	
row_57	HSPA5	3857	0.19457906484603882	0.0039013284	No	
row_58	GCK	3876	0.18823614716529846	0.0033016915	No	
row_59	BHLHE40	3951	0.16949957609176636	-0.0037898603	No	
row_60	NCAN	3975	0.16556623578071594	-0.0051298644	No	
row_61	IDS	4097	0.13050594925880432	-0.017848106	No	
row_62	P4HA1	4179	0.10765758156776428	-0.02620662	No	
row_63	JUN	4292	0.07309254258871078	-0.03834407	No	
row_64	KIF5A	4342	0.0578281506896019	-0.04345632	No	
row_65	PGM2	4386	0.04536404088139534	-0.047983788	No	
row_66	GAPDH	4436	0.029943624511361122	-0.053309496	No	
row_67	DUSP1	4479	0.014298842288553715	-0.057961404	No	
row_68	DPYSL4	4602	-0.020100796595215797	-0.07163817	No	
row_69	HDLBP	4820	-0.0893358662724495	-0.09555468	No	
row_70	GPC1	4885	-0.1033499464392662	-0.10201895	No	
row_71	LOX	5057	-0.14937444031238556	-0.12026104	No	
row_72	FBP1	5267	-0.2044651210308075	-0.14238933	No	
row_73	XPNPEP1	5356	-0.23069843649864197	-0.15059952	No	
row_74	KDELR3	5414	-0.2486526072025299	-0.15515794	No	
row_75	PLAC8	5422	-0.25073012709617615	-0.15403216	No	
row_76	ERRFI1	5429	-0.25299859046936035	-0.15277565	No	
row_77	KLF7	5686	-0.329704612493515	-0.17927341	No	
row_78	LDHA	5745	-0.3450136184692383	-0.18320756	No	
row_79	ADORA2B	5790	-0.35713568329811096	-0.18546177	No	
row_80	DCN	5895	-0.38862213492393494	-0.19427691	No	
row_81	PKP1	6046	-0.4379926025867462	-0.20792896	No	
row_82	GALK1	6063	-0.44487324357032776	-0.2063373	No	
row_83	GAA	6070	-0.4469468295574188	-0.20359612	No	
row_84	DTNA	6348	-0.5284221172332764	-0.23095338	No	
row_85	NAGK	6359	-0.5319869518280029	-0.22801468	No	
row_86	NDST2	6452	-0.5651951432228088	-0.23411776	No	
row_87	WSB1	6474	-0.5763944387435913	-0.23208615	No	
row_88	CDKN1B	6514	-0.5917208790779114	-0.23197779	No	
row_89	TIPARP	6734	-0.6670318245887756	-0.2516988	No	
row_90	MIF	6745	-0.6699854135513306	-0.2477037	No	
row_91	ANKZF1	6812	-0.6894130706787109	-0.24990839	No	
