NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDRG1	42	2.6653454303741455	0.021057619	No	
row_1	GSTO1	114	2.247924566268921	0.034792323	No	
row_2	SYT11	238	1.8874390125274658	0.039153323	No	
row_3	IKZF2	293	1.803567886352539	0.050508488	No	
row_4	PRNP	441	1.6131349802017212	0.04949809	No	
row_5	ANXA4	482	1.570220947265625	0.06017758	No	
row_6	CDKN1C	573	1.4785319566726685	0.06431247	No	
row_7	TNFRSF18	650	1.4227460622787476	0.069491066	No	
row_8	MYO1E	698	1.3871558904647827	0.07760594	No	
row_9	CCND3	731	1.3651446104049683	0.0872047	No	
row_10	IL10RA	779	1.3341041803359985	0.09480587	No	
row_11	NFIL3	915	1.2423099279403687	0.09156228	No	
row_12	UCK2	936	1.2338606119155884	0.1012474	No	
row_13	NT5E	1116	1.1391433477401733	0.09202688	No	
row_14	RHOB	1241	1.0772536993026733	0.088429496	No	
row_15	MAP6	1312	1.0414104461669922	0.09059432	No	
row_16	CD48	1338	1.0280647277832031	0.09772098	No	
row_17	ALCAM	1437	0.9929682612419128	0.09624895	No	
row_18	DENND5A	1613	0.9192914366722107	0.085352086	No	
row_19	GABARAPL1	1668	0.8899056315422058	0.08786	No	
row_20	HIPK2	2027	0.7625433206558228	0.054741602	No	
row_21	CCNE1	2267	0.6779822111129761	0.034267437	No	
row_22	IRF6	2510	0.597117006778717	0.012670826	No	
row_23	TNFRSF21	2577	0.5772019028663635	0.010793126	No	
row_24	LRRC8C	2603	0.5673943758010864	0.013458991	No	
row_25	PIM1	2720	0.5303261280059814	0.0054706316	No	
row_26	RABGAP1L	2772	0.5133826732635498	0.0046719764	No	
row_27	SPP1	2792	0.5102476477622986	0.007463283	No	
row_28	BMPR2	2834	0.49600476026535034	0.007627703	No	
row_29	HUWE1	2883	0.4785955548286438	0.0068315994	No	
row_30	TNFRSF4	2938	0.45648810267448425	0.0051426133	No	
row_31	SLC2A3	2959	0.45115476846694946	0.007248572	No	
row_32	CDC6	3074	0.41864779591560364	-0.0015949304	No	
row_33	FAH	3118	0.4060526490211487	-0.0025278123	No	
row_34	APLP1	3223	0.3759518265724182	-0.010653403	No	
row_35	AHCY	3286	0.3526347577571869	-0.014253109	No	
row_36	ITGAV	3304	0.3469695746898651	-0.0128166	No	
row_37	ST3GAL4	3310	0.3445192873477936	-0.010046197	No	
row_38	IKZF4	3407	0.3183129131793976	-0.017824842	No	
row_39	CAPG	3617	0.2623039782047272	-0.03893009	No	
row_40	BCL2L1	3643	0.2546260952949524	-0.039292846	No	
row_41	UMPS	3821	0.2029852271080017	-0.05735217	No	
row_42	LTB	3855	0.1950780302286148	-0.059196632	No	
row_43	CD83	3903	0.18039259314537048	-0.062767185	No	
row_44	BHLHE40	3951	0.16949957609176636	-0.06644321	No	
row_45	IL4R	4067	0.140128493309021	-0.07809683	No	
row_46	BMP2	4072	0.13830915093421936	-0.07721008	No	
row_47	P4HA1	4179	0.10765758156776428	-0.08815991	No	
row_48	CDC42SE2	4289	0.07463498413562775	-0.099768914	No	
row_49	FURIN	4307	0.06952672451734543	-0.101018965	No	
row_50	AMACR	4359	0.0523921363055706	-0.10628152	No	
row_51	CISH	4438	0.029443642124533653	-0.114820935	No	
row_52	GLIPR2	4511	0.005056426394730806	-0.12291769	No	
row_53	TRAF1	4689	-0.04583995044231415	-0.1424987	No	
row_54	DHRS3	4850	-0.09693191200494766	-0.15966168	No	
row_55	SNX9	4883	-0.10295266658067703	-0.16228507	No	
row_56	SPRED2	4908	-0.10948246717453003	-0.16394016	No	
row_57	IGF2R	5010	-0.1380796581506729	-0.17402974	No	
row_58	ECM1	5495	-0.2735592722892761	-0.2261381	No	
row_59	AGER	5563	-0.29540181159973145	-0.23085769	No	
