NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFNAR1	144	2.1586155891418457	0.035393406	No	
row_1	STAM2	772	1.3386189937591553	-0.0029859184	No	
row_2	CBL	1211	1.0933667421340942	-0.026017092	No	
row_3	CD38	1460	0.9820395708084106	-0.030389676	No	
row_4	STAT1	1546	0.9439523816108704	-0.017383922	No	
row_5	CCR1	1594	0.9240796566009521	-5.8930786E-4	No	
row_6	ACVR1B	1951	0.7885519862174988	-0.021699673	No	
row_7	PTPN11	2420	0.6205253601074219	-0.05938857	No	
row_8	TNFRSF21	2577	0.5772019028663635	-0.06310702	No	
row_9	PIM1	2720	0.5303261280059814	-0.06637417	No	
row_10	PIK3R5	2782	0.5116745829582214	-0.06099888	No	
row_11	CD14	2957	0.45158156752586365	-0.06973677	No	
row_12	IFNGR2	3072	0.4192887544631958	-0.0725141	No	
row_13	LTB	3855	0.1950780302286148	-0.15559249	No	
row_14	CSF2RB	4013	0.15352781116962433	-0.16954084	No	
row_15	IL4R	4067	0.140128493309021	-0.17214082	No	
row_16	JUN	4292	0.07309254258871078	-0.19552714	No	
row_17	ITGA4	4513	0.0048141442239284515	-0.22009522	No	
row_18	IL2RG	4665	-0.038980621844530106	-0.23610587	No	
row_19	CNTFR	4827	-0.09132435917854309	-0.25198847	No	
row_20	PTPN1	5122	-0.16609573364257812	-0.2810075	No	
row_21	STAT2	5744	-0.34484153985977173	-0.34244588	No	
row_22	STAT3	5831	-0.3727121353149414	-0.34319404	No	
row_23	IL6ST	6059	-0.4432104825973511	-0.3580782	No	
row_24	IL12RB1	6133	-0.4693542420864105	-0.3550599	No	
row_25	HAX1	6168	-0.4787258803844452	-0.34744218	No	
row_26	SOCS3	6309	-0.5163145065307617	-0.35081953	No	
row_27	OSMR	6317	-0.5180845856666565	-0.3392326	No	
row_28	INHBE	6517	-0.5924409031867981	-0.34741154	No	
row_29	CD44	6596	-0.623298168182373	-0.34127793	No	
row_30	CSF3R	6602	-0.6244590878486633	-0.3269263	No	
row_31	MYD88	7266	-0.8672800064086914	-0.38060063	Yes	
row_32	TNFRSF1B	7353	-0.9078129529953003	-0.36857012	Yes	
row_33	PDGFC	7367	-0.9143965244293213	-0.3481921	Yes	
row_34	IL1R1	7553	-1.001068115234375	-0.34504193	Yes	
row_35	IL17RB	7843	-1.1617029905319214	-0.34972402	Yes	
row_36	TYK2	7916	-1.2018632888793945	-0.32910058	Yes	
row_37	BAK1	7956	-1.2228143215179443	-0.30427438	Yes	
row_38	IFNGR1	8093	-1.30647873878479	-0.28833315	Yes	
row_39	CSF1	8110	-1.3223247528076172	-0.25855005	Yes	
row_40	IL17RA	8351	-1.5144004821777344	-0.24931183	Yes	
row_41	ACVRL1	8448	-1.6005574464797974	-0.22185995	Yes	
row_42	HMOX1	8481	-1.6365693807601929	-0.18636753	Yes	
row_43	LTBR	8487	-1.6406222581863403	-0.14774905	Yes	
row_44	IL15RA	8556	-1.7183451652526855	-0.114342816	Yes	
row_45	IRF1	8796	-2.157546043395996	-0.08963355	Yes	
row_46	TNFRSF1A	8957	-4.514464378356934	2.244004E-4	Yes	
