NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFNAR1	144	2.1586155891418457	0.004362111	No	
row_1	SEMA4D	550	1.5026071071624756	-0.027045596	No	
row_2	LPAR1	604	1.457179069519043	-0.019104606	No	
row_3	CXCL6	653	1.420026183128357	-0.010953709	No	
row_4	RHOG	729	1.3655112981796265	-0.006375526	No	
row_5	KCNJ2	751	1.35004723072052	0.0041578896	No	
row_6	IL10RA	779	1.3341041803359985	0.013860767	No	
row_7	ITGB8	796	1.3254106044769287	0.02472375	No	
row_8	GABBR1	809	1.3157321214675903	0.035946283	No	
row_9	NDP	902	1.2535722255706787	0.03753296	No	
row_10	TACR3	931	1.2367302179336548	0.046191894	No	
row_11	SCN1B	967	1.2210490703582764	0.05390977	No	
row_12	SRI	978	1.2130978107452393	0.06437713	No	
row_13	P2RY2	1132	1.1304925680160522	0.057892915	No	
row_14	ROS1	1188	1.1026757955551147	0.062218715	No	
row_15	SLC4A4	1209	1.0936152935028076	0.07041359	No	
row_16	ATP2B1	1284	1.0550904273986816	0.07213708	No	
row_17	CD48	1338	1.0280647277832031	0.07597561	No	
row_18	KCNA3	1373	1.0151071548461914	0.08183765	No	
row_19	KCNMB2	1483	0.9697794318199158	0.078789845	No	
row_20	TLR3	1706	0.872863233089447	0.06204425	No	
row_21	NMI	1709	0.8720051050186157	0.07015483	No	
row_22	ACVR1B	1951	0.7885519862174988	0.050455812	No	
row_23	PSEN1	2106	0.7380016446113586	0.040106256	No	
row_24	TNFAIP6	2143	0.7230247259140015	0.04294986	No	
row_25	CD82	2222	0.6932392716407776	0.040761873	No	
row_26	CHST2	2283	0.6697165369987488	0.040383358	No	
row_27	P2RX7	2358	0.6439481973648071	0.038176212	No	
row_28	CD40	2758	0.5183937549591064	-0.001962734	No	
row_29	CX3CL1	2771	0.5140249133110046	0.0015952511	No	
row_30	PIK3R5	2782	0.5116745829582214	0.0053568063	No	
row_31	PTGIR	2799	0.5073235034942627	0.008398645	No	
row_32	IRAK2	2951	0.4534228444099426	-0.004332509	No	
row_33	CD14	2957	0.45158156752586365	-5.803604E-4	No	
row_34	IFNGR2	3072	0.4192887544631958	-0.009456109	No	
row_35	SLC31A1	3091	0.4133193790912628	-0.0075390167	No	
row_36	OPRK1	3248	0.3655431568622589	-0.021675425	No	
row_37	RIPK2	3368	0.3310682475566864	-0.031959686	No	
row_38	PDE4B	3386	0.3265910744667053	-0.03075872	No	
row_39	GCH1	3455	0.30694320797920227	-0.03550961	No	
row_40	RNF144B	3548	0.2818886339664459	-0.043212503	No	
row_41	SLC1A2	3592	0.26948508620262146	-0.045496006	No	
row_42	LDLR	3653	0.25058668851852417	-0.049881518	No	
