NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADAR	135	2.1811256408691406	0.02050749	No	
row_1	IFIT2	154	2.114964246749878	0.05307174	No	
row_2	CNP	162	2.0899393558502197	0.08646203	No	
row_3	HERC6	497	1.5533331632614136	0.074356355	No	
row_4	IFIT3	1463	0.9810894131660461	-0.01796617	No	
row_5	TRIM14	1589	0.9249048233032227	-0.016878443	No	
row_6	NMI	1709	0.8720051050186157	-0.015981996	No	
row_7	CMPK2	1724	0.86787348985672	-0.0033619865	No	
row_8	NCOA7	1825	0.8318540453910828	-9.884901E-4	No	
row_9	NUB1	2464	0.6095325350761414	-0.062666066	No	
row_10	LAP3	2519	0.5934867262840271	-0.059024908	No	
row_11	OASL	2543	0.5856935381889343	-0.052029997	No	
row_12	TXNIP	3140	0.39993926882743835	-0.11241856	No	
row_13	CD47	3345	0.33619803190231323	-0.12982926	No	
row_14	RIPK2	3368	0.3310682475566864	-0.12688589	No	
row_15	TRIM26	3430	0.3138226866722107	-0.1286041	No	
row_16	OGFR	3744	0.22639378905296326	-0.16005072	No	
row_17	RSAD2	3859	0.1938650906085968	-0.16968228	No	
row_18	IL4R	4067	0.140128493309021	-0.19063614	No	
row_19	EIF2AK2	4409	0.037673693150281906	-0.22831316	No	
row_20	USP18	4454	0.023042505607008934	-0.2328774	No	
row_21	MX1	4608	-0.02108224295079708	-0.249714	No	
row_22	TDRD7	4659	-0.03687060996890068	-0.2547259	No	
row_23	CASP8	5188	-0.18798334896564484	-0.31094438	No	
row_24	SLC25A28	5523	-0.28452032804489136	-0.3437987	No	
row_25	RNF31	5665	-0.32352501153945923	-0.35434195	No	
row_26	STAT2	5744	-0.34484153985977173	-0.35746196	No	
row_27	UBA7	6247	-0.5004892945289612	-0.40565038	No	
row_28	B2M	6814	-0.6905920505523682	-0.45791706	No	
row_29	PNPT1	6891	-0.7141106128692627	-0.45477387	No	
row_30	PARP12	7049	-0.7752837538719177	-0.45972636	No	
row_31	TRIM21	7128	-0.8047773241996765	-0.45532513	No	
row_32	OAS1	7343	-0.9022687673568726	-0.46460193	No	
row_33	IRF2	7572	-1.0117517709732056	-0.47366056	No	
row_34	ISG15	7828	-1.1489745378494263	-0.48350722	Yes	
row_35	CD74	7970	-1.22747802734375	-0.4792683	Yes	
row_36	PSMB9	7971	-1.2276382446289062	-0.459193	Yes	
row_37	IFI44L	8005	-1.2479387521743774	-0.44249147	Yes	
row_38	CSF1	8110	-1.3223247528076172	-0.4325466	Yes	
row_39	IRF7	8164	-1.3560446500778198	-0.41632318	Yes	
row_40	DHX58	8188	-1.3716689348220825	-0.39647537	Yes	
row_41	PSMA3	8235	-1.4090092182159424	-0.37859976	Yes	
row_42	ELF1	8267	-1.4317536354064941	-0.35866776	Yes	
row_43	PARP9	8392	-1.5508323907852173	-0.34723207	Yes	
row_44	IFI35	8450	-1.6018036603927612	-0.327439	Yes	
row_45	ISG20	8467	-1.621870517730713	-0.30271363	Yes	
row_46	TRAFD1	8482	-1.6366921663284302	-0.27752128	Yes	
row_47	PARP14	8523	-1.6801080703735352	-0.25453866	Yes	
row_48	TRIM5	8562	-1.7259000539779663	-0.23058262	Yes	
row_49	IRF1	8796	-2.157546043395996	-0.22146578	Yes	
row_50	BST2	8798	-2.16698956489563	-0.18614173	Yes	
row_51	PSME1	8802	-2.177776336669922	-0.15086588	Yes	
row_52	MOV10	8880	-2.546329975128174	-0.11787309	Yes	
row_53	PSME2	8892	-2.6178815364837646	-0.076298654	Yes	
row_54	IFI27	8959	-5.119019508361816	7.6921424E-8	Yes	
