NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ISOC1	122	2.2094271183013916	0.0055664876	No	
row_1	ADAR	135	2.1811256408691406	0.023329716	No	
row_2	IFIT2	154	2.114964246749878	0.03983413	No	
row_3	SSPN	179	2.0279147624969482	0.054896615	No	
row_4	LYSMD2	192	2.001434564590454	0.07108458	No	
row_5	PLA2G4A	256	1.8535163402557373	0.08020594	No	
row_6	HERC6	497	1.5533331632614136	0.06667084	No	
row_7	BTG1	584	1.4692238569259644	0.069821194	No	
row_8	EIF4E3	602	1.4573397636413574	0.08067368	No	
row_9	IL10RA	779	1.3341041803359985	0.07245735	No	
row_10	PML	846	1.290644884109497	0.07630489	No	
row_11	SRI	978	1.2130978107452393	0.07211883	No	
row_12	SOD2	1244	1.0742671489715576	0.051555637	No	
row_13	IFIT1	1337	1.0283292531967163	0.050162073	No	
row_14	PTGS2	1396	1.005266785621643	0.05241292	No	
row_15	CD38	1460	0.9820395708084106	0.05389447	No	
row_16	IFIT3	1463	0.9810894131660461	0.062268928	No	
row_17	STAT1	1546	0.9439523816108704	0.061267022	No	
row_18	TRIM14	1589	0.9249048233032227	0.064623535	No	
row_19	NMI	1709	0.8720051050186157	0.05880491	No	
row_20	CMPK2	1724	0.86787348985672	0.06482924	No	
row_21	TNFAIP6	2143	0.7230247259140015	0.023877222	No	
row_22	ST3GAL5	2298	0.6644362807273865	0.01227922	No	
row_23	LAP3	2519	0.5934867262840271	-0.00740767	No	
row_24	OASL	2543	0.5856935381889343	-0.0048752893	No	
row_25	ARID5B	2647	0.5524408221244812	-0.011685216	No	
row_26	STAT4	2661	0.5491108298301697	-0.008342188	No	
row_27	PIM1	2720	0.5303261280059814	-0.010254909	No	
row_28	CD40	2758	0.5183937549591064	-0.009896402	No	
row_29	TXNIP	3140	0.39993926882743835	-0.04949476	No	
row_30	CD274	3238	0.370930939912796	-0.05721708	No	
row_31	NUP93	3275	0.3566262423992157	-0.058163576	No	
row_32	RIPK2	3368	0.3310682475566864	-0.06566968	No	
row_33	PDE4B	3386	0.3265910744667053	-0.064729914	No	
row_34	TRIM26	3430	0.3138226866722107	-0.06684359	No	
row_35	GCH1	3455	0.30694320797920227	-0.06686801	No	
row_36	AUTS2	3591	0.27001330256462097	-0.079774156	No	
row_37	OGFR	3744	0.22639378905296326	-0.09498599	No	
row_38	RSAD2	3859	0.1938650906085968	-0.10618386	No	
row_39	CSF2RB	4013	0.15352781116962433	-0.122147605	No	
row_40	CASP7	4050	0.14394474029541016	-0.124958575	No	
row_41	IL4R	4067	0.140128493309021	-0.1255403	No	
row_42	P2RY14	4169	0.11061080545186996	-0.13599725	No	
row_43	OAS3	4262	0.08031381666660309	-0.1457016	No	
row_44	EIF2AK2	4409	0.037673693150281906	-0.16188905	No	
row_45	USP18	4454	0.023042505607008934	-0.16666497	No	
row_46	PELI1	4606	-0.020451676100492477	-0.18356907	No	
row_47	MX1	4608	-0.02108224295079708	-0.18349738	No	
row_48	TDRD7	4659	-0.03687060996890068	-0.18883091	No	
row_49	PSMA2	4893	-0.10544240474700928	-0.214267	No	
row_50	TOR1B	4928	-0.11395036429166794	-0.21711464	No	
row_51	VAMP8	4994	-0.133132204413414	-0.2233013	No	
