NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOX10	118	2.2297325134277344	0.012207349	Yes	
row_1	EFHD1	157	2.109259843826294	0.032063015	Yes	
row_2	NGB	229	1.9027009010314941	0.04583054	Yes	
row_3	HTR1B	244	1.869182825088501	0.06564636	Yes	
row_4	WNT16	400	1.6580389738082886	0.06713469	Yes	
row_5	THRB	418	1.6374858617782593	0.08395986	Yes	
row_6	MFSD6	537	1.5160044431686401	0.087997526	Yes	
row_7	NOS1	561	1.494255781173706	0.10250617	Yes	
row_8	IL5	563	1.4941606521606445	0.119496234	Yes	
row_9	ASB7	678	1.405706763267517	0.122722745	Yes	
row_10	TEX15	705	1.384049654006958	0.13563138	Yes	
row_11	KLK8	777	1.3365001678466797	0.1429179	Yes	
row_12	SNN	968	1.2184903621673584	0.1354255	Yes	
row_13	MAST3	975	1.2151964902877808	0.14865819	Yes	
row_14	SPHK2	992	1.2052421569824219	0.16064852	Yes	
row_15	SIDT1	1073	1.16006600856781	0.16489992	Yes	
row_16	EGF	1112	1.14113450050354	0.17367393	Yes	
row_17	GPRC5C	1206	1.0953043699264526	0.17571709	Yes	
row_18	P2RX6	1229	1.081834316253662	0.18561779	Yes	
row_19	CLSTN3	1314	1.0408543348312378	0.18805325	Yes	
row_20	CCDC106	1407	1.0019128322601318	0.18914025	Yes	
row_21	DLK2	1439	0.9923623204231262	0.19700123	Yes	
row_22	CDKAL1	1701	0.8771988749504089	0.1775905	No	
row_23	C5	1846	0.8239763975143433	0.17077298	No	
row_24	DCC	1982	0.7775012850761414	0.16443908	No	
row_25	KCND1	2013	0.7665232419967651	0.16982785	No	
row_26	PLAG1	2064	0.7515819668769836	0.17278875	No	
row_27	FGFR3	2128	0.7280810475349426	0.17401373	No	
row_28	KLHDC8A	2183	0.7082578539848328	0.17602737	No	
row_29	KCNE2	2252	0.6835024356842041	0.17617786	No	
row_30	SNCB	2270	0.6775368452072144	0.18201499	No	
row_31	SLC29A3	2279	0.6716389060020447	0.18880017	No	
row_32	CHST2	2283	0.6697165369987488	0.19612755	No	
row_33	PTPRJ	2392	0.6297357678413391	0.19114897	No	
row_34	BMPR1B	2501	0.6001858115196228	0.18583211	No	
row_35	RYR2	2522	0.5929656028747559	0.19036268	No	
row_36	CALCB	2557	0.5821823477745056	0.19319001	No	
row_37	CPEB3	2629	0.5576776266098022	0.19156173	No	
row_38	ZBTB16	2948	0.4541214108467102	0.16087629	No	
row_39	TGFB2	3242	0.36801618337631226	0.13202627	No	
row_40	EPHA5	3263	0.36152371764183044	0.13390763	No	
row_41	IGFBP2	3459	0.3065224587917328	0.11541217	No	
row_42	TAS2R4	3480	0.30028125643730164	0.11659251	No	
row_43	SKIL	3618	0.2622927725315094	0.10413558	No	
row_44	SLC16A7	3746	0.22627636790275574	0.09239481	No	
row_45	CD80	3788	0.21655656397342682	0.090247124	No	
row_46	RSAD2	3859	0.1938650906085968	0.08456731	No	
row_47	EDAR	4082	0.13628460466861725	0.06107651	No	
row_48	GPR19	4465	0.016789879649877548	0.018163301	No	
row_49	ARHGDIG	4575	-0.014225651510059834	0.006026429	No	
row_50	MX1	4608	-0.02108224295079708	0.0026568242	No	
row_51	NR4A2	4623	-0.02655685320496559	0.0013810283	No	
row_52	SSTR4	4754	-0.06642575562000275	-0.012528004	No	
row_53	COL2A1	4777	-0.07605265080928802	-0.014139977	No	
row_54	ENTPD7	4806	-0.08526123315095901	-0.016323593	No	
row_55	CNTFR	4827	-0.09132435917854309	-0.017535076	No	
row_56	GTF3C5	4919	-0.11264043301343918	-0.0265143	No	
row_57	RGS11	5048	-0.1469990313053131	-0.039275367	No	
row_58	CACNA1F	5268	-0.20506492257118225	-0.061640345	No	
row_59	SLC30A3	5373	-0.23595161736011505	-0.07067502	No	
row_60	SPTBN2	5467	-0.2641589343547821	-0.07814558	No	
row_61	GPR3	5474	-0.2664656937122345	-0.075772524	No	
row_62	CYP39A1	5626	-0.3098583221435547	-0.08926477	No	
row_63	PTGFR	5721	-0.33972644805908203	-0.095983185	No	
row_64	BTG2	5956	-0.4099688231945038	-0.11769535	No	
row_65	COPZ2	5984	-0.42034992575645447	-0.115930535	No	
row_66	MEFV	6020	-0.4314270317554474	-0.11494165	No	
row_67	PKP1	6046	-0.4379926025867462	-0.112749204	No	
row_68	NR6A1	6285	-0.5103760361671448	-0.13376342	No	
row_69	TFCP2L1	6487	-0.5827954411506653	-0.14977357	No	
row_70	KCNMB1	6581	-0.6166338324546814	-0.15320951	No	
row_71	PDCD1	6669	-0.6441653966903687	-0.15565327	No	
row_72	TG	6731	-0.6662041544914246	-0.15491089	No	
row_73	FGF22	6901	-0.7181022763252258	-0.16576132	No	
row_74	PDE6B	6904	-0.7195363640785217	-0.15775083	No	
row_75	CCNA1	6956	-0.7384922504425049	-0.15505259	No	
row_76	GAMT	7031	-0.7680193781852722	-0.15461172	No	
row_77	MYO15A	7155	-0.8189535140991211	-0.15911706	No	
