NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM2	33	2.792651414871216	0.030758984	Yes	
row_1	EIF4H	150	2.134071111679077	0.043976087	Yes	
row_2	YWHAQ	397	1.6628938913345337	0.036639992	Yes	
row_3	MAD2L1	514	1.5352181196212769	0.042459212	Yes	
row_4	SET	782	1.3319814205169678	0.028655346	Yes	
row_5	ABCE1	803	1.3204474449157715	0.04270084	Yes	
row_6	PGK1	885	1.2652860879898071	0.04915193	Yes	
row_7	PTGES3	906	1.2491742372512817	0.062316954	Yes	
row_8	GLO1	918	1.2410293817520142	0.07640131	Yes	
row_9	SNRPD3	946	1.2312147617340088	0.08855118	Yes	
row_10	RRM1	1148	1.1227675676345825	0.07964241	Yes	
row_11	EIF4E	1160	1.1157515048980713	0.09217915	Yes	
row_12	XRCC6	1246	1.0739294290542603	0.09581302	Yes	
row_13	RAN	1287	1.0543848276138306	0.104305185	Yes	
row_14	STARD7	1344	1.0264126062393188	0.11063856	Yes	
row_15	PRPF31	1406	1.0025558471679688	0.116110586	Yes	
row_16	MRPL9	1462	0.9813169836997986	0.1220002	Yes	
row_17	CANX	1527	0.9530003666877747	0.12652007	Yes	
row_18	GOT2	1584	0.9270618557929993	0.13162611	Yes	
row_19	EIF1AX	1683	0.8854616284370422	0.13145852	Yes	
row_20	KPNB1	1689	0.8825415372848511	0.14179428	Yes	
row_21	HSPE1	1827	0.8311063051223755	0.13653545	No	
row_22	HDDC2	1933	0.7934790253639221	0.13443826	No	
row_23	POLD2	1985	0.7764592170715332	0.13825049	No	
row_24	CCT4	2136	0.7256344556808472	0.13021547	No	
row_25	USP1	2217	0.6948720216751099	0.12973332	No	
row_26	SF3B3	2416	0.622327983379364	0.11498239	No	
row_27	PRDX3	2451	0.613489031791687	0.11870795	No	
row_28	PSMD7	2472	0.6064488887786865	0.12393312	No	
row_29	MRPS18B	2666	0.5476100444793701	0.1088258	No	
row_30	CCT5	2727	0.5289297699928284	0.10856026	No	
row_31	PSMA1	2809	0.5043582916259766	0.105611295	No	
row_32	POLE3	2857	0.4866073429584503	0.106296174	No	
row_33	EEF1B2	2906	0.47072675824165344	0.10667155	No	
row_34	VDAC1	3043	0.4249829351902008	0.096509025	No	
row_35	PRDX4	3185	0.38552314043045044	0.08529241	No	
row_36	EIF4G2	3236	0.37137699127197266	0.084213816	No	
row_37	TXNL4A	3237	0.37115442752838135	0.08879884	No	
row_38	MCM6	3252	0.3648395538330078	0.09171928	No	
row_39	APEX1	3262	0.3616543114185333	0.095166996	No	
row_40	IMPDH2	3287	0.35239508748054504	0.096800424	No	
row_41	SLC25A3	3297	0.34831851720809937	0.1000834	No	
row_42	DEK	3308	0.3446781635284424	0.10320808	No	
row_43	EIF3D	3366	0.3313923180103302	0.10084225	No	
row_44	TCP1	3446	0.3101049065589905	0.095720254	No	
row_45	DHX15	3452	0.3085482120513916	0.09896524	No	
row_46	HSP90AB1	3490	0.2974291741847992	0.0984464	No	
row_47	CUL1	3613	0.26356077194213867	0.08787634	No	
row_48	TARDBP	3740	0.2289394736289978	0.07642529	No	
row_49	PSMA6	3863	0.19314099848270416	0.06498531	No	
row_50	CDC20	3924	0.17580576241016388	0.060357474	No	
row_51	RANBP1	3929	0.1748032420873642	0.062063582	No	
row_52	EIF3B	3966	0.1675948202610016	0.060054168	No	
row_53	SRM	4022	0.15197212994098663	0.055698544	No	
row_54	MCM4	4035	0.14786900579929352	0.0561653	No	
row_55	CDK4	4065	0.14057931303977966	0.054615445	No	
row_56	TUFM	4200	0.10071121901273727	0.040673718	No	
row_57	VBP1	4275	0.07803715765476227	0.033251524	No	
row_58	PHB2	4309	0.06911198049783707	0.030365491	No	
row_59	CCT7	4358	0.052640706300735474	0.025576074	No	
row_60	ILF2	4414	0.03620850667357445	0.019790372	No	
row_61	EIF3J	4426	0.032478488981723785	0.018944992	No	
row_62	PSMD3	4443	0.027688000351190567	0.017473796	No	
row_63	UBE2L3	4469	0.016166353598237038	0.0148403235	No	
row_64	SYNCRIP	4525	-8.699569152668118E-4	0.00861807	No	
row_65	EXOSC7	4669	-0.040281426161527634	-0.0070901196	No	
row_66	PSMD1	4788	-0.07970985025167465	-0.019478051	No	
row_67	TYMS	4801	-0.08313222229480743	-0.019811012	No	
row_68	COX5A	4803	-0.08425848186016083	-0.01888346	No	
row_69	PSMC4	4815	-0.08765951544046402	-0.019047165	No	
row_70	XPO1	4884	-0.1029752716422081	-0.025481325	No	
row_71	PSMA2	4893	-0.10544240474700928	-0.02508537	No	
row_72	PCNA	4943	-0.11880572140216827	-0.02917075	No	
row_73	EIF2S2	4946	-0.1197148784995079	-0.027918516	No	
row_74	RFC4	4962	-0.12456673383712769	-0.028079601	No	
row_75	SF3A1	5037	-0.1451350599527359	-0.034672905	No	
row_76	XPOT	5041	-0.1456316113471985	-0.03321384	No	
row_77	NAP1L1	5181	-0.18491844832897186	-0.04668196	No	
row_78	HSPD1	5283	-0.2088916152715683	-0.05554749	No	
row_79	HNRNPC	5288	-0.21012967824935913	-0.05340498	No	
row_80	PSMA4	5341	-0.22605854272842407	-0.056505404	No	
row_81	PSMD14	5357	-0.23109672963619232	-0.05535048	No	
row_82	CCT2	5358	-0.23137229681015015	-0.052492242	No	
row_83	RPL22	5379	-0.23803484439849854	-0.051818244	No	
row_84	ETF1	5475	-0.26710936427116394	-0.059284624	No	
row_85	LSM2	5489	-0.2708315849304199	-0.057412185	No	
row_86	SNRPD2	5520	-0.2829361855983734	-0.057316773	No	
row_87	MRPL23	5567	-0.29602304100990295	-0.058872934	No	
row_88	ERH	5588	-0.30052223801612854	-0.057427004	No	
row_89	HNRNPU	5591	-0.30111318826675415	-0.05393388	No	
row_90	SRPK1	5619	-0.3072143793106079	-0.053198572	No	
row_91	RSL1D1	5621	-0.30810531973838806	-0.049505744	No	
row_92	AP3S1	5698	-0.33225443959236145	-0.054014143	No	
row_93	BUB3	5699	-0.33239462971687317	-0.049907934	No	
row_94	RUVBL2	5742	-0.3446309268474579	-0.05041031	No	
row_95	LDHA	5745	-0.3450136184692383	-0.04637487	No	
row_96	HNRNPA1	5824	-0.3672826290130615	-0.050677203	No	
row_97	IFRD1	5825	-0.3679157495498657	-0.046132185	No	
row_98	EIF2S1	5926	-0.40155595541000366	-0.052504327	No	
row_99	PPM1G	5938	-0.4035545289516449	-0.04876565	No	
row_100	CLNS1A	6029	-0.43311989307403564	-0.053614594	No	
row_101	GNL3	6143	-0.47201046347618103	-0.060589638	No	
row_102	KPNA2	6321	-0.5190067887306213	-0.07423706	No	
row_103	PSMC6	6326	-0.5203167796134949	-0.06826268	No	
row_104	SNRPD1	6341	-0.5245581865310669	-0.06336918	No	
row_105	COPS5	6403	-0.5469768047332764	-0.06352511	No	
row_106	TRIM28	6457	-0.5670700669288635	-0.0625262	No	
row_107	NCBP2	6537	-0.5983023047447205	-0.06408799	No	
