NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYLK	52	2.5569934844970703	0.017588051	No	
row_1	KCNH1	57	2.527712106704712	0.040334772	No	
row_2	SSPN	179	2.0279147624969482	0.04526511	No	
row_3	CHRNA1	190	2.001722574234009	0.06250594	No	
row_4	PRNP	441	1.6131349802017212	0.049043328	No	
row_5	NOS1	561	1.494255781173706	0.049301956	No	
row_6	SCD	685	1.3993337154388428	0.04823712	No	
row_7	MEF2D	789	1.3288391828536987	0.048786715	No	
row_8	EFS	920	1.2400331497192383	0.04546834	No	
row_9	AGL	987	1.210442066192627	0.04911493	No	
row_10	PKIA	1374	1.0150983333587646	0.014785959	No	
row_11	PFKM	1633	0.9090949296951294	-0.006042809	No	
row_12	GNAO1	1757	0.8547418117523193	-0.012105837	No	
row_13	ACSL1	1887	0.8084837794303894	-0.019271841	No	
row_14	MEF2A	2022	0.7638481259346008	-0.02741286	No	
row_15	KIFC3	2227	0.6916824579238892	-0.04413118	No	
row_16	CDH13	2308	0.66142338514328	-0.0471064	No	
row_17	CKB	2390	0.6302187442779541	-0.05048109	No	
row_18	BAG1	2414	0.6228457093238831	-0.047365326	No	
row_19	APP	2458	0.6117742657661438	-0.046612598	No	
row_20	SPTAN1	2478	0.6052266955375671	-0.04320626	No	
row_21	PYGM	2640	0.5547808408737183	-0.056318987	No	
row_22	STC2	2691	0.5377673506736755	-0.05703698	No	
row_23	HSPB8	2762	0.5170539617538452	-0.0602065	No	
row_24	ERBB3	2817	0.5018106698989868	-0.06170678	No	
row_25	BDKRB2	2884	0.47846493124961853	-0.06477818	No	
row_26	CRAT	3063	0.4217894971370697	-0.08103369	No	
row_27	TNNT2	3149	0.3975793719291687	-0.086995795	No	
row_28	NQO1	3207	0.3809509873390198	-0.08994453	No	
row_29	TNNC2	3268	0.35866406559944153	-0.093437016	No	
row_30	DAPK2	3272	0.3578987717628479	-0.09049148	No	
row_31	EIF4A2	3377	0.3282979726791382	-0.09923779	No	
row_32	IGF1	3397	0.32258862257003784	-0.09842547	No	
row_33	ACTN2	3522	0.28853240609169006	-0.10979816	No	
row_34	GJA5	3539	0.28471481800079346	-0.10899422	No	
row_35	AK1	3577	0.27479928731918335	-0.11065578	No	
row_36	PICK1	3698	0.2391919195652008	-0.12202903	No	
row_37	SORBS3	3780	0.21793197095394135	-0.12918763	No	
row_38	COL4A2	3834	0.19951188564300537	-0.1333493	No	
row_39	ACHE	3875	0.18878595530986786	-0.13613948	No	
row_40	BHLHE40	3951	0.16949957609176636	-0.14306417	No	
row_41	NCAM1	3982	0.16293838620185852	-0.14496087	No	
row_42	FHL1	3983	0.16261237859725952	-0.14346844	No	
row_43	SGCA	4056	0.1427280306816101	-0.15029961	No	
row_44	HSPB2	4178	0.1081952229142189	-0.1629882	No	
