NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PHYH	126	2.2045555114746094	0.01108945	Yes	
row_1	PDP1	197	1.977734088897705	0.025912343	Yes	
row_2	TIMM17A	394	1.6656875610351562	0.022874385	Yes	
row_3	ATP6V1C1	539	1.514375925064087	0.023985462	Yes	
row_4	DLD	663	1.415381669998169	0.026336262	Yes	
row_5	SDHC	757	1.3468912839889526	0.03129706	Yes	
row_6	MAOB	821	1.3082997798919678	0.039211806	Yes	
row_7	MFN2	838	1.297749638557434	0.052328553	Yes	
row_8	MRPL15	907	1.2478090524673462	0.058981113	Yes	
row_9	AFG3L2	937	1.233654499053955	0.06988811	Yes	
row_10	PDK4	1026	1.1832077503204346	0.073532246	Yes	
row_11	DLAT	1139	1.1266963481903076	0.073807985	Yes	
row_12	HCCS	1274	1.062587022781372	0.07085444	Yes	
row_13	MTRR	1364	1.0194650888442993	0.072501674	Yes	
row_14	NDUFS4	1419	0.9982940554618835	0.077869564	Yes	
row_15	IDH3A	1553	0.9398590922355652	0.07361745	Yes	
row_16	NDUFS1	1577	0.9292269945144653	0.08170197	Yes	
row_17	GOT2	1584	0.9270618557929993	0.09168706	Yes	
row_18	COX8A	1658	0.895683765411377	0.09372255	Yes	
row_19	SUCLA2	1731	0.8643051981925964	0.09551034	Yes	
row_20	NDUFA1	1734	0.8635168671607971	0.10521747	Yes	
row_21	VDAC2	1770	0.8507096767425537	0.111039594	Yes	
row_22	MRPS12	1992	0.772049605846405	0.094889894	Yes	
row_23	ATP6V1G1	2016	0.7654184103012085	0.10109001	Yes	
row_24	COX11	2024	0.7635040283203125	0.10908031	Yes	
row_25	LRPPRC	2175	0.7122948169708252	0.10028488	Yes	
row_26	OGDH	2187	0.7063098549842834	0.10716418	Yes	
row_27	COX6B1	2266	0.6781864166259766	0.10613133	Yes	
row_28	CPT1A	2364	0.6412197351455688	0.102521226	Yes	
row_29	SLC25A12	2380	0.6341065764427185	0.108116865	Yes	
row_30	NDUFB5	2385	0.6312978863716125	0.11492609	Yes	
row_31	ISCU	2410	0.6240429878234863	0.1193866	Yes	
row_32	NDUFB2	2422	0.6202405095100403	0.12527578	Yes	
row_33	PRDX3	2451	0.613489031791687	0.12916182	Yes	
row_34	COX10	2457	0.6118393540382385	0.13563395	Yes	
row_35	ECI1	2503	0.5992286205291748	0.13743046	Yes	
row_36	NDUFB4	2516	0.5943312048912048	0.14290832	Yes	
row_37	SLC25A11	2581	0.5766212344169617	0.14229278	Yes	
row_38	NDUFS6	2612	0.565284013748169	0.14539775	Yes	
row_39	MRPS30	2683	0.5412259697914124	0.14369546	No	
row_40	NNT	2871	0.48224058747291565	0.12806281	No	
row_41	UQCRC2	2961	0.45017918944358826	0.123161145	No	
row_42	UQCRB	3007	0.4334510564804077	0.1230506	No	
row_43	VDAC1	3043	0.4249829351902008	0.123975284	No	
row_44	NDUFS2	3053	0.42315104603767395	0.12782373	No	
row_45	COX17	3112	0.40807387232780457	0.12594883	No	
row_46	ETFA	3160	0.39384934306144714	0.12515621	No	
row_47	SLC25A20	3193	0.3838644325733185	0.12594765	No	
row_48	TIMM8B	3226	0.3754522502422333	0.12664233	No	
row_49	COX6C	3234	0.3721589744091034	0.13013071	No	
row_50	ACADSB	3264	0.36137667298316956	0.13100326	No	
row_51	SLC25A3	3297	0.34831851720809937	0.1313858	No	
row_52	SLC25A4	3449	0.30894872546195984	0.11783713	No	
row_53	PDHX	3468	0.30302923917770386	0.11928436	No	
row_54	ACADM	3531	0.28615328669548035	0.11555388	No	
row_55	FH	3550	0.2816756069660187	0.11675546	No	
row_56	OPA1	3556	0.2803480923175812	0.11941419	No	
row_57	UQCRC1	3599	0.26729950308799744	0.11773208	No	
row_58	LDHB	3626	0.2605520784854889	0.11778456	No	
row_59	MDH1	3639	0.25550246238708496	0.119364634	No	
row_60	MTX2	3691	0.24096767604351044	0.11636024	No	
row_61	ALDH6A1	3706	0.2378588765859604	0.11751082	No	
row_62	ATP1B1	3898	0.1823301464319229	0.097975045	No	
row_63	CASP7	4050	0.14394474029541016	0.08252821	No	
row_64	COX7B	4095	0.13115370273590088	0.079053394	No	
row_65	MRPL11	4177	0.10860460996627808	0.07112844	No	
row_66	NDUFA9	4183	0.1064760833978653	0.07178699	No	
row_67	AIFM1	4266	0.07957956194877625	0.06341488	No	
row_68	PHB2	4309	0.06911198049783707	0.059452876	No	
row_69	NDUFB7	4343	0.0569617934525013	0.056370467	No	
row_70	GRPEL1	4367	0.05041494965553284	0.054345377	No	
row_71	DLST	4377	0.04798164963722229	0.053877976	No	
row_72	ACAA1	4497	0.009422448463737965	0.040508058	No	
row_73	ETFB	4596	-0.018413972109556198	0.029620104	No	
row_74	SURF1	4600	-0.01957334578037262	0.02950548	No	
row_75	UQCRH	4650	-0.03399411961436272	0.024346648	No	
row_76	SUPV3L1	4700	-0.04782802239060402	0.019346956	No	
row_77	SDHB	4776	-0.07573139667510986	0.011723416	No	
row_78	NDUFS8	4790	-0.08005716651678085	0.011171951	No	
row_79	COX5A	4803	-0.08425848186016083	0.01078208	No	
row_80	HSPA9	4825	-0.0903232991695404	0.00944261	No	
row_81	FXN	4918	-0.11226608604192734	3.1388164E-4	No	
row_82	MTRF1	5013	-0.13928499817848206	-0.008730554	No	
row_83	SLC25A6	5020	-0.1410643756389618	-0.007787367	No	
row_84	DECR1	5080	-0.15539947152137756	-0.012682217	No	
row_85	SDHD	5089	-0.1581965535879135	-0.011768472	No	
row_86	MRPS15	5161	-0.17856913805007935	-0.017755942	No	
row_87	ABCB7	5180	-0.18419255316257477	-0.017675778	No	
row_88	ACO2	5290	-0.21024517714977264	-0.027602853	No	
row_89	NDUFC2	5389	-0.24205756187438965	-0.035918076	No	
row_90	ALAS1	5496	-0.2737133204936981	-0.04477524	No	
row_91	TOMM22	5554	-0.29260119795799255	-0.047865234	No	
row_92	NDUFB8	5577	-0.29804959893226624	-0.046928342	No	
row_93	MRPL34	5720	-0.33945325016975403	-0.059106726	No	
row_94	LDHA	5745	-0.3450136184692383	-0.057856098	No	
row_95	OXA1L	5917	-0.3974798023700714	-0.072651595	No	
row_96	ATP6V1D	6013	-0.42963919043540955	-0.078469135	No	
row_97	POR	6171	-0.47931164503097534	-0.090737574	No	
row_98	MRPS11	6275	-0.5076443552970886	-0.096563876	No	
row_99	PDHB	6381	-0.5401197671890259	-0.10224311	No	
row_100	HADHA	6421	-0.5543164610862732	-0.10028367	No	
row_101	GPX4	6553	-0.6033954620361328	-0.10817984	No	
row_102	NDUFV2	6588	-0.6193430423736572	-0.10490603	No	
row_103	NDUFS3	6721	-0.6619908809661865	-0.1122414	No	
row_104	SUCLG1	6770	-0.6782259941101074	-0.1098759	No	
row_105	POLR2F	6843	-0.6992421746253967	-0.10998695	No	
row_106	BAX	6949	-0.7344361543655396	-0.113430835	No	
row_107	IDH3B	6984	-0.7488954067230225	-0.10866669	No	
row_108	NDUFA8	7028	-0.7674235701560974	-0.104708776	No	
row_109	MGST3	7115	-0.799543023109436	-0.10525168	No	
row_110	NDUFA5	7322	-0.8925455212593079	-0.11831628	No	
row_111	ATP6V0E1	7352	-0.9075379371643066	-0.111160845	No	
row_112	IDH2	7534	-0.9921619296073914	-0.12024791	No	
row_113	ETFDH	7535	-0.9926649928092957	-0.10882856	No	
row_114	PMPCA	7604	-1.025617003440857	-0.10473204	No	
row_115	IDH1	7623	-1.0402791500091553	-0.09480368	No	
row_116	MRPS22	7651	-1.051406979560852	-0.08576669	No	
row_117	GLUD1	7656	-1.0544567108154297	-0.074089564	No	
row_118	TIMM9	7762	-1.113113522529602	-0.07317724	No	
row_119	TIMM10	8030	-1.262924075126648	-0.08889016	No	
row_120	TCIRG1	8032	-1.265331745147705	-0.074447386	No	
row_121	COX4I1	8050	-1.2780120372772217	-0.061670963	No	
row_122	RHOT2	8076	-1.2934958934783936	-0.049622517	No	
row_123	NDUFB3	8139	-1.33731210231781	-0.04126076	No	
row_124	RETSAT	8147	-1.3426011800765991	-0.026608685	No	
row_125	OAT	8258	-1.4264185428619385	-0.022658499	No	
row_126	HADHB	8401	-1.5615485906600952	-0.020778233	No	
row_127	ACAA2	8493	-1.6448793411254883	-0.012162935	No	
row_128	CYB5A	8516	-1.6700074672698975	0.004556584	No	
row_129	HTRA2	8520	-1.6773203611373901	0.023512227	No	
row_130	NDUFA2	8826	-2.2685844898223877	0.015064153	No	
