NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDRG1	42	2.6653454303741455	0.018395713	No	
row_1	ZNF365	72	2.438788414001465	0.036295477	No	
row_2	BLCAP	257	1.8528363704681396	0.031555854	No	
row_3	ADA	306	1.7737330198287964	0.041527685	No	
row_4	BTG1	584	1.4692238569259644	0.022926116	No	
row_5	FOXO3	635	1.432804822921753	0.029710205	No	
row_6	CCND3	731	1.3651446104049683	0.030811489	No	
row_7	KLK8	777	1.3365001678466797	0.0373252	No	
row_8	ZMAT3	830	1.304229974746704	0.04276604	No	
row_9	WWP1	836	1.2993481159210205	0.053486034	No	
row_10	TGFA	1064	1.164428472518921	0.03789825	No	
row_11	INHBB	1071	1.1614176034927368	0.047306955	No	
row_12	XPC	1230	1.0817691087722778	0.03881369	No	
row_13	CYFIP2	1243	1.0758517980575562	0.046799827	No	
row_14	TM7SF3	1498	0.9642819166183472	0.026416508	No	
row_15	VDR	1772	0.8499999642372131	0.0028892676	No	
row_16	MAPKAPK3	1858	0.8215703368186951	4.0132034E-4	No	
row_17	ACVR1B	1951	0.7885519862174988	-0.0031659962	No	
row_18	CTSD	1955	0.787541389465332	0.0033349022	No	
row_19	SESN1	2012	0.7665830254554749	0.0036528504	No	
row_20	RCHY1	2078	0.7457996010780334	0.0027712525	No	
row_21	CD82	2222	0.6932392716407776	-0.0073984056	No	
row_22	GLS2	2245	0.6854681372642517	-0.003935382	No	
row_23	CDH13	2308	0.66142338514328	-0.005210196	No	
row_24	PRMT2	2361	0.6429386138916016	-0.0055133225	No	
row_25	STOM	2398	0.6282172203063965	-0.0041327244	No	
row_26	NOL8	2408	0.6253079175949097	2.7966878E-4	No	
row_27	ISCU	2410	0.6240429878234863	0.005586872	No	
row_28	RAD51C	2437	0.6169238090515137	0.008001622	No	
row_29	CDKN2B	2452	0.6132275462150574	0.011742962	No	
row_30	APP	2458	0.6117742657661438	0.0164907	No	
row_31	TPRKB	2542	0.5858033895492554	0.012181334	No	
row_32	PTPN14	2732	0.5268387198448181	-0.0046420097	No	
row_33	ZBTB16	2948	0.4541214108467102	-0.025040817	No	
row_34	PITPNC1	3004	0.43399763107299805	-0.027498474	No	
row_35	TXNIP	3140	0.39993926882743835	-0.039309934	No	
row_36	RPS12	3378	0.3280237913131714	-0.06329496	No	
row_37	FAM162A	3414	0.31732144951820374	-0.064501576	No	
row_38	GADD45A	3428	0.31450045108795166	-0.06324175	No	
row_39	AK1	3577	0.27479928731918335	-0.077612095	No	
row_40	LDHB	3626	0.2605520784854889	-0.080783725	No	
row_41	FUCA1	3658	0.24927614629268646	-0.08212848	No	
row_42	SP1	3902	0.18082742393016815	-0.10807141	No	
row_43	CDK5R1	3933	0.17387503385543823	-0.10995787	No	
row_44	SLC19A2	4028	0.15028263628482819	-0.119295634	No	
row_45	STEAP3	4030	0.14977121353149414	-0.118107945	No	
row_46	BMP2	4072	0.13830915093421936	-0.12154881	No	
row_47	FGF13	4215	0.09527253359556198	-0.13679917	No	
row_48	JUN	4292	0.07309254258871078	-0.14476936	No	
row_49	ABCC5	4394	0.04261387512087822	-0.15583491	No	
row_50	PLK2	4422	0.032919783145189285	-0.15860604	No	
