NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GALC	95	2.3184876441955566	0.030116843	Yes	
row_1	SSPN	179	2.0279147624969482	0.056469727	Yes	
row_2	TPD52	329	1.7458168268203735	0.07043489	Yes	
row_3	VPS4B	333	1.7409733533859253	0.10073591	Yes	
row_4	PAM	471	1.5852471590042114	0.113224976	Yes	
row_5	PPT1	530	1.5229884386062622	0.13350376	Yes	
row_6	RAB22A	568	1.4860055446624756	0.15549366	Yes	
row_7	RAB14	668	1.411869764328003	0.16920553	Yes	
row_8	MAPK1	806	1.3195295333862305	0.17701837	Yes	
row_9	NAPA	878	1.2692234516143799	0.19136915	Yes	
row_10	RAB5A	899	1.255881905555725	0.21122126	Yes	
row_11	NAPG	905	1.250535011291504	0.23266639	Yes	
row_12	TMX1	979	1.2130498886108398	0.24580364	Yes	
row_13	SEC22B	988	1.210371494293213	0.26620454	Yes	
row_14	AP2M1	1123	1.1346046924591064	0.2711004	Yes	
row_15	SH3GL2	1576	0.929301381111145	0.23661675	Yes	
row_16	CLTC	1580	0.9282733798027039	0.2526155	Yes	
row_17	STX7	1586	0.9266525506973267	0.2683608	Yes	
row_18	COG2	1746	0.8583222031593323	0.26558268	Yes	
row_19	SNX2	1929	0.795190691947937	0.25910667	Yes	
row_20	STX12	1937	0.7918804883956909	0.27225524	Yes	
row_21	ANP32E	2034	0.7601525187492371	0.27483532	Yes	
row_22	ERGIC3	2046	0.7562427520751953	0.2869068	Yes	
row_23	ARCN1	2178	0.7116584777832031	0.2846969	No	
row_24	GOSR2	2726	0.5289520621299744	0.23248275	No	
row_25	ATP1A1	2910	0.46891021728515625	0.22015223	No	
row_26	USO1	2929	0.45968011021614075	0.22621737	No	
row_27	DNM1L	3127	0.4044123888015747	0.21117717	No	
row_28	SGMS1	3135	0.4019169211387634	0.21746297	No	
row_29	RAB2A	3232	0.3725327253341675	0.21322154	No	
row_30	LAMP2	3424	0.3151451051235199	0.1972852	No	
row_31	SEC24D	3573	0.27613621950149536	0.18549873	No	
row_32	OCRL	3674	0.24613556265830994	0.17858301	No	
row_33	ARFGEF1	3697	0.239661306142807	0.18032627	No	
row_34	ADAM10	3762	0.2227090746164322	0.17704731	No	
row_35	BET1	3879	0.1878095418214798	0.16730557	No	
row_36	TOM1L1	3948	0.16991733014583588	0.16264766	No	
row_37	ARFGEF2	4182	0.10669198632240295	0.138319	No	
row_38	M6PR	4239	0.08776187896728516	0.13356498	No	
row_39	YKT6	4297	0.0715184435248375	0.1284126	No	
row_40	AP3B1	4723	-0.05607067793607712	0.08159822	No	
row_41	COPE	4782	-0.07736019790172577	0.07643619	No	
row_42	ARF1	4799	-0.08256647735834122	0.07608966	No	
row_43	IGF2R	5010	-0.1380796581506729	0.05490026	No	
row_44	GOLGA4	5016	-0.1398690640926361	0.05679937	No	
row_45	STAM	5248	-0.20078420639038086	0.034351535	No	
row_46	VPS45	5498	-0.27491018176078796	0.011183681	No	
row_47	AP3S1	5698	-0.33225443959236145	-0.0053513385	No	
row_48	ARFIP1	6082	-0.450795978307724	-0.040495295	No	
row_49	CLN5	6146	-0.4728536307811737	-0.039259616	No	
row_50	SOD1	6240	-0.49853846430778503	-0.040946126	No	
row_51	STX16	6465	-0.5722011923789978	-0.056070287	No	
row_52	ICA1	6547	-0.6012051701545715	-0.05460034	No	
row_53	ARFGAP3	6586	-0.6184507608413696	-0.047990546	No	
row_54	RER1	6693	-0.6511771082878113	-0.048453003	No	
row_55	LMAN1	6703	-0.6567984223365784	-0.037906624	No	
row_56	VAMP3	6735	-0.6681833863258362	-0.029634299	No	
row_57	GBF1	6854	-0.7031687498092651	-0.030531464	No	
row_58	SEC31A	6947	-0.7338339686393738	-0.02796466	No	
row_59	GNAS	7269	-0.8687046766281128	-0.048780724	No	
row_60	RAB9A	7467	-0.9608327746391296	-0.05402879	No	
row_61	GLA	7711	-1.085292935371399	-0.06226032	No	
row_62	EGFR	7800	-1.1326011419296265	-0.052225936	No	
row_63	AP2S1	7905	-1.1963437795639038	-0.042869356	No	
row_64	ATP6V1B1	8119	-1.325925588607788	-0.043491922	No	
row_65	ZW10	8326	-1.4879097938537598	-0.040476505	No	
row_66	SNAP23	8563	-1.7262468338012695	-0.036640923	No	
row_67	CTSC	8633	-1.828145146369934	-0.012229048	No	
row_68	CAV2	8914	-2.7719955444335938	0.005061276	No	
