NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ART3	68	2.451627016067505	0.035979025	Yes	
row_1	SLC12A2	178	2.0297276973724365	0.05984086	Yes	
row_2	TSN	243	1.8713184595108032	0.08594353	Yes	
row_3	PEBP1	316	1.764963984489441	0.109254226	Yes	
row_4	IFT88	337	1.7339766025543213	0.13786016	Yes	
row_5	GAPDHS	442	1.6128802299499512	0.15486673	Yes	
row_6	NOS1	561	1.494255781173706	0.16818838	Yes	
row_7	IP6K1	624	1.4396556615829468	0.18683484	Yes	
row_8	STAM2	772	1.3386189937591553	0.19412644	Yes	
row_9	TLE4	840	1.2975289821624756	0.2096817	Yes	
row_10	CDK1	860	1.281524419784546	0.23034906	Yes	
row_11	AURKA	1440	0.9918971657752991	0.18289897	No	
row_12	PIAS2	1450	0.9862567782402039	0.19943666	No	
row_13	GMCL1	1844	0.8245840072631836	0.16992234	No	
row_14	DCC	1982	0.7775012850761414	0.16835368	No	
row_15	SNAP91	2324	0.6549185514450073	0.14166695	No	
row_16	GAD1	2418	0.6212493777275085	0.14226507	No	
row_17	KIF2C	2423	0.6194508075714111	0.15283793	No	
row_18	MAP7	2533	0.5873934030532837	0.15103464	No	
row_19	CLPB	2619	0.5623556971549988	0.15148428	No	
row_20	PHF7	2699	0.5360543131828308	0.15214051	No	
row_21	HTR5A	2748	0.5206652283668518	0.15600842	No	
row_22	CAMK4	2767	0.5153687596321106	0.16315514	No	
row_23	IDE	2778	0.5124603509902954	0.17114958	No	
row_24	TSSK2	3142	0.39964431524276733	0.13744688	No	
row_25	PARP2	3231	0.3726577162742615	0.1341837	No	
row_26	DDX25	3240	0.3694029748439789	0.13985743	No	
row_27	RAD17	3332	0.33928924798965454	0.13566318	No	
row_28	PACRG	3462	0.30612868070602417	0.12660632	No	
row_29	NPY5R	3564	0.2773318588733673	0.12018523	No	
row_30	CLVS1	3600	0.2669578492641449	0.12100029	No	
row_31	GRM8	3723	0.23334692418575287	0.11143538	No	
row_32	SPATA6	4338	0.05822232365608215	0.0434361	No	
row_33	NEK2	4355	0.053923189640045166	0.04259665	No	
row_34	CLGN	4520	0.0011242355685681105	0.024177257	No	
row_35	CDKN3	4552	-0.007718946784734726	0.020829113	No	
row_36	NF2	4603	-0.0202263705432415	0.015567256	No	
row_37	ZC3H14	4676	-0.04144659638404846	0.008209418	No	
row_38	PCSK4	4830	-0.09210753440856934	-0.0073542153	No	
row_39	RFC4	4962	-0.12456673383712769	-0.019866686	No	
row_40	SCG5	5053	-0.14793506264686584	-0.02735349	No	
row_41	HSPA4L	5183	-0.18575677275657654	-0.038552266	No	
row_42	ZPBP	5471	-0.2649785280227661	-0.06610614	No	
row_43	EZH2	5502	-0.27605724334716797	-0.064567	No	
row_44	SCG3	5561	-0.294356107711792	-0.06585043	No	
row_45	CSNK2A2	5673	-0.32641908526420593	-0.0725224	No	
row_46	PGS1	5677	-0.32784679532051086	-0.06702595	No	
row_47	AGFG1	5781	-0.3555106818675995	-0.07228078	No	
row_48	STRBP	6004	-0.42657947540283203	-0.08965081	No	
row_49	IL12RB2	6478	-0.579055666923523	-0.13252892	No	
row_50	TOPBP1	6709	-0.6582861542701721	-0.14667541	No	
row_51	CHRM4	6820	-0.6928948760032654	-0.14671382	No	
row_52	CCNA1	6956	-0.7384922504425049	-0.14875175	No	
row_53	ARL4A	7099	-0.7937958240509033	-0.15059264	No	
row_54	DBF4	7222	-0.8434109091758728	-0.14930198	No	
row_55	OAZ3	7804	-1.1337296962738037	-0.19445315	No	
row_56	MAST2	8118	-1.3258318901062012	-0.20605336	No	
row_57	DDX4	8129	-1.332074761390686	-0.18347456	No	
row_58	NPHP1	8353	-1.5199238061904907	-0.18150188	No	
row_59	SIRT1	8384	-1.5408625602722168	-0.1574566	No	
row_60	CHFR	8513	-1.6697170734405518	-0.14213713	No	
row_61	SLC2A5	8538	-1.6948379278182983	-0.11467736	No	
row_62	ELOVL3	8639	-1.8345516920089722	-0.0932766	No	
row_63	ALOX15	8674	-1.889601707458496	-0.06347554	No	
row_64	MLF1	8740	-2.0249176025390625	-0.034752138	No	
row_65	GSTM3	8946	-3.330474376678467	0.0014615898	No	
