NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFIT2	154	2.114964246749878	0.0027742817	No	
row_1	SPSB1	160	2.0915513038635254	0.022183975	No	
row_2	MARCKS	242	1.8729772567749023	0.03090694	No	
row_3	IRS2	357	1.7060308456420898	0.034301598	No	
row_4	PANX1	419	1.6344289779663086	0.043009255	No	
row_5	KLF9	428	1.6250249147415161	0.05762393	No	
row_6	BTG1	584	1.4692238569259644	0.0541179	No	
row_7	DUSP5	607	1.454235553741455	0.06551737	No	
row_8	CXCL6	653	1.420026183128357	0.07398773	No	
row_9	ETS2	739	1.3598105907440186	0.07735709	No	
row_10	DUSP4	754	1.348433017730713	0.08865128	No	
row_11	EGR3	873	1.2727826833724976	0.08745559	No	
row_12	BCL3	901	1.2551945447921753	0.096388385	No	
row_13	NFIL3	915	1.2423099279403687	0.10678218	No	
row_14	PLEK	945	1.2317078113555908	0.11526437	No	
row_15	SNN	968	1.2184903621673584	0.12441235	No	
row_16	PER1	986	1.21113121509552	0.1340558	No	
row_17	LITAF	1168	1.1120595932006836	0.124196805	No	
row_18	RHOB	1241	1.0772536993026733	0.12633851	No	
row_19	SOD2	1244	1.0742671489715576	0.13637204	No	
row_20	ATP2B1	1284	1.0550904273986816	0.14203596	No	
row_21	PTGS2	1396	1.005266785621643	0.1390774	No	
row_22	DENND5A	1613	0.9192914366722107	0.1234172	No	
row_23	B4GALT5	1758	0.8540845513343811	0.11528088	No	
row_24	ZBTB10	1833	0.8281185030937195	0.11481692	No	
row_25	TNFAIP6	2143	0.7230247259140015	0.08675953	No	
row_26	PDLIM5	2453	0.6128012537956238	0.057649452	No	
row_27	RCAN1	2561	0.5810799598693848	0.051092263	No	
row_28	PLAU	2598	0.5690330862998962	0.052453514	No	
row_29	SLC2A3	2959	0.45115476846694946	0.016029086	No	
row_30	SERPINB8	2992	0.4380466639995575	0.016591938	No	
row_31	IFNGR2	3072	0.4192887544631958	0.011657695	No	
row_32	TNIP1	3083	0.4155421555042267	0.014494867	No	
row_33	RIPK2	3368	0.3310682475566864	-0.01447722	No	
row_34	PDE4B	3386	0.3265910744667053	-0.013281614	No	
row_35	GADD45A	3428	0.31450045108795166	-0.014917024	No	
row_36	EIF1	3433	0.313314288854599	-0.012377297	No	
row_37	GCH1	3455	0.30694320797920227	-0.011821928	No	
row_38	LDLR	3653	0.25058668851852417	-0.0317188	No	
row_39	RELB	3748	0.2258502095937729	-0.040197704	No	
row_40	FOSL2	3761	0.22278881072998047	-0.039427724	No	
row_41	CD80	3788	0.21655656397342682	-0.040301334	No	
row_42	CD83	3903	0.18039259314537048	-0.051477335	No	
row_43	BHLHE40	3951	0.16949957609176636	-0.055176467	No	
row_44	JAG1	4021	0.15248365700244904	-0.061527364	No	
row_45	LAMB3	4063	0.14106953144073486	-0.064819135	No	
row_46	BMP2	4072	0.13830915093421936	-0.06440339	No	
row_47	IL23A	4110	0.12761357426643372	-0.06737108	No	
row_48	STAT5A	4156	0.11302930861711502	-0.07138324	No	
row_49	EHD1	4223	0.09326433390378952	-0.07796027	No	
row_50	JUN	4292	0.07309254258871078	-0.08495624	No	
row_51	TANK	4395	0.042377788573503494	-0.09609258	No	
row_52	PLK2	4422	0.032919783145189285	-0.09872002	No	
row_53	DUSP1	4479	0.014298842288553715	-0.10491974	No	
row_54	BIRC2	4522	7.116729393601418E-4	-0.10966515	No	
row_55	NR4A2	4623	-0.02655685320496559	-0.120726295	No	
row_56	TRAF1	4689	-0.04583995044231415	-0.12764311	No	
row_57	GFPT2	4748	-0.06306855380535126	-0.13360333	No	
row_58	ZC3H12A	5028	-0.1420993208885193	-0.16381444	No	
row_59	NINJ1	5212	-0.1936904788017273	-0.18267064	No	
row_60	BTG3	5276	-0.20670419931411743	-0.1878248	No	
row_61	KLF10	5278	-0.20711468160152435	-0.18595989	No	
row_62	SQSTM1	5361	-0.23218141496181488	-0.19302055	No	
row_63	OLR1	5394	-0.24374939501285553	-0.19431335	No	
row_64	NAMPT	5427	-0.25255098938941956	-0.19552208	No	
row_65	IL18	5644	-0.31645482778549194	-0.21693969	No	
row_66	NR4A3	5723	-0.3399501144886017	-0.2225185	No	
row_67	TRIB1	5766	-0.35180458426475525	-0.2239108	No	
row_68	BTG2	5956	-0.4099688231945038	-0.2413803	No	
row_69	IL6ST	6059	-0.4432104825973511	-0.24868847	No	
row_70	KYNU	6080	-0.4489516615867615	-0.2466637	No	
row_71	NFAT5	6081	-0.4503536820411682	-0.24236259	No	
row_72	SMAD3	6179	-0.48147833347320557	-0.24873954	No	
row_73	NR4A1	6211	-0.4921118915081024	-0.2475472	No	
row_74	SOCS3	6309	-0.5163145065307617	-0.25359145	No	
row_75	EGR2	6373	-0.5375470519065857	-0.25558588	No	
row_76	KDM6B	6430	-0.5579390525817871	-0.25659356	No	
row_77	EGR1	6469	-0.5745410919189453	-0.255406	No	
row_78	CCND1	6504	-0.5886921882629395	-0.2536307	No	
row_79	NFKBIE	6518	-0.5926730632781982	-0.24944127	No	
row_80	CD44	6596	-0.623298168182373	-0.2522008	No	
row_81	F2RL1	6650	-0.6385546922683716	-0.2520991	No	
row_82	TIPARP	6734	-0.6670318245887756	-0.25511986	No	
row_83	HBEGF	6853	-0.7030847668647766	-0.26175648	No	
row_84	PPP1R15A	6874	-0.7075623869895935	-0.2572618	No	
row_85	ID2	6919	-0.7244173884391785	-0.25532174	No	
row_86	TNFAIP3	6924	-0.7266036868095398	-0.2488349	No	
row_87	CFLAR	7006	-0.7578065991401672	-0.2507624	No	
row_88	MSC	7122	-0.8023036122322083	-0.25611198	No	
row_89	JUNB	7152	-0.8184384107589722	-0.25157672	No	
row_90	MYC	7225	-0.8458979725837708	-0.25164458	No	
row_91	FOS	7273	-0.8708171844482422	-0.24864577	No	
row_92	DRAM1	7288	-0.876291036605835	-0.24186079	No	
row_93	BIRC3	7562	-1.005491852760315	-0.26314715	No	
row_94	TGIF1	7672	-1.064656376838684	-0.26531222	Yes	
row_95	CDKN1A	7751	-1.1059846878051758	-0.263575	Yes	
row_96	NFKB2	7839	-1.1597334146499634	-0.26234278	Yes	
row_97	PFKFB3	7883	-1.1812628507614136	-0.25592643	Yes	
row_98	B4GALT1	7890	-1.1864277124404907	-0.2452743	Yes	
row_99	SLC2A6	7960	-1.2250515222549438	-0.2413816	Yes	
row_100	SGK1	7984	-1.235817790031433	-0.23218128	Yes	
