NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC46A3	89	2.356055736541748	0.009446907	No	
row_1	GSTO1	114	2.247924566268921	0.025351124	No	
row_2	HSD11B1	155	2.1135597229003906	0.038332466	No	
row_3	DHRS7	216	1.930943489074707	0.047538787	No	
row_4	SSR3	271	1.8354434967041016	0.05663283	No	
row_5	BCAT1	352	1.7202430963516235	0.06183152	No	
row_6	SPINT2	525	1.528876781463623	0.055037912	No	
row_7	JUP	555	1.4966031312942505	0.06415346	No	
row_8	NPC1	620	1.4431592226028442	0.068867065	No	
row_9	CDO1	659	1.4173595905303955	0.07630815	No	
row_10	LONP1	715	1.3785728216171265	0.081504904	No	
row_11	ETS2	739	1.3598105907440186	0.09016616	No	
row_12	MCCC2	785	1.3310409784317017	0.09610043	No	
row_13	PTGES3	906	1.2491742372512817	0.09287245	No	
row_14	PDK4	1026	1.1832077503204346	0.0892112	No	
row_15	CBR1	1157	1.1181445121765137	0.08376671	No	
row_16	CYFIP2	1243	1.0758517980575562	0.08306241	No	
row_17	GABARAPL1	1668	0.8899056315422058	0.04246953	No	
row_18	PGRMC1	1711	0.871563732624054	0.044937406	No	
row_19	DHPS	1776	0.8493858575820923	0.044732895	No	
row_20	ABHD6	1855	0.8218401074409485	0.042716514	No	
row_21	MTHFD1	2124	0.7304671406745911	0.0184501	No	
row_22	PINK1	2158	0.7176583409309387	0.0206613	No	
row_23	TPST1	2263	0.6795750260353088	0.01452539	No	
row_24	GCNT2	2295	0.6659584045410156	0.016534615	No	
row_25	ALDH3A1	2347	0.6473531126976013	0.016127292	No	
row_26	GAD1	2418	0.6212493777275085	0.013354435	No	
row_27	PDLIM5	2453	0.6128012537956238	0.014584002	No	
row_28	ABCD2	2601	0.567645251750946	0.0026567443	No	
row_29	FAH	3118	0.4060526490211487	-0.052351035	No	
row_30	NQO1	3207	0.3809509873390198	-0.05915044	No	
row_31	TGFB2	3242	0.36801618337631226	-0.059948385	No	
row_32	AHCY	3286	0.3526347577571869	-0.061891828	No	
row_33	LPIN2	3292	0.3497818112373352	-0.059560258	No	
row_34	IGF1	3397	0.32258862257003784	-0.068653025	No	
row_35	ACOX2	3450	0.30891358852386475	-0.0719767	No	
row_36	GCH1	3455	0.30694320797920227	-0.06988683	No	
row_37	DDT	3570	0.2768784165382385	-0.08048943	No	
row_38	TMEM97	3685	0.243325874209404	-0.091369934	No	
row_39	CYP17A1	3839	0.1983950287103653	-0.107034355	No	
row_40	FBLN1	3872	0.18950341641902924	-0.10908464	No	
row_41	CYP27A1	3985	0.1622408777475357	-0.12041052	No	
row_42	CYP2C18	4240	0.08767042309045792	-0.14841738	No	
row_43	VTN	4313	0.06765526533126831	-0.1560018	No	
row_44	LEAP2	4555	-0.008648613467812538	-0.18319261	No	
row_45	PAPSS2	4612	-0.02414916269481182	-0.18932743	No	
row_46	SLC35D1	4750	-0.06442298740148544	-0.20429157	No	
row_47	NFS1	4864	-0.10025753080844879	-0.21624397	No	
row_48	PC	4913	-0.11120324581861496	-0.22075275	No	
row_49	UPP1	5076	-0.15491943061351776	-0.23779537	No	
row_50	BLVRB	5097	-0.16098250448703766	-0.23872443	No	
row_51	NINJ1	5212	-0.1936904788017273	-0.25001606	No	
row_52	FBP1	5267	-0.2044651210308075	-0.2544311	No	
row_53	ACO2	5290	-0.21024517714977264	-0.25517836	No	
row_54	PPARD	5493	-0.27189308404922485	-0.275777	No	
row_55	ALAS1	5496	-0.2737133204936981	-0.27373612	No	
row_56	CA2	5647	-0.31810587644577026	-0.28806964	No	
row_57	DHRS1	5731	-0.34161093831062317	-0.29462928	No	
row_58	CYP2E1	5805	-0.3614966571331024	-0.299893	No	
row_59	CROT	5923	-0.40017229318618774	-0.30981374	No	
row_60	GCLC	5933	-0.4026162922382355	-0.30749702	No	
row_61	BPHL	5991	-0.42279738187789917	-0.31044304	No	
row_62	KYNU	6080	-0.4489516615867615	-0.3166792	No	
row_63	IGFBP4	6087	-0.4537702202796936	-0.31359944	No	
row_64	PSMB10	6140	-0.4715210199356079	-0.3155763	No	
row_65	POR	6171	-0.47931164503097534	-0.31499988	No	
row_66	UGDH	6259	-0.5034403800964355	-0.32067162	No	
row_67	COMT	6368	-0.5362507700920105	-0.32844713	No	
row_68	TMBIM6	6533	-0.5966126918792725	-0.34205756	No	
row_69	IRF8	6638	-0.636235237121582	-0.34855244	No	
row_70	PYCR1	6661	-0.6421587467193604	-0.34572223	No	
row_71	CAT	6666	-0.6433974504470825	-0.34084558	No	
row_72	CSAD	6798	-0.6865233778953552	-0.34997824	No	
row_73	ACP2	6895	-0.715781569480896	-0.35490927	No	
row_74	ID2	6919	-0.7244173884391785	-0.35151088	No	
