NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_ADIPOGENESIS	200	124		
HALLMARK_ALLOGRAFT_REJECTION	200	93		
HALLMARK_ANDROGEN_RESPONSE	101	65		
HALLMARK_ANGIOGENESIS	36	25		
HALLMARK_APICAL_JUNCTION	200	124		
HALLMARK_APICAL_SURFACE	44	27		
HALLMARK_APOPTOSIS	161	110		
HALLMARK_BILE_ACID_METABOLISM	112	56		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	43		
HALLMARK_COAGULATION	138	74		
HALLMARK_COMPLEMENT	200	125		
HALLMARK_DNA_REPAIR	150	96		
HALLMARK_E2F_TARGETS	200	130		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	130		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	126		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	124		
HALLMARK_FATTY_ACID_METABOLISM	158	104		
HALLMARK_G2M_CHECKPOINT	200	121		
HALLMARK_GLYCOLYSIS	200	136		
HALLMARK_HEDGEHOG_SIGNALING	36	29		
HALLMARK_HEME_METABOLISM	200	129		
HALLMARK_HYPOXIA	200	139		
HALLMARK_IL2_STAT5_SIGNALING	199	121		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	47		
HALLMARK_INFLAMMATORY_RESPONSE	200	112		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	55		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	121		
HALLMARK_KRAS_SIGNALING_DN	200	98		
HALLMARK_KRAS_SIGNALING_UP	200	118		
HALLMARK_MITOTIC_SPINDLE	199	140		
HALLMARK_MTORC1_SIGNALING	200	143		
HALLMARK_MYC_TARGETS_V1	200	136		
HALLMARK_MYC_TARGETS_V2	58	42		
HALLMARK_MYOGENESIS	200	116		
HALLMARK_NOTCH_SIGNALING	32	19		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	131		
HALLMARK_P53_PATHWAY	200	128		
HALLMARK_PANCREAS_BETA_CELLS	40	22		
HALLMARK_PEROXISOME	104	61		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	77		
HALLMARK_PROTEIN_SECRETION	96	69		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	34		
HALLMARK_SPERMATOGENESIS	135	66		
HALLMARK_TGF_BETA_SIGNALING	54	40		
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	122		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	80		
HALLMARK_UV_RESPONSE_DN	144	105		
HALLMARK_UV_RESPONSE_UP	158	109		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	29		
HALLMARK_XENOBIOTIC_METABOLISM	200	120		
