NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	130	-0.46442014	-2.1885405	0.0	0.0	0.0	1145	tags=34%, list=13%, signal=38%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	74	-0.4766335	-2.002946	0.0	5.833333E-4	0.001	1091	tags=35%, list=12%, signal=40%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	55	-0.50229615	-1.9666383	0.0	3.8888888E-4	0.001	1133	tags=38%, list=13%, signal=43%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	25	-0.55471396	-1.8499202	0.003960396	0.0033720448	0.01	557	tags=24%, list=6%, signal=26%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	120	-0.40266603	-1.849387	0.0	0.0026976357	0.01	1474	tags=36%, list=16%, signal=42%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	110	-0.40686056	-1.8438505	0.0	0.0022480297	0.01	2457	tags=45%, list=27%, signal=62%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	116	-0.39023486	-1.7705746	0.0	0.0042138956	0.022	1267	tags=28%, list=14%, signal=32%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	128	-0.37701014	-1.726326	0.0	0.007361156	0.043	2130	tags=41%, list=24%, signal=54%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	112	-0.35600957	-1.5979149	0.0038461538	0.023803478	0.143	877	tags=24%, list=10%, signal=26%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	121	-0.33942053	-1.5627649	0.0	0.03218335	0.209	2351	tags=40%, list=26%, signal=54%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	93	-0.35298717	-1.5555489	0.014760148	0.03103869	0.22	991	tags=24%, list=11%, signal=26%	
