NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	29	0.4424876	1.5406121	0.030303031	0.16500665	0.234	961	tags=24%, list=11%, signal=27%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	65	0.36109844	1.4977032	0.026970955	0.11691987	0.317	1361	tags=29%, list=15%, signal=34%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	69	0.2869068	1.2094041	0.13793103	0.69169766	0.971	2046	tags=33%, list=23%, signal=43%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	56	0.28880614	1.1748667	0.1942605	0.6466858	0.989	2373	tags=36%, list=26%, signal=48%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	43	0.30596498	1.1688174	0.2079832	0.53866214	0.99	1789	tags=30%, list=20%, signal=38%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	66	0.23034906	0.96357644	0.5340206	1.0	1.0	860	tags=17%, list=10%, signal=18%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	136	0.20165958	0.9508429	0.57637477	1.0	1.0	1746	tags=24%, list=19%, signal=30%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	19	0.30230552	0.9504735	0.5233463	1.0	1.0	2484	tags=42%, list=28%, signal=58%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	98	0.19700123	0.88172734	0.6970297	1.0	1.0	1439	tags=22%, list=16%, signal=26%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	121	0.1851748	0.85682493	0.77124184	1.0	1.0	1258	tags=15%, list=14%, signal=17%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	140	0.17873867	0.847617	0.8	1.0	1.0	1144	tags=16%, list=13%, signal=18%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	131	0.14539775	0.6780407	0.993865	1.0	1.0	2612	tags=30%, list=29%, signal=41%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	129	0.14374626	0.6775319	0.99570817	1.0	1.0	3069	tags=36%, list=34%, signal=55%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	136	0.14179428	0.6721673	1.0	1.0	1.0	1689	tags=15%, list=19%, signal=19%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	104	0.14752606	0.6658982	0.9875776	0.9803991	1.0	2503	tags=30%, list=28%, signal=41%	
