Sample	Tool	Mode	Time (s)	Memory (GB)	CPU (%)	Total reads	Primary mapped reads	Primary mapped (%)	Properly paired (%)	Unique mapping (%)
SRR15024173	HISAT2	PE	0.13	0.009521484375	94	54411650	43231380	95.37	88.84	82.58
SRR15024168	HISAT2	PE	0.13	0.009521484375	93	68563538	53833403	95.86	89.67	82.8
SRR15024174	HISAT2	PE	0.11	0.009521484375	98	58890580	47491949	95.54	88.89	83.0
SRR15024175	HISAT2	PE	0.11	0.009521484375	99	67979088	50831565	95.74	89.41	80.74
SRR15024178	HISAT2	PE	0.12	0.0087890625	100	51526932	39683272	95.49	88.9	81.59
SRR15024177	HISAT2	PE	0.11	0.009521484375	99	60512281	46568101	95.56	89.3	81.76
SRR15024183	HISAT2	PE	0.13	0.009521484375	98	54128068	41653461	96.09	90.23	82.29
SRR15024182	HISAT2	PE	0.15	0.009521484375	94	67383084	53728908	95.94	89.99	83.47
SRR15024186	HISAT2	PE	0.11	0.009521484375	100	57736905	46345061	96.14	90.6	84.09
SRR15024188	HISAT2	PE	0.1	0.009521484375	99	55803546	41474349	95.82	89.61	80.67
SRR15024168	STAR	PE	420.91	29.140323638916016	667	68619009	53479116	95.23	95.22	88.02
SRR15024173	STAR	PE	338.8	29.138172149658203	658	54111130	42973619	94.8	94.79	88.39
SRR15024174	STAR	PE	357.37	29.144611358642578	675	58680825	47116595	94.78	94.77	88.72
SRR15024175	STAR	PE	412.85	29.136886596679688	656	68826050	50408024	94.94	94.93	85.67
SRR15024177	STAR	PE	355.2	29.121532440185547	673	60781397	46316074	95.04	95.02	87.1
SRR15024178	STAR	PE	340.7	29.08233642578125	665	50922413	39153720	94.21	94.2	86.89
SRR15024182	STAR	PE	415.24	29.147563934326172	678	67617455	53466429	95.47	95.46	88.62
SRR15024183	STAR	PE	393.32	29.136276245117188	659	54922950	41453562	95.63	95.62	87.07
SRR15024188	STAR	PE	349.5	29.130882263183594	672	56533206	41219082	95.23	95.22	85.63
SRR15024186	STAR	PE	404.62	29.133697509765625	686	58472371	46351163	96.15	96.14	89.12
