Geneid	Length
ENSMMUG00000023296	2681
ENSMMUG00000036181	103
ENSMMUG00000000634	4358
ENSMMUG00000037875	3297
ENSMMUG00000000632	3223
ENSMMUG00000064799	1207
ENSMMUG00000057389	5938
ENSMMUG00000031200	969
ENSMMUG00000052613	4051
ENSMMUG00000031199	954
ENSMMUG00000053841	975
ENSMMUG00000017095	918
ENSMMUG00000025700	104
ENSMMUG00000049101	939
ENSMMUG00000048289	945
ENSMMUG00000017368	951
ENSMMUG00000055842	936
ENSMMUG00000031198	948
ENSMMUG00000062331	918
ENSMMUG00000049901	948
ENSMMUG00000064657	975
ENSMMUG00000005566	1110
ENSMMUG00000064874	927
ENSMMUG00000039595	939
ENSMMUG00000038524	936
ENSMMUG00000049432	963
ENSMMUG00000050812	1962
ENSMMUG00000059065	939
ENSMMUG00000064763	3684
ENSMMUG00000053957	939
ENSMMUG00000062908	102
ENSMMUG00000057748	939
ENSMMUG00000051218	102
ENSMMUG00000050041	939
ENSMMUG00000052261	939
ENSMMUG00000054556	102
ENSMMUG00000060886	939
ENSMMUG00000062168	939
ENSMMUG00000059751	102
ENSMMUG00000018891	975
ENSMMUG00000056262	1888
ENSMMUG00000038159	945
ENSMMUG00000005570	1832
ENSMMUG00000006214	5850
ENSMMUG00000056211	1789
ENSMMUG00000049478	876
ENSMMUG00000062849	960
ENSMMUG00000064145	945
ENSMMUG00000059455	2001
ENSMMUG00000016175	927
ENSMMUG00000016176	924
ENSMMUG00000058340	776
ENSMMUG00000005955	1849
ENSMMUG00000012954	1023
ENSMMUG00000060427	1461
ENSMMUG00000005949	954
ENSMMUG00000005946	4143
ENSMMUG00000052686	1141
ENSMMUG00000019585	2509
ENSMMUG00000064912	109
ENSMMUG00000021266	1269
ENSMMUG00000058602	1035
ENSMMUG00000059322	4358
ENSMMUG00000004566	1438
ENSMMUG00000058214	597
ENSMMUG00000023311	1896
ENSMMUG00000050290	1374
ENSMMUG00000054567	1143
ENSMMUG00000031191	2573
ENSMMUG00000061999	117
ENSMMUG00000016408	7011
ENSMMUG00000049281	1738
ENSMMUG00000053269	512
ENSMMUG00000022208	2792
ENSMMUG00000056452	1269
ENSMMUG00000050866	1890
ENSMMUG00000057881	119
ENSMMUG00000062560	107
ENSMMUG00000064226	4909
ENSMMUG00000061675	119
ENSMMUG00000053105	119
ENSMMUG00000044246	292
ENSMMUG00000052988	148
ENSMMUG00000051199	119
ENSMMUG00000058983	119
ENSMMUG00000050099	119
ENSMMUG00000053289	119
ENSMMUG00000050167	119
ENSMMUG00000054394	119
ENSMMUG00000050971	4502
ENSMMUG00000026576	108
ENSMMUG00000050302	117
ENSMMUG00000061587	102
ENSMMUG00000064992	148
ENSMMUG00000025558	161
ENSMMUG00000060709	104
ENSMMUG00000035621	167
ENSMMUG00000050926	102
ENSMMUG00000047025	299
ENSMMUG00000051961	107
ENSMMUG00000056846	1683
ENSMMUG00000062726	1144
ENSMMUG00000036728	187
ENSMMUG00000050964	117
ENSMMUG00000065137	1367
ENSMMUG00000057829	102
ENSMMUG00000061941	148
ENSMMUG00000054812	147
ENSMMUG00000059354	107
ENSMMUG00000054381	1040
ENSMMUG00000055981	1849
ENSMMUG00000052461	1302
ENSMMUG00000058124	1125
ENSMMUG00000060426	117
ENSMMUG00000059666	104
ENSMMUG00000060006	103
ENSMMUG00000025681	107
ENSMMUG00000062580	1540
ENSMMUG00000001382	1308
ENSMMUG00000043586	3558
ENSMMUG00000052364	1064
ENSMMUG00000052910	2697
ENSMMUG00000064896	148
ENSMMUG00000060928	3004
ENSMMUG00000011380	6149
ENSMMUG00000002585	1140
ENSMMUG00000062933	981
ENSMMUG00000059690	1920
ENSMMUG00000055490	6024
ENSMMUG00000055003	5404
ENSMMUG00000005777	4054
ENSMMUG00000024556	107
ENSMMUG00000008153	4303
ENSMMUG00000017324	6749
ENSMMUG00000050220	171
ENSMMUG00000052401	148
ENSMMUG00000059892	148
ENSMMUG00000027317	164
ENSMMUG00000008847	2919
ENSMMUG00000011424	1601
ENSMMUG00000057396	150
ENSMMUG00000036930	104
ENSMMUG00000060683	58
ENSMMUG00000051140	107
ENSMMUG00000053368	3083
ENSMMUG00000036090	100
ENSMMUG00000050136	148
ENSMMUG00000060516	2164
ENSMMUG00000021098	6114
ENSMMUG00000059986	4463
ENSMMUG00000062668	107
ENSMMUG00000058292	4416
ENSMMUG00000031175	1762
ENSMMUG00000048085	598
ENSMMUG00000062648	1025
ENSMMUG00000054073	546
ENSMMUG00000057626	1017
ENSMMUG00000018525	5963
ENSMMUG00000022310	3919
ENSMMUG00000058133	3850
ENSMMUG00000052237	148
ENSMMUG00000012031	2383
ENSMMUG00000000021	2992
ENSMMUG00000008636	3120
ENSMMUG00000050632	3023
ENSMMUG00000021388	6089
ENSMMUG00000062093	2739
ENSMMUG00000000016	2552
ENSMMUG00000012028	1761
ENSMMUG00000010176	4918
