mmul_gene_id	mmul_symbol	human_symbol
ENSMMUG00000012459	A1BG	A1BG
ENSMMUG00000007077	A1CF	A1CF
ENSMMUG00000022680	A2ML1	A2ML1
ENSMMUG00000010194	A4GALT	A4GALT
ENSMMUG00000011117	AACS	AACS
ENSMMUG00000001664	AADAC	AADAC
ENSMMUG00000018774	AADACL2	AADACL2
ENSMMUG00000011137	AADACL4	AADACL4
ENSMMUG00000019473	AADAT	AADAT
ENSMMUG00000010119	AAMDC	AAMDC
ENSMMUG00000022812	AAMP	AAMP
ENSMMUG00000018970	AANAT	AANAT
ENSMMUG00000014387	AARS2	AARS2
ENSMMUG00000016360	AASDH	AASDH
ENSMMUG00000010990	AASDHPPT	AASDHPPT
ENSMMUG00000044304	AASS	AASS
ENSMMUG00000021669	AATF	AATF
ENSMMUG00000015514	AATK	AATK
ENSMMUG00000014813	ABCA12	ABCA12
ENSMMUG00000021434	ABCA2	ABCA2
ENSMMUG00000013858	ABCA4	ABCA4
ENSMMUG00000018608	ABCA5	ABCA5
ENSMMUG00000018592	ABCA6	ABCA6
ENSMMUG00000015303	ABCA7	ABCA7
ENSMMUG00000018587	ABCA8	ABCA8
ENSMMUG00000044129	ABCA9	ABCA9
ENSMMUG00000022094	ABCB10	ABCB10
ENSMMUG00000013832	ABCB11	ABCB11
ENSMMUG00000015619	ABCB7	ABCB7
ENSMMUG00000020442	ABCB8	ABCB8
ENSMMUG00000005301	ABCB9	ABCB9
ENSMMUG00000015569	ABCC10	ABCC10
ENSMMUG00000008290	ABCC11	ABCC11
ENSMMUG00000002201	ABCC12	ABCC12
ENSMMUG00000023764	ABCC2	ABCC2
ENSMMUG00000003414	ABCC3	ABCC3
ENSMMUG00000005515	ABCC5	ABCC5
ENSMMUG00000023581	ABCC8	ABCC8
ENSMMUG00000020806	ABCC9	ABCC9
ENSMMUG00000012746	ABCD1	ABCD1
ENSMMUG00000014007	ABCD2	ABCD2
ENSMMUG00000014013	ABCD3	ABCD3
ENSMMUG00000004041	ABCD4	ABCD4
ENSMMUG00000004433	ABCE1	ABCE1
ENSMMUG00000001886	ABCF1	ABCF1
ENSMMUG00000006679	ABCF2	ABCF2
ENSMMUG00000006558	ABCF3	ABCF3
ENSMMUG00000008797	ABCG2	ABCG2
ENSMMUG00000008080	ABCG5	ABCG5
ENSMMUG00000008081	ABCG8	ABCG8
ENSMMUG00000002388	ABHD1	ABHD1
ENSMMUG00000055296	ABHD10	ABHD10
ENSMMUG00000009201	ABHD12	ABHD12
ENSMMUG00000014667	ABHD12B	ABHD12B
ENSMMUG00000019657	ABHD14B	ABHD14B
ENSMMUG00000019670	ABHD15	ABHD15
ENSMMUG00000015686	ABHD16A	ABHD16A
ENSMMUG00000011854	ABHD16B	ABHD16B
ENSMMUG00000014414	ABHD2	ABHD2
ENSMMUG00000009441	ABHD4	ABHD4
ENSMMUG00000001031	ABHD5	ABHD5
ENSMMUG00000006315	ABHD6	ABHD6
ENSMMUG00000009656	ABHD8	ABHD8
ENSMMUG00000002437	ABI3	ABI3
ENSMMUG00000006262	ABL2	ABL2
ENSMMUG00000013984	ABLIM2	ABLIM2
ENSMMUG00000015100	ABO	ABO
ENSMMUG00000017850	ABRA	ABRA
ENSMMUG00000061250	ABRACL	ABRACL
ENSMMUG00000060813	ABT1	ABT1
ENSMMUG00000000990	ACAA1	ACAA1
ENSMMUG00000003040	ACAA2	ACAA2
ENSMMUG00000009349	ACACA	ACACA
ENSMMUG00000022698	ACACB	ACACB
ENSMMUG00000008336	ACAD10	ACAD10
ENSMMUG00000007107	ACAD8	ACAD8
ENSMMUG00000006338	ACAD9	ACAD9
ENSMMUG00000007220	ACADM	ACADM
ENSMMUG00000020648	ACADS	ACADS
ENSMMUG00000000684	ACADSB	ACADSB
ENSMMUG00000006211	ACAP1	ACAP1
ENSMMUG00000013092	ACAP2	ACAP2
ENSMMUG00000013862	ACAP3	ACAP3
ENSMMUG00000012843	ACAT2	ACAT2
ENSMMUG00000019058	ACBD3	ACBD3
ENSMMUG00000012051	ACBD6	ACBD6
